Date, Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,HF N2 MFC: Scale Factor Entry,HF N2 MFC: Mode Selection,HF N2 MFC: Setpoint Entry,HF N2 MFC: Device Scale Factor,HF N2 MFC: Device Mode,HF N2 MFC: Device Setpoint,HF N2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Cl2 MFC: Zero Offset (sccm),Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%)
01/16/2025,19:55:15,0.0,43.7,43.4,No Reading,Off,Off,0.096,0.009,-0.022,2.739,1.389,2844.137,1.012,191.054,2.739,1.005,3.309,0.3238,3.6062,0.9226,N2,Setpoint,6.0,N2,Closed,6.0,0.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,68,0.4,Setpoint,80.0,78.2,N2,Setpoint,80,N2,Setpoint,80.0,81.2,Air,Air,217.6,Setpoint,6.0,Closed,6.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,No Bubbler,31.04
01/16/2025,19:55:25,0.0,43.7,43.5,No Reading,Off,Off,0.614,0.0,0.034,0.516,2.216,2849.938,0.907,191.054,0.516,1.005,3.309,0.3226,4.3313,0.9218,N2,Setpoint,6.0,N2,Setpoint,6.0,0.1,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,68,0.4,Setpoint,80.0,78.2,N2,Setpoint,80,N2,Setpoint,80.0,83.1,Air,Air,217.6,Setpoint,6.0,Closed,6.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,No Bubbler,31.04
01/16/2025,19:55:35,0.0,43.7,43.4,No Reading,Off,Off,0.614,0.0,0.034,0.516,2.216,2849.938,0.907,191.054,0.516,1.005,3.309,0.3221,3.6211,0.9214,N2,Setpoint,6.0,N2,Setpoint,6.0,6.1,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,68,0.4,Setpoint,68.0,66.2,N2,Setpoint,80,N2,Setpoint,80.0,76.7,Air,Air,215.9,Setpoint,6.0,Setpoint,6.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,No Bubbler,31.07
01/16/2025,19:55:45,0.0,43.7,43.4,No Reading,Off,Off,-0.174,0.029,-0.013,0.986,1.854,2868.32,1.058,191.047,0.986,1.005,3.309,0.3216,4.6113,0.9198,N2,Setpoint,6.0,N2,Setpoint,6.0,6.1,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,68,0.4,Setpoint,68.0,66.3,N2,Setpoint,80,N2,Setpoint,80.0,83.2,Air,Air,213.7,Setpoint,6.0,Setpoint,6.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,No Bubbler,31.67
01/16/2025,19:55:55,0.0,43.8,43.4,No Reading,Off,Off,-0.056,0.016,-0.023,0.473,1.611,2841.344,0.94,190.99,0.473,1.005,3.31,0.3209,3.6585,0.9204,N2,Setpoint,6.0,N2,Setpoint,6.0,6.1,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,68,0.4,Setpoint,68.0,66.0,N2,Setpoint,80,N2,Setpoint,80.0,82.1,Air,Air,197.1,Setpoint,6.0,Setpoint,6.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,32.01
01/16/2025,19:56:05,0.0,43.7,43.4,No Reading,Off,Off,-0.126,0.014,-0.088,0.907,1.223,2842.109,0.93,190.978,0.907,1.005,3.31,0.3194,4.6496,0.9199,N2,Setpoint,6.0,N2,Setpoint,6.0,6.1,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,68,0.4,Setpoint,68.0,66.1,N2,Setpoint,80,N2,Setpoint,80.0,75.4,Air,Air,202.4,Setpoint,6.0,Setpoint,6.0,5.8,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,32.09
01/16/2025,19:56:15,0.0,43.7,43.4,No Reading,Off,Off,12.783,0.015,-0.029,10.496,2.025,2799.637,1.002,190.978,10.496,1.005,3.293,0.319,4.4961,0.92,N2,Setpoint,6.0,N2,Setpoint,6.0,6.1,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,68,0.4,Setpoint,68.0,66.1,N2,Setpoint,80,N2,Setpoint,80.0,83.3,Air,Air,207.3,Setpoint,6.0,Setpoint,6.0,6.1,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,32.09
01/16/2025,19:56:25,0.0,43.7,43.4,No Reading,Off,Off,12.783,0.015,-0.029,10.496,2.025,2799.637,1.002,190.978,10.496,1.005,3.293,0.3183,3.7038,0.9194,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,68,0.4,Setpoint,68.0,66.3,N2,Setpoint,80,N2,Setpoint,80.0,75.7,Air,Air,209.9,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,32.11
01/16/2025,19:56:35,0.0,43.6,43.4,No Reading,Off,Off,27.607,0.018,-0.006,15.476,2.642,2665.496,0.955,190.978,15.476,1.005,3.266,0.3179,4.1918,0.9191,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,68,0.4,Setpoint,68.0,66.1,N2,Setpoint,80,N2,Setpoint,80.0,82.6,Air,Air,211.7,Setpoint,6.0,Setpoint,6.0,5.8,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,32.12
01/16/2025,19:56:45,0.0,43.7,43.5,No Reading,Off,Off,23.621,0.024,0.065,12.177,2.738,2471.148,0.848,190.978,12.177,1.005,3.246,0.3201,3.314,0.92,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,68,0.4,Setpoint,68.0,66.0,N2,Setpoint,80,N2,Setpoint,80.0,80.0,Air,Air,213.0,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,32.13
