Spectrum	Date	Time	CH4 (PF) 191c	CH4 (PF) 191c average	CH4 (PF) 191c stdev	CH4 high%	CH4 high% average	CH4 high% stdev	CO ppm 191C (1of2)	CO ppm 191C (1of2) average	CO ppm 191C (1of2) stdev	CO2 ppm 191c	CO2 ppm 191c average	CO2 ppm 191c stdev	CO2% 191c	CO2% 191c average	CO2% 191c stdev	H2O% 191C	H2O% 191C average	H2O% 191C stdev	H2O ppm 191c	H2O ppm 191c average	H2O ppm 191c stdev	HCL 191C	HCL 191C average	HCL 191C stdev	Formaldehyde 191c	Formaldehyde 191c average	Formaldehyde 191c stdev	Formic acid 191C	Formic acid 191C average	Formic acid 191C stdev	Methyl chloride 191c	Methyl chloride 191c average	Methyl chloride 191c stdev	Temp (C)	Temp (C) average	Temp (C) stdev	Pressure (Atm)	Pressure (Atm) average	Pressure (Atm) stdev	CH4 autorange	CH4 autorange average	CH4 autorange stdev	CO2 autorange	CO2 autorange average	CO2 autorange stdev	Igram DC	Igram DC average	Igram DC stdev	Igram PP	Igram PP average	Igram PP stdev	phase Angle	phase Angle average	phase Angle stdev	laser PP	laser PP average	laser PP stdev	laser DC	laser DC average	laser DC stdev	Bad Scan counter	Bad Scan counter average	Bad Scan counter stdev	Centerburst Location	Centerburst Location average	Centerburst Location stdev	Linearizer Check	Linearizer Check average	Linearizer Check stdev	SNR 2500	SNR 2500 average	SNR 2500 stdev	sBeam @ 2500	sBeam @ 2500 average	sBeam @ 2500 stdev	
FTIR_000005.LAB	1/16/2025	15:32:17.641	0.712563	-72.630882	164.498322	0.000725	-0.000465	0.001262	0.069579	0.116763	0.116965	0.102273	-0.177142	1.605005	0.017546	-0.004713	0.021644	-0.000966	0.000399	0.000944	-0.656166	-1.579464	1.874227	0.035315	-0.013901	0.087624	0.049752	0.058503	0.104937	-0.006443	-0.037531	0.032492	-0.391494	-33.227753	69.963280	191.030548	191.045044	0.007102	1.010931	1.010931	0.000000	0.712563	-72.630882	164.498322	0.102273	-0.177142	1.605005	3.896791	3.895591	0.001558	4.165094	4.164333	0.000535	86.430206	85.870789	0.445675	4.744740	4.857256	0.082095	-3.257143	-3.266300	0.007539	0.000000	0.000000	0.000000	582.661804	582.663391	0.001784	0.003058	0.003091	0.000058	1156.558472	NaN	NaN	0.636943	0.636786	0.000202
FTIR_000006.LAB	1/16/2025	15:32:30.473	0.489314	-62.185143	152.687744	-0.001317	-0.000587	0.001196	-0.029463	0.095874	0.120230	-0.946602	-0.287065	1.493748	0.012217	-0.002294	0.020768	0.004379	0.000968	0.001734	-0.936081	-1.487553	1.728123	0.016253	-0.009593	0.080797	-0.135081	0.030848	0.120541	-0.039924	-0.037873	0.029675	0.323603	-28.434702	65.114235	190.978104	191.035492	0.026117	1.010931	1.010931	0.000000	0.489314	-62.185143	152.687744	-0.946602	-0.287065	1.493748	3.897182	3.895818	0.001544	4.165219	4.164460	0.000592	86.390244	85.945000	0.451741	4.737816	4.840194	0.087489	-3.257143	-3.264992	0.007704	0.000000	0.000000	0.000000	582.663147	582.663330	0.001631	0.002965	0.003073	0.000071	1727.768311	NaN	NaN	0.637041	0.636822	0.000208
FTIR_000007.LAB	1/16/2025	15:32:43.307	-0.056562	-54.419067	143.057800	0.001063	-0.000380	0.001251	0.314559	0.123209	0.135529	1.897990	-0.013933	1.584088	0.000348	-0.001964	0.019250	0.001214	0.000998	0.001607	-1.347270	-1.470017	1.600699	-0.053924	-0.015134	0.076428	0.010136	0.028259	0.111839	-0.077763	-0.042859	0.030882	-0.377342	-24.927530	61.094765	190.971741	191.027527	0.033052	1.010931	1.010931	0.000000	-0.056562	-54.419067	143.057800	1.897990	-0.013933	1.584088	3.896770	3.895937	0.001468	4.165092	4.164539	0.000592	85.551117	85.895767	0.440806	4.817443	4.837350	0.081398	-3.261539	-3.264560	0.007236	0.000000	0.000000	0.000000	582.664368	582.663452	0.001553	0.003094	0.003076	0.000066	1800.061523	NaN	NaN	0.637103	0.636857	0.000217
FTIR_000008.LAB	1/16/2025	15:32:56.151	0.152492	-48.355560	135.049026	-0.004929	-0.000886	0.001915	0.127507	0.123687	0.126784	1.724900	0.179271	1.591106	0.006765	-0.000994	0.018241	0.002890	0.001209	0.001630	-0.946975	-1.411901	1.507433	-0.137833	-0.028768	0.082364	0.100666	0.036304	0.107364	0.002596	-0.037808	0.032620	-0.029234	-22.161053	57.748421	190.971741	191.021317	0.036076	1.005898	1.010371	0.001678	0.152492	-48.355560	135.049026	1.724900	0.179271	1.591106	3.914204	3.897967	0.006242	4.157263	4.163730	0.002488	85.471199	85.848595	0.435946	4.720505	4.824367	0.085524	-3.265934	-3.264713	0.006784	0.000000	0.000000	0.000000	582.668823	582.664062	0.002302	0.002960	0.003063	0.000073	1378.572021	NaN	NaN	0.636879	0.636860	0.000203
FTIR_000009.LAB	1/16/2025	15:33:08.979	0.425368	-43.477470	128.256470	0.001855	-0.000612	0.002003	0.209496	0.132268	0.122574	0.020074	0.163351	1.500953	0.004950	-0.000400	0.017300	-0.000568	0.001031	0.001637	1.034716	-1.167240	1.618167	-0.044326	-0.030323	0.077809	0.096258	0.042300	0.102984	-0.050237	-0.039051	0.031005	-0.651500	-20.010098	54.868965	190.971741	191.016357	0.037451	1.004205	1.009755	0.002511	0.425368	-43.477470	128.256470	0.020074	0.163351	1.500953	3.920874	3.900258	0.009333	4.154000	4.162757	0.003869	86.110535	85.874786	0.419278	4.706657	4.812596	0.088810	-3.268132	-3.265055	0.006487	0.000000	0.000000	0.000000	582.667847	582.664429	0.002478	0.002946	0.003051	0.000078	1194.581787	NaN	NaN	0.637022	0.636876	0.000198
FTIR_000010.LAB	1/16/2025	15:33:21.814	-0.432088	-43.520679	128.240265	-0.000264	-0.000638	0.001996	0.208780	0.153146	0.115095	3.541194	0.517470	1.838021	0.010444	0.000645	0.017639	0.010463	0.002077	0.003351	2.043098	-0.962930	1.888344	-0.078678	-0.038191	0.078378	0.079842	0.050284	0.102434	-0.030709	-0.042122	0.028091	0.691873	-19.940910	54.897434	190.971741	191.008713	0.038047	1.004205	1.009082	0.003012	-0.432088	-43.520679	128.240265	3.541194	0.517470	1.838021	3.918972	3.902898	0.010569	4.152676	4.161683	0.004993	86.070580	85.950699	0.371993	4.810519	4.797709	0.072438	-3.272527	-3.264395	0.005081	0.000000	0.000000	0.000000	582.668640	582.664795	0.002815	0.003027	0.003045	0.000077	1471.361084	NaN	NaN	0.636763	0.636889	0.000185
FTIR_000011.LAB	1/16/2025	15:33:34.659	1.325525	-2.630997	9.242256	-0.004160	-0.000940	0.002287	0.212512	0.154224	0.115649	39.324322	4.728229	12.239176	0.020858	0.007181	0.009084	0.017411	0.003626	0.005890	12.222527	0.575417	4.440377	-0.019871	-0.051993	0.057036	0.028845	0.053768	0.100887	-0.074412	-0.042817	0.028863	0.228618	-2.450543	7.663594	190.971741	191.001068	0.036922	1.004205	1.008410	0.003291	1.325525	-2.630997	9.242256	39.324322	4.728229	12.239176	3.885918	3.901935	0.011692	4.139590	4.159213	0.008463	85.271408	85.918739	0.417307	4.758588	4.796324	0.073104	-3.274725	-3.265495	0.006023	0.000000	0.000000	0.000000	582.667175	582.665100	0.002893	0.003008	0.003036	0.000076	1381.772339	NaN	NaN	0.637150	0.636906	0.000201
FTIR_000012.LAB	1/16/2025	15:33:47.486	8.104759	-1.832646	9.832382	-0.001410	-0.000926	0.002284	0.149514	0.163594	0.110470	48.556848	9.680334	18.231497	0.011958	0.007559	0.009208	0.067116	0.010272	0.020797	428.651629	43.466087	135.412918	0.102486	-0.028173	0.067048	-0.173303	0.033419	0.124038	-0.124416	-0.052865	0.037698	-1.345685	-2.526832	7.646714	190.971741	190.993439	0.033904	1.004205	1.007737	0.003404	8.104759	-1.832646	9.832382	48.556848	9.680334	18.231497	3.798388	3.892186	0.034905	4.105308	4.153310	0.018784	85.351326	85.898758	0.440974	4.848601	4.790785	0.065770	-3.272527	-3.266373	0.006370	0.000000	0.000000	0.000000	582.664673	582.665405	0.002668	0.002927	0.003010	0.000061	1595.749390	NaN	NaN	0.637424	0.636977	0.000246
FTIR_000013.LAB	1/16/2025	15:34:00.350	14.532441	-0.364359	11.123095	-0.002348	-0.001273	0.002201	0.136556	0.145963	0.097282	45.401102	14.163699	21.038088	0.016809	0.009103	0.009348	0.207852	0.031006	0.065435	1413.019040	184.845352	452.016113	0.539804	0.028853	0.191640	-0.192081	0.013355	0.143246	-0.117345	-0.056721	0.042331	-0.302893	-2.607547	7.615359	190.971741	190.985809	0.028398	1.004205	1.007064	0.003367	14.532441	-0.364359	11.123095	45.401102	14.163699	21.038088	3.673892	3.869973	0.077221	4.060105	4.142874	0.034398	86.190453	85.906746	0.445935	4.800133	4.783169	0.058808	-3.265934	-3.265934	0.006216	0.000000	0.000000	0.000000	582.660767	582.664917	0.003035	0.002785	0.002978	0.000085	1909.616699	NaN	NaN	0.637196	0.637048	0.000185
FTIR_000014.LAB	1/16/2025	15:34:13.164	19.234901	4.448871	7.085463	0.000427	-0.001036	0.002248	0.073765	0.147281	0.096079	37.528231	17.715033	21.744982	0.011777	0.011367	0.006180	0.348554	0.065834	0.118461	2281.827344	413.491211	794.250854	0.563630	0.092285	0.250859	-0.003826	-0.013879	0.111778	-0.110612	-0.062926	0.045436	-1.377547	-0.323160	0.675982	190.971741	190.978241	0.018481	1.004205	1.006392	0.003175	19.234901	4.448871	7.085463	37.528231	17.715033	21.744982	3.583176	3.838617	0.118027	4.028261	4.129261	0.048841	86.310333	85.914734	0.453040	4.914380	4.785938	0.064593	-3.263736	-3.265934	0.006216	0.000000	0.000000	0.000000	582.659973	582.664734	0.003288	0.002724	0.002949	0.000116	1770.238770	1538.627930	261.990662	0.637319	0.637084	0.000200
