Date, Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,HF N2 MFC: Scale Factor Entry,HF N2 MFC: Mode Selection,HF N2 MFC: Setpoint Entry,HF N2 MFC: Device Scale Factor,HF N2 MFC: Device Mode,HF N2 MFC: Device Setpoint,HF N2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Cl2 MFC: Zero Offset (sccm),Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%)
01/31/2025,11:30:58,0.0,42.6,45.1,No Reading,Off,Off,384.791,0.031,-0.02,5.413,2.597,290.727,-0.037,191.016,5.413,1.01,2.803,No Reading,No Reading,No Reading,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Setpoint,30,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,80.0,0.4,Closed,80.0,5.8,N2,Setpoint,80.0,N2,Setpoint,80.0,80.5,Air,Air,218.3,Setpoint,10.0,Setpoint,10.0,9.9,0,Unknown,Unknown,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,31.67
01/31/2025,11:31:08,0.0,42.4,45.2,No Reading,Off,Off,368.906,0.014,0.014,5.949,3.034,303.818,-0.195,191.016,5.949,1.01,2.772,No Reading,No Reading,No Reading,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Setpoint,30,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,80.0,0.4,Closed,80.0,5.5,N2,Setpoint,80.0,N2,Setpoint,80.0,82.5,Air,Air,217.7,Setpoint,10.0,Setpoint,10.0,10.0,0,Unknown,Unknown,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,31.65
01/31/2025,11:31:18,0.0,42.4,45.2,No Reading,Off,Off,351.8,0.009,-0.065,3.855,2.192,292.17,-0.23,191.016,3.855,1.01,2.755,No Reading,No Reading,No Reading,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Setpoint,30,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,80.0,0.4,Closed,80.0,5.5,N2,Setpoint,80.0,N2,Setpoint,80.0,77.6,Air,Air,217.2,Setpoint,10.0,Setpoint,10.0,9.9,0,Unknown,Unknown,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,31.61
01/31/2025,11:31:28,0.0,42.6,45.2,No Reading,Off,Off,347.895,0.021,-0.007,4.418,2.825,320.418,-0.219,191.016,4.418,1.01,2.744,No Reading,No Reading,No Reading,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Setpoint,30,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,80.0,0.4,Closed,80.0,5.7,N2,Setpoint,80.0,N2,Setpoint,80.0,79.6,Air,Air,216.9,Setpoint,10.0,Setpoint,10.0,9.9,0,Unknown,Unknown,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,31.62
01/31/2025,11:31:38,0.0,42.6,45.0,No Reading,Off,Off,347.895,0.021,-0.007,4.418,2.825,320.418,-0.219,191.016,4.418,1.01,2.744,No Reading,No Reading,No Reading,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Setpoint,30,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,80.0,0.4,Closed,80.0,5.5,N2,Setpoint,80.0,N2,Setpoint,80.0,77.0,Air,Air,216.6,Setpoint,10.0,Setpoint,10.0,9.8,0,Unknown,Unknown,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,31.58
01/31/2025,11:31:48,0.0,42.5,45.2,No Reading,Off,Off,328.484,0.01,0.009,3.078,2.221,251.21,-0.261,191.016,3.078,1.01,2.733,No Reading,No Reading,No Reading,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Setpoint,30,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,80.0,0.4,Closed,80.0,5.5,N2,Setpoint,80.0,N2,Setpoint,80.0,77.4,Air,Air,216.2,Setpoint,10.0,Setpoint,10.0,9.9,0,Unknown,Unknown,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,31.58
01/31/2025,11:31:58,0.0,42.6,45.1,No Reading,Off,Off,312.432,0.018,-0.003,2.982,2.806,297.58,-0.175,191.016,2.982,1.01,2.717,No Reading,No Reading,No Reading,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Setpoint,30,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,80.0,0.4,Closed,80.0,5.6,N2,Setpoint,80.0,N2,Setpoint,80.0,77.8,Air,Air,216.4,Setpoint,10.0,Setpoint,10.0,9.9,0,Unknown,Unknown,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,31.56
01/31/2025,11:32:08,0.0,42.6,45.2,No Reading,Off,Off,278.487,0.015,0.076,3.128,2.411,294.07,-0.36,191.016,3.128,1.01,2.695,No Reading,No Reading,No Reading,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Setpoint,30,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,80.0,0.4,Closed,80.0,5.8,N2,Setpoint,80.0,N2,Setpoint,80.0,80.1,Air,Air,216.3,Setpoint,10.0,Setpoint,10.0,10.0,0,Unknown,Unknown,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,31.54
01/31/2025,11:32:18,0.0,42.6,45.2,No Reading,Off,Off,245.94,0.003,-0.035,3.26,0.384,301.889,-0.453,191.016,3.26,1.01,2.672,No Reading,No Reading,No Reading,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Setpoint,30,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,80.0,0.4,Closed,80.0,5.5,N2,Setpoint,80.0,N2,Setpoint,80.0,81.3,Air,Air,216.2,Setpoint,10.0,Setpoint,10.0,10.0,0,Unknown,Unknown,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,31.52
01/31/2025,11:32:28,0.0,42.7,45.2,No Reading,Off,Off,245.94,0.003,-0.035,3.26,0.384,301.889,-0.453,191.016,3.26,1.01,2.672,No Reading,No Reading,No Reading,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Setpoint,30,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,80.0,0.4,Closed,80.0,5.7,N2,Setpoint,80.0,N2,Setpoint,80.0,78.1,Air,Air,216.4,Setpoint,10.0,Setpoint,10.0,9.9,0,Unknown,Unknown,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,31.51
