Date, Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,HF N2 MFC: Scale Factor Entry,HF N2 MFC: Mode Selection,HF N2 MFC: Setpoint Entry,HF N2 MFC: Device Scale Factor,HF N2 MFC: Device Mode,HF N2 MFC: Device Setpoint,HF N2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Cl2 MFC: Zero Offset (sccm),Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%)
01/31/2025,17:25:20,0.02,42.6,45.7,No Reading,Off,Off,6.645,0.021,-0.049,1.602,5.318,472.381,0.711,191.016,1.602,1.007,2.987,11.1422,5.3283,1.8706,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Open,1.7,N2,Open,1.7,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,80.0,0.4,Setpoint,80.0,78.2,N2,Setpoint,80.0,N2,Setpoint,80.0,82.5,Air,Air,256.6,Closed,10.0,Closed,10.0,0.0,0,Picarro,No Reading,10 ppm,10 ppm,Bubbler,Bubbler,24.07
01/31/2025,17:25:30,0.02,42.5,45.7,No Reading,Off,Off,6.534,0.006,0.055,3.712,5.291,441.693,0.896,191.016,3.712,1.007,2.987,10.8715,5.3015,1.8758,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Open,1.7,N2,Open,1.7,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,80.0,0.4,Setpoint,80.0,78.1,N2,Setpoint,80.0,N2,Setpoint,80.0,76.9,Air,Air,256.6,Closed,10.0,Closed,10.0,0.0,0,Picarro,No Reading,10 ppm,10 ppm,Bubbler,Bubbler,24.07
01/31/2025,17:25:40,0.02,42.5,45.6,No Reading,Off,Off,6.641,0.012,-0.044,3.067,4.696,448.913,0.737,191.016,3.067,1.007,2.988,10.539,5.5454,1.8824,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Open,1.7,N2,Open,1.7,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,80.0,0.4,Setpoint,80.0,77.8,N2,Setpoint,80.0,N2,Setpoint,80.0,76.8,Air,Air,256.8,Closed,10.0,Closed,10.0,0.0,0,Picarro,No Reading,10 ppm,10 ppm,Bubbler,Bubbler,24.07
01/31/2025,17:25:50,0.02,42.6,45.7,No Reading,Off,Off,6.017,0.012,0.052,2.934,6.428,475.813,0.779,191.016,2.934,1.007,2.988,10.2676,5.382,1.8884,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Open,1.7,N2,Open,1.7,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,80.0,0.4,Setpoint,80.0,78.1,N2,Setpoint,80.0,N2,Setpoint,80.0,77.7,Air,Air,256.7,Closed,10.0,Closed,10.0,0.0,0,Picarro,No Reading,10 ppm,10 ppm,Bubbler,Bubbler,24.07
01/31/2025,17:26:00,0.02,42.6,45.6,No Reading,Off,Off,6.017,0.012,0.052,2.934,6.428,475.813,0.779,191.016,2.934,1.007,2.988,10.05,4.731,1.8922,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Open,1.7,N2,Open,1.7,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,80.0,0.4,Setpoint,80.0,78.4,N2,Setpoint,80.0,N2,Setpoint,80.0,78.5,Air,Air,256.5,Closed,10.0,Closed,10.0,0.0,0,Picarro,No Reading,10 ppm,10 ppm,Bubbler,Bubbler,24.06
01/31/2025,17:26:10,0.02,42.6,45.8,No Reading,Off,Off,6.148,0.016,-0.031,1.852,4.843,462.433,0.723,191.016,1.852,1.007,2.988,9.7637,4.793,1.9007,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Open,1.7,N2,Open,1.7,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,80.0,0.4,Setpoint,80.0,78.2,N2,Setpoint,80.0,N2,Setpoint,80.0,82.6,Air,Air,256.8,Closed,10.0,Closed,10.0,0.0,0,Picarro,No Reading,10 ppm,10 ppm,Bubbler,Bubbler,24.05
01/31/2025,17:26:20,0.02,42.6,45.6,No Reading,Off,Off,5.327,0.014,0.016,2.341,5.936,449.941,0.759,191.016,2.341,1.007,2.988,9.5958,4.7478,1.9026,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Open,1.7,N2,Open,1.7,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,80.0,0.4,Setpoint,80.0,77.6,N2,Setpoint,80.0,N2,Setpoint,80.0,79.5,Air,Air,256.8,Closed,10.0,Closed,10.0,0.0,0,Picarro,No Reading,10 ppm,10 ppm,Bubbler,Bubbler,24.07
01/31/2025,17:26:30,0.02,42.7,45.6,No Reading,Off,Off,5.225,0.011,0.034,2.63,5.397,458.697,0.723,191.016,2.63,1.007,2.988,9.3816,4.8613,1.9075,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Open,1.7,N2,Open,1.7,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,80.0,0.4,Setpoint,80.0,78.0,N2,Setpoint,80.0,N2,Setpoint,80.0,83.0,Air,Air,256.6,Closed,10.0,Closed,10.0,0.0,0,Picarro,No Reading,10 ppm,10 ppm,Bubbler,Bubbler,24.06
01/31/2025,17:26:40,0.02,42.6,45.7,No Reading,Off,Off,4.83,0.026,-0.027,1.21,5.552,461.442,0.702,191.016,1.21,1.007,2.988,9.1545,5.1828,1.9123,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Open,1.7,N2,Open,1.7,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,80.0,0.4,Setpoint,80.0,78.2,N2,Setpoint,80.0,N2,Setpoint,80.0,81.9,Air,Air,256.7,Closed,10.0,Closed,10.0,0.0,0,Picarro,No Reading,10 ppm,10 ppm,Bubbler,Bubbler,24.06
01/31/2025,17:26:50,0.02,42.6,45.6,No Reading,Off,Off,4.83,0.026,-0.027,1.21,5.552,461.442,0.702,191.016,1.21,1.007,2.988,8.9757,7.6439,1.918,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Open,1.7,N2,Open,1.7,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,80.0,0.4,Setpoint,80.0,78.2,N2,Setpoint,80.0,N2,Setpoint,80.0,80.0,Air,Air,256.7,Closed,10.0,Closed,10.0,0.0,0,Picarro,No Reading,10 ppm,10 ppm,Bubbler,Bubbler,24.06
01/31/2025,17:27:00,0.02,42.7,45.6,No Reading,Off,Off,5.402,0.014,0.023,2.572,4.679,431.257,0.774,191.016,2.572,1.007,2.989,8.7718,4.6448,1.9217,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Open,1.7,N2,Open,1.7,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,80.0,0.4,Setpoint,80.0,78.2,N2,Setpoint,80.0,N2,Setpoint,80.0,77.2,Air,Air,256.5,Closed,10.0,Closed,10.0,0.0,0,Picarro,No Reading,10 ppm,10 ppm,Bubbler,Bubbler,24.06
01/31/2025,17:27:10,0.02,42.6,45.7,No Reading,Off,Off,4.866,0.008,-0.026,0.512,4.855,433.72,0.774,191.016,0.512,1.007,2.989,8.5739,5.9933,1.9275,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Open,1.7,N2,Open,1.7,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,80.0,0.4,Setpoint,80.0,78.1,N2,Setpoint,80.0,N2,Setpoint,80.0,77.8,Air,Air,256.6,Closed,10.0,Closed,10.0,0.0,0,Picarro,No Reading,10 ppm,10 ppm,Bubbler,Bubbler,24.06
01/31/2025,17:27:20,0.02,42.7,45.6,No Reading,Off,Off,4.876,0.02,0.032,0.746,5.307,449.26,0.721,191.016,0.746,1.007,2.989,8.4156,4.1977,1.9304,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Open,1.7,N2,Open,1.7,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,80.0,0.4,Setpoint,80.0,78.4,N2,Setpoint,80.0,N2,Setpoint,80.0,81.5,Air,Air,256.6,Closed,10.0,Closed,10.0,0.0,0,Picarro,No Reading,10 ppm,10 ppm,Bubbler,Bubbler,24.06
01/31/2025,17:27:30,0.02,42.7,45.6,No Reading,Off,Off,4.876,0.02,0.032,0.746,5.307,449.26,0.721,191.016,0.746,1.007,2.989,8.2617,4.9136,1.934,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Open,1.7,N2,Open,1.7,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,80.0,0.4,Setpoint,80.0,77.8,N2,Setpoint,80.0,N2,Setpoint,80.0,78.5,Air,Air,256.5,Closed,10.0,Closed,10.0,0.0,0,Picarro,No Reading,10 ppm,10 ppm,Bubbler,Bubbler,24.06
01/31/2025,17:27:40,0.02,42.6,45.6,No Reading,Off,Off,3.649,0.028,0.02,0.519,5.288,443.085,0.723,191.016,0.519,1.007,2.989,8.1241,6.3323,1.9385,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Open,1.7,N2,Open,1.7,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,80.0,0.4,Setpoint,80.0,78.1,N2,Setpoint,80.0,N2,Setpoint,80.0,77.2,Air,Air,256.4,Closed,10.0,Closed,10.0,0.0,0,Picarro,No Reading,10 ppm,10 ppm,Bubbler,Bubbler,24.05
01/31/2025,17:27:50,0.02,42.8,45.6,No Reading,Off,Off,4.176,0.009,0.007,2.228,5.135,503.788,0.722,191.016,2.228,1.007,2.989,7.9312,4.6771,1.9428,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Open,1.7,N2,Open,1.7,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,80.0,0.4,Setpoint,80.0,78.0,N2,Setpoint,80.0,N2,Setpoint,80.0,82.6,Air,Air,256.4,Closed,10.0,Closed,10.0,0.0,0,Picarro,No Reading,10 ppm,10 ppm,Bubbler,Bubbler,24.05
01/31/2025,17:28:00,0.02,42.6,45.6,No Reading,Off,Off,4.137,0.006,0.088,2.511,5.424,444.025,0.777,191.016,2.511,1.007,2.989,7.7979,5.3822,1.9441,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Open,1.7,N2,Open,1.7,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,80.0,0.4,Setpoint,80.0,78.1,N2,Setpoint,80.0,N2,Setpoint,80.0,76.8,Air,Air,256.4,Closed,10.0,Closed,10.0,0.0,0,Picarro,No Reading,10 ppm,10 ppm,Bubbler,Bubbler,24.05
01/31/2025,17:28:10,0.02,42.8,45.6,No Reading,Off,Off,4.137,0.006,0.088,2.511,5.424,444.025,0.777,191.016,2.511,1.007,2.989,7.6524,4.2228,1.9496,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Open,1.7,N2,Open,1.7,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,80.0,0.4,Setpoint,80.0,78.3,N2,Setpoint,80.0,N2,Setpoint,80.0,82.5,Air,Air,256.3,Closed,10.0,Closed,10.0,0.0,0,Picarro,No Reading,10 ppm,10 ppm,Bubbler,Bubbler,24.06
01/31/2025,17:28:20,0.02,42.6,45.6,No Reading,Off,Off,3.65,0.021,0.006,0.888,4.939,458.233,0.785,191.016,0.888,1.007,2.989,7.4897,4.3379,1.9525,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Open,1.7,N2,Open,1.7,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,25,0.4,Setpoint,80.0,78.0,N2,Setpoint,80.0,N2,Setpoint,80.0,82.2,Air,Air,256.5,Closed,10.0,Closed,10.0,0.0,0,Picarro,No Reading,10 ppm,10 ppm,Bubbler,Bubbler,24.05
01/31/2025,17:28:30,0.02,42.5,45.7,No Reading,Off,Off,4.312,0.026,0.076,1.136,4.53,457.959,0.813,191.016,1.136,1.007,2.989,7.3774,4.659,1.9557,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Open,1.7,N2,Open,1.7,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,250,0.4,Setpoint,250.0,247.4,N2,Setpoint,80.0,N2,Setpoint,80.0,77.4,Air,Air,276.9,Closed,10.0,Closed,10.0,0.0,0,Picarro,No Reading,10 ppm,10 ppm,Bubbler,Bubbler,19.01
01/31/2025,17:28:40,0.02,42.5,45.6,No Reading,Off,Off,4.166,0.001,0.006,0.71,4.603,428.134,0.818,191.016,0.71,1.007,2.989,7.2699,4.0738,1.9567,N2,Closed,40.0,N2,Closed,40.0,0.0,N2,Open,1.7,N2,Open,1.7,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,250,0.4,Setpoint,250.0,247.6,N2,Setpoint,80.0,N2,Setpoint,80.0,83.1,Air,Air,320.6,Closed,10.0,Closed,10.0,0.0,0,Picarro,No Reading,10 ppm,10 ppm,Bubbler,Bubbler,14.02
01/31/2025,17:28:50,0.02,42.6,45.6,No Reading,Off,Off,3.601,0.009,0.078,1.324,4.461,461.56,0.72,191.016,1.324,1.007,2.989,7.1433,4.6596,1.9552,N2,Closed,40.0,N2,Closed,40.0,0.0,N2,Open,1.7,N2,Open,1.7,4.4,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,250,0.4,Setpoint,250.0,247.6,N2,Setpoint,80.0,N2,Setpoint,80.0,81.0,Air,Air,282.2,Closed,10.0,Closed,10.0,0.0,0,Picarro,No Reading,10 ppm,10 ppm,Bubbler,Bubbler,13.79
01/31/2025,17:29:00,0.02,42.6,45.6,No Reading,Off,Off,3.306,0.018,-0.018,0.196,6.071,499.504,0.756,191.016,0.196,1.007,2.992,7.029,3.6803,1.9542,N2,Closed,40.0,N2,Closed,40.0,0.0,N2,Open,1.7,N2,Open,1.7,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,250,0.4,Setpoint,250.0,247.7,N2,Setpoint,80.0,N2,Setpoint,80.0,81.8,Air,Air,317.9,Closed,10.0,Closed,10.0,0.0,0,Picarro,No Reading,10 ppm,10 ppm,Bubbler,Bubbler,13.62
01/31/2025,17:29:10,0.02,42.6,45.4,No Reading,Off,Off,3.306,0.018,-0.018,0.196,6.071,499.504,0.756,191.016,0.196,1.007,2.992,6.9284,5.066,1.9512,N2,Closed,40.0,N2,Closed,40.0,0.0,N2,Open,1.7,N2,Open,1.7,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,250,0.4,Setpoint,250.0,247.6,N2,Setpoint,80.0,N2,Setpoint,80.0,82.4,Air,Air,291.8,Closed,10.0,Closed,10.0,0.0,0,Picarro,No Reading,10 ppm,10 ppm,Bubbler,Bubbler,13.58
01/31/2025,17:29:20,0.02,42.7,45.7,No Reading,Off,Off,2.814,0.01,0.039,0.803,5.528,484.447,0.785,190.963,0.803,1.007,2.993,6.7761,4.7294,1.9433,N2,Closed,40.0,N2,Closed,40.0,0.0,N2,Open,1.7,N2,Open,1.7,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,250,0.4,Setpoint,250.0,248.6,N2,Setpoint,80.0,N2,Setpoint,80.0,80.3,Air,Air,323.5,Closed,10.0,Closed,10.0,0.0,0,Picarro,No Reading,10 ppm,10 ppm,Bubbler,Bubbler,13.56
