Date, Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,HF N2 MFC: Scale Factor Entry,HF N2 MFC: Mode Selection,HF N2 MFC: Setpoint Entry,HF N2 MFC: Device Scale Factor,HF N2 MFC: Device Mode,HF N2 MFC: Device Setpoint,HF N2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Cl2 MFC: Zero Offset (sccm),Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%)
02/05/2025,10:13:31,0.4,132.2,43.6,No Reading,Off,Off,30.901,0.007,-0.516,3.62,8.351,613.733,0.374,190.864,3.62,1.006,3.011,29.2488,4.5881,1.6278,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,66.0,0.4,Setpoint,66.0,63.9,N2,Setpoint,80.0,N2,Setpoint,80.0,79.5,Air,Air,216.1,Setpoint,6,Setpoint,6.0,5.9,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,32.09
02/05/2025,10:13:41,0.4,133.0,43.7,No Reading,Off,Off,31.111,-0.0,-0.451,5.943,7.649,558.677,0.459,190.864,5.943,1.006,3.011,29.2541,5.197,1.6278,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,66.0,0.4,Setpoint,66.0,64.3,N2,Setpoint,80.0,N2,Setpoint,80.0,80.4,Air,Air,216.2,Setpoint,6,Setpoint,6.0,5.9,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,32.11
02/05/2025,10:13:51,0.4,134.1,43.6,No Reading,Off,Off,30.903,-0.003,-0.425,7.022,7.67,578.54,0.466,190.864,7.022,1.006,3.012,29.2557,12.7594,1.6264,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,66.0,0.4,Setpoint,66.0,63.9,N2,Setpoint,80.0,N2,Setpoint,80.0,77.7,Air,Air,216.1,Setpoint,6,Setpoint,6.0,6.0,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,32.11
02/05/2025,10:14:01,0.39,134.8,43.7,No Reading,Off,Off,30.366,-0.014,-0.47,6.689,7.414,556.957,0.461,190.865,6.689,1.006,3.011,29.2327,4.7376,1.6288,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,66.0,0.4,Setpoint,66.0,64.3,N2,Setpoint,80.0,N2,Setpoint,80.0,78.1,Air,Air,216.2,Setpoint,6,Setpoint,6.0,5.9,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,32.11
02/05/2025,10:14:11,0.4,135.8,43.6,No Reading,Off,Off,30.584,-0.007,-0.413,6.678,8.047,609.441,0.45,190.923,6.678,1.006,3.011,29.2722,4.742,1.6303,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,66.0,0.4,Setpoint,66.0,64.1,N2,Setpoint,80.0,N2,Setpoint,80.0,81.0,Air,Air,216.1,Setpoint,6,Setpoint,6.0,6.0,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,32.13
02/05/2025,10:14:21,0.4,136.7,43.7,No Reading,Off,Off,30.584,-0.007,-0.413,6.678,8.047,609.441,0.45,190.923,6.678,1.006,3.011,29.2446,4.8654,1.6283,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,66.0,0.4,Setpoint,66.0,64.6,N2,Setpoint,80.0,N2,Setpoint,80.0,77.8,Air,Air,216.2,Setpoint,6,Setpoint,6.0,5.9,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,32.13
02/05/2025,10:14:31,0.4,137.8,43.7,No Reading,Off,Off,30.291,0.009,-0.468,5.671,7.516,415.5,0.405,190.934,5.671,1.006,3.012,29.2732,5.0673,1.6323,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,66.0,0.4,Setpoint,66.0,64.0,N2,Setpoint,80.0,N2,Setpoint,80.0,77.7,Air,Air,216.1,Setpoint,6,Setpoint,6.0,6.0,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,32.13
02/05/2025,10:14:41,0.4,138.6,43.7,No Reading,Off,Off,29.718,0.01,-0.414,7.227,7.324,583.702,0.559,190.959,7.227,1.006,3.012,29.2686,15.1519,1.63,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,66.0,0.4,Setpoint,66.0,64.2,N2,Setpoint,80.0,N2,Setpoint,80.0,82.2,Air,Air,216.3,Setpoint,6,Setpoint,6.0,6.0,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,32.12
02/05/2025,10:14:51,0.4,139.7,43.7,No Reading,Off,Off,30.287,0.008,-0.424,5.477,7.245,586.19,0.453,191.016,5.477,1.006,3.012,29.2451,4.5585,1.6327,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,66.0,0.4,Setpoint,66.0,64.0,N2,Setpoint,80.0,N2,Setpoint,80.0,79.7,Air,Air,216.2,Setpoint,6,Setpoint,6.0,6.0,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,32.13
02/05/2025,10:15:01,0.02,140.9,43.7,No Reading,Off,Off,30.287,0.008,-0.424,5.477,7.245,586.19,0.453,191.016,5.477,1.006,3.012,29.266,5.2322,1.6351,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,66.0,0.4,Setpoint,66.0,64.0,N2,Setpoint,80.0,N2,Setpoint,80.0,83.0,Air,Air,216.2,Setpoint,6,Setpoint,6.0,5.9,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,32.14
02/05/2025,10:15:11,0.0,142.3,43.7,No Reading,Off,Off,30.578,0.006,-0.538,4.414,8.91,620.414,0.463,191.016,4.414,1.006,3.013,29.243,4.6736,1.6357,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,66.0,0.4,Setpoint,66.0,64.2,N2,Setpoint,80.0,N2,Setpoint,80.0,77.2,Air,Air,216.4,Setpoint,6,Setpoint,6.0,5.9,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,32.15
02/05/2025,10:15:21,0.0,143.3,43.7,No Reading,Off,Off,30.119,0.007,-0.401,6.222,6.836,423.368,0.447,191.016,6.222,1.006,3.013,29.2671,4.6772,1.6338,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,66.0,0.4,Setpoint,66.0,63.9,N2,Setpoint,80.0,N2,Setpoint,80.0,77.2,Air,Air,216.3,Setpoint,6,Setpoint,6.0,6.0,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,32.16
02/05/2025,10:15:31,0.0,144.6,43.6,No Reading,Off,Off,30.638,-0.004,-0.429,6.895,7.734,572.538,0.393,191.017,6.895,1.006,3.013,29.2451,4.6974,1.6384,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,66.0,0.4,Setpoint,66.0,64.1,N2,Setpoint,80.0,N2,Setpoint,80.0,80.2,Air,Air,216.3,Setpoint,6,Setpoint,6.0,6.0,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,32.17
02/05/2025,10:15:41,0.0,145.6,43.7,No Reading,Off,Off,30.638,-0.004,-0.429,6.895,7.734,572.538,0.393,191.017,6.895,1.006,3.013,29.2599,5.1833,1.6379,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,66.0,0.4,Setpoint,66.0,64.3,N2,Setpoint,80.0,N2,Setpoint,80.0,77.0,Air,Air,216.3,Setpoint,6,Setpoint,6.0,6.1,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,32.16
02/05/2025,10:15:51,0.0,147.2,43.7,No Reading,Off,Off,30.214,-0.007,-0.381,5.958,7.872,451.866,0.459,191.023,5.958,1.006,3.013,29.2399,4.4853,1.6447,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,66.0,0.4,Setpoint,66.0,64.2,N2,Setpoint,80.0,N2,Setpoint,80.0,80.3,Air,Air,216.1,Setpoint,6,Setpoint,6.0,5.9,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,32.18
02/05/2025,10:16:01,0.0,148.5,43.7,No Reading,Off,Off,29.829,0.017,-0.396,6.147,8.074,575.891,0.394,191.023,6.147,1.006,3.013,29.2249,5.0188,1.6586,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,66.0,0.4,Setpoint,66.0,64.0,N2,Setpoint,80.0,N2,Setpoint,80.0,81.7,Air,Air,216.5,Setpoint,6,Setpoint,6.0,6.0,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,32.20
02/05/2025,10:16:11,0.0,149.8,43.7,No Reading,Off,Off,30.274,0.008,-0.349,6.711,6.671,446.365,0.448,191.023,6.711,1.006,3.013,29.266,4.3126,1.6686,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,66.0,0.4,Setpoint,66.0,63.9,N2,Setpoint,80.0,N2,Setpoint,80.0,82.6,Air,Air,216.1,Setpoint,6,Setpoint,6.0,5.9,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,32.20
02/05/2025,10:16:21,0.0,151.0,43.6,No Reading,Off,Off,30.243,-0.017,-0.316,4.615,7.571,566.605,0.482,191.023,4.615,1.006,3.013,29.2422,5.2357,1.6899,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,66.0,0.4,Setpoint,66.0,64.1,N2,Setpoint,80.0,N2,Setpoint,80.0,82.2,Air,Air,216.1,Setpoint,6,Setpoint,6.0,5.9,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,32.20
02/05/2025,10:16:31,0.0,152.5,43.7,No Reading,Off,Off,30.243,-0.017,-0.316,4.615,7.571,566.605,0.482,191.023,4.615,1.006,3.013,29.2282,4.8375,1.7045,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,66.0,0.4,Setpoint,66.0,64.4,N2,Setpoint,80.0,N2,Setpoint,80.0,78.1,Air,Air,216.4,Setpoint,6,Setpoint,6.0,6.0,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,32.21
02/05/2025,10:16:41,0.0,153.6,43.7,No Reading,Off,Off,30.218,0.012,-0.303,4.798,7.027,431.982,0.408,191.023,4.798,1.006,3.013,29.2148,10.3819,1.7162,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,66.0,0.4,Setpoint,66.0,63.9,N2,Setpoint,80.0,N2,Setpoint,80.0,79.8,Air,Air,216.3,Setpoint,6,Setpoint,6.0,6.0,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,32.21
02/05/2025,10:16:51,0.0,154.9,43.5,No Reading,Off,Off,29.796,0.006,-0.292,5.563,7.414,438.768,0.578,191.023,5.563,1.006,3.013,29.1888,3.9419,1.7379,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,66.0,0.4,Setpoint,66.0,64.2,N2,Setpoint,80.0,N2,Setpoint,80.0,82.2,Air,Air,216.2,Setpoint,6,Setpoint,6.0,6.0,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,32.22
