Date, Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Cl2 MFC: Zero Offset (sccm),Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%)
02/10/2025,12:21:15,0.0,46.4,43.3,No Reading,Off,Off,21.798,0.025,-0.0,60.304,12.119,1994.853,0.768,191.112,60.304,1.005,3.088,13.2955,56.5618,0.9631,N2,Setpoint,10,N2,Setpoint,10.0,10.0,N2,Closed,30,N2,Closed,30.0,0.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,39.9,N2,Setpoint,136,N2,Setpoint,136.0,137.5,Air,Air,232.6,Setpoint,10,Setpoint,10.0,9.9,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,68.67
02/10/2025,12:21:25,0.0,48.6,43.2,No Reading,Off,Off,24.932,0.006,-0.032,62.746,11.999,1978.198,0.779,191.112,62.746,1.005,3.082,14.3228,58.3186,0.9749,N2,Setpoint,10,N2,Setpoint,10.0,10.0,N2,Closed,30,N2,Closed,30.0,0.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,40.0,N2,Setpoint,136,N2,Setpoint,136.0,137.4,Air,Air,232.5,Setpoint,10,Setpoint,10.0,9.9,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,68.71
02/10/2025,12:21:35,0.0,51.2,43.3,No Reading,Off,Off,24.932,0.006,-0.032,62.746,11.999,1978.198,0.779,191.112,62.746,1.005,3.082,15.723,58.2887,0.9881,N2,Setpoint,10,N2,Setpoint,10.0,10.0,N2,Closed,30,N2,Closed,30.0,0.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,40.2,N2,Setpoint,136,N2,Setpoint,136.0,138.5,Air,Air,232.8,Setpoint,10,Setpoint,10.0,9.9,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,68.77
02/10/2025,12:21:45,0.0,54.4,43.3,No Reading,Off,Off,26.7,0.022,0.0,65.588,10.09,1961.861,0.743,191.061,65.588,1.005,3.077,18.2889,60.2831,1.0034,N2,Setpoint,10,N2,Setpoint,10.0,10.0,N2,Closed,30,N2,Closed,30.0,0.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,39.7,N2,Setpoint,136,N2,Setpoint,136.0,135.5,Air,Air,232.4,Setpoint,10,Setpoint,10.0,9.9,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,68.80
02/10/2025,12:21:55,0.0,57.7,43.3,No Reading,Off,Off,27.911,0.016,-0.037,69.095,9.982,1898.233,0.795,191.115,69.095,1.005,3.071,20.1617,62.9226,1.0168,N2,Setpoint,10,N2,Setpoint,10.0,10.0,N2,Closed,30,N2,Closed,30.0,0.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,40.1,N2,Setpoint,136,N2,Setpoint,136.0,134.9,Air,Air,232.2,Setpoint,10,Setpoint,10.0,9.8,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,68.84
02/10/2025,12:22:05,0.0,61.7,43.2,No Reading,Off,Off,29.629,0.025,-0.058,69.709,8.563,1805.815,0.749,191.073,69.709,1.005,3.066,21.666,63.4511,1.0278,N2,Setpoint,10,N2,Setpoint,10.0,10.0,N2,Closed,30,N2,Closed,30.0,0.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,40.0,N2,Setpoint,136,N2,Setpoint,136.0,133.9,Air,Air,232.4,Setpoint,10,Setpoint,10.0,9.9,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,68.87
02/10/2025,12:22:15,0.0,66.2,43.3,No Reading,Off,Off,31.777,0.02,-0.001,73.239,9.066,1811.678,0.723,191.048,73.239,1.005,3.061,23.6288,65.5462,1.0415,N2,Setpoint,10,N2,Setpoint,10.0,10.0,N2,Closed,30,N2,Closed,30.0,0.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,39.8,N2,Setpoint,136,N2,Setpoint,136.0,137.6,Air,Air,232.6,Setpoint,10,Setpoint,10.0,9.9,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,68.91
02/10/2025,12:22:25,0.0,70.6,43.2,No Reading,Off,Off,31.777,0.02,-0.001,73.239,9.066,1811.678,0.723,191.048,73.239,1.005,3.061,25.1304,67.573,1.0486,N2,Setpoint,10,N2,Setpoint,10.0,10.0,N2,Closed,30,N2,Closed,30.0,0.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,39.9,N2,Setpoint,136,N2,Setpoint,136.0,138.0,Air,Air,232.2,Setpoint,10,Setpoint,10.0,9.9,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,68.93
02/10/2025,12:22:35,0.0,75.2,43.3,No Reading,Off,Off,33.433,0.014,-0.027,77.657,6.984,1698.333,0.728,190.975,77.657,1.005,3.056,26.2135,69.2037,1.0582,N2,Setpoint,10,N2,Setpoint,10.0,10.0,N2,Closed,30,N2,Closed,30.0,0.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,40.1,N2,Setpoint,136,N2,Setpoint,136.0,135.9,Air,Air,232.3,Setpoint,10,Setpoint,10.0,9.9,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,68.94
02/10/2025,12:22:45,0.0,80.2,43.1,No Reading,Off,Off,34.663,0.023,-0.079,80.926,8.022,1594.869,0.763,190.972,80.926,1.005,3.05,27.6535,69.8945,1.067,N2,Setpoint,10,N2,Setpoint,10.0,10.0,N2,Closed,30,N2,Closed,30.0,0.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,40.1,N2,Setpoint,136,N2,Setpoint,136.0,137.0,Air,Air,232.2,Setpoint,10,Setpoint,10.0,9.9,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,68.96
