Spectrum	Date	Time	CH4 (PF) 191c	CH4 (PF) 191c average	CH4 (PF) 191c stdev	CH4 high%	CH4 high% average	CH4 high% stdev	CO ppm 191C (1of2)	CO ppm 191C (1of2) average	CO ppm 191C (1of2) stdev	CO2 ppm 191c	CO2 ppm 191c average	CO2 ppm 191c stdev	CO2% 191c	CO2% 191c average	CO2% 191c stdev	H2O% 191C	H2O% 191C average	H2O% 191C stdev	H2O ppm 191c	H2O ppm 191c average	H2O ppm 191c stdev	HCL 191C	HCL 191C average	HCL 191C stdev	Formaldehyde 191c	Formaldehyde 191c average	Formaldehyde 191c stdev	Formic acid 191C	Formic acid 191C average	Formic acid 191C stdev	Methyl chloride 191c	Methyl chloride 191c average	Methyl chloride 191c stdev	Temp (C)	Temp (C) average	Temp (C) stdev	Pressure (Atm)	Pressure (Atm) average	Pressure (Atm) stdev	CH4 autorange	CH4 autorange average	CH4 autorange stdev	CO2 autorange	CO2 autorange average	CO2 autorange stdev	Igram DC	Igram DC average	Igram DC stdev	Igram PP	Igram PP average	Igram PP stdev	phase Angle	phase Angle average	phase Angle stdev	laser PP	laser PP average	laser PP stdev	laser DC	laser DC average	laser DC stdev	Bad Scan counter	Bad Scan counter average	Bad Scan counter stdev	Centerburst Location	Centerburst Location average	Centerburst Location stdev	Linearizer Check	Linearizer Check average	Linearizer Check stdev	SNR 2500	SNR 2500 average	SNR 2500 stdev	sBeam @ 2500	sBeam @ 2500 average	sBeam @ 2500 stdev	
FTIR_005704.LAB	2/11/2025	09:55:36.798	-4055.418309	-4055.418213	NaN	-0.000581	-0.000581	NaN	12.091957	12.091957	NaN	254.190391	254.190384	NaN	0.167984	0.167984	NaN	1.322431	1.322431	NaN	19984.886862	19984.886719	NaN	1.666973	1.666973	NaN	1.041123	1.041123	NaN	-0.133984	-0.133984	NaN	-1700.613667	-1700.613647	NaN	190.882736	190.882736	NaN	1.002598	1.002598	NaN	-4055.418309	-4055.418213	NaN	254.190391	254.190384	NaN	2.850929	2.850929	NaN	4.102555	4.102555	NaN	87.309288	87.309288	NaN	4.779360	4.779360	NaN	-3.263736	-3.263736	NaN	0.000000	0.000000	NaN	576.797424	576.797424	NaN	0.002615	0.002615	NaN	NaN	NaN	NaN	0.663892	0.663892	NaN
FTIR_005705.LAB	2/11/2025	09:55:49.640	21.356319	-2017.031006	2882.714844	-0.010271	-0.005426	0.006852	12.783741	12.437849	0.489164	240.116480	247.153442	9.951749	0.028882	0.098433	0.098360	1.919254	1.620843	0.422018	844.839992	10414.863281	13534.057617	0.613398	1.140186	0.744990	-0.064123	0.488500	0.781527	-0.048301	-0.091142	0.060587	-1.143054	-850.878357	1201.707153	190.882736	190.882736	0.000000	1.002598	1.002598	0.000000	21.356319	-2017.031006	2882.714844	240.116480	247.153442	9.951749	2.850814	2.850872	0.000082	4.099700	4.101128	0.002019	86.789833	87.049561	0.367310	4.969773	4.874567	0.134642	-3.274725	-3.269231	0.007770	0.000000	0.000000	0.000000	576.796143	576.796753	0.000907	0.002738	0.002676	0.000087	1498.352539	NaN	NaN	0.663563	0.663727	0.000233
FTIR_005706.LAB	2/11/2025	09:56:02.471	20.694104	-1337.789307	2353.535645	-0.007397	-0.006083	0.004977	13.013417	12.629704	0.479653	237.958013	244.088303	8.814984	-0.006764	0.063367	0.092337	1.985991	1.742559	0.365368	472.601172	7100.775879	11159.519531	0.689121	0.989831	0.587643	-0.013824	0.321059	0.624101	-0.041127	-0.074471	0.051665	0.256459	-567.166748	981.594055	190.882736	190.882736	0.000000	1.002598	1.002598	0.000000	20.694104	-1337.789307	2353.535645	237.958013	244.088303	8.814984	2.850518	2.850754	0.000212	4.096951	4.099735	0.002803	86.989624	87.029579	0.262023	4.910918	4.886684	0.097492	-3.292308	-3.276923	0.014412	0.000000	0.000000	0.000000	576.795044	576.796204	0.001191	0.002659	0.002670	0.000062	2006.221802	NaN	NaN	0.663018	0.663491	0.000441
FTIR_005707.LAB	2/11/2025	09:56:15.302	20.777054	20.777054	NaN	-0.000650	-0.000650	NaN	13.113595	13.113595	NaN	235.939264	235.939270	NaN	0.022031	0.022031	NaN	1.987663	1.987663	NaN	447.843963	447.843964	NaN	0.865269	0.865269	NaN	0.029793	0.029793	NaN	-0.069910	-0.069910	NaN	1.888680	1.888680	NaN	190.882736	190.882736	NaN	1.002598	1.002598	NaN	20.777054	20.777054	NaN	235.939264	235.939270	NaN	2.850665	2.850665	NaN	4.094457	4.094457	NaN	87.229378	87.229378	NaN	4.980159	4.980159	NaN	-3.283516	-3.283516	NaN	0.000000	0.000000	NaN	576.796509	576.796509	NaN	0.002656	0.002656	NaN	2652.663818	2652.663818	NaN	0.662583	0.662583	NaN
FTIR_005708.LAB	2/11/2025	09:56:28.145	20.171238	20.474146	0.428377	-0.009275	-0.004962	0.006099	12.869606	12.991600	0.172526	237.538444	236.738861	1.130782	0.015505	0.018768	0.004615	1.986947	1.987305	0.000506	406.215414	427.029694	29.435823	0.888035	0.876652	0.016098	0.185857	0.107825	0.110354	-0.056509	-0.063210	0.009476	2.058607	1.973644	0.120156	190.882736	190.882736	0.000000	1.002598	1.002598	0.000000	20.171238	20.474146	0.428377	237.538444	236.738861	1.130782	2.850689	2.850677	0.000017	4.091752	4.093104	0.001913	86.829788	87.029587	0.282552	4.897070	4.938615	0.058753	-3.285714	-3.284616	0.001554	0.000000	0.000000	0.000000	576.789490	576.792969	0.004963	0.002590	0.002623	0.000047	1500.893555	2076.778809	814.424561	0.662765	0.662674	0.000128
FTIR_005709.LAB	2/11/2025	09:56:40.975	19.653879	20.200724	0.562168	-0.005447	-0.005124	0.004321	13.769261	13.250820	0.465261	237.487758	236.988480	0.909004	0.025918	0.021152	0.005262	2.001349	1.991986	0.008116	436.211248	430.090210	21.478689	0.931575	0.894959	0.033691	0.124635	0.113428	0.078634	0.002479	-0.041314	0.038513	2.382754	2.110014	0.251016	190.882736	190.882736	0.000000	1.002598	1.002598	0.000000	19.653879	20.200724	0.562168	237.487758	236.988480	0.909004	2.851190	2.850848	0.000296	4.089604	4.091938	0.002431	86.390244	86.816467	0.419726	5.059786	4.979005	0.081364	-3.298901	-3.289377	0.008321	0.000000	0.000000	0.000000	576.791321	576.792419	0.003641	0.002678	0.002641	0.000046	1275.813721	1809.790405	738.574280	0.662070	0.662473	0.000360
FTIR_005710.LAB	2/11/2025	09:56:53.810	20.512700	20.278717	0.484789	-0.009329	-0.006175	0.004107	13.802007	13.388617	0.469322	239.194074	237.539886	1.329290	0.049968	0.028356	0.015035	1.996667	1.993156	0.007028	410.932577	425.300812	19.982735	0.903326	0.897051	0.027825	0.126424	0.116677	0.064532	-0.042214	-0.041539	0.031449	1.027673	1.839429	0.578681	190.882736	190.882736	0.000000	1.002598	1.002598	0.000000	20.512700	20.278717	0.484789	239.194074	237.539886	1.329290	2.851416	2.850990	0.000373	4.086553	4.090591	0.003345	87.189415	86.909706	0.390152	4.803595	4.935153	0.110026	-3.287912	-3.289011	0.006833	0.000000	0.000000	0.000000	576.789795	576.791748	0.003254	0.002678	0.002650	0.000042	2071.863281	1875.308594	617.115784	0.661665	0.662271	0.000500
FTIR_005711.LAB	2/11/2025	09:57:06.652	20.473451	20.317663	0.428777	-0.009860	-0.006912	0.003920	13.775189	13.465930	0.441684	238.156314	237.663177	1.183746	0.032457	0.029176	0.013149	1.991148	1.992755	0.006152	419.885430	424.217712	17.474195	0.918555	0.901352	0.025945	0.252474	0.143837	0.082531	0.009750	-0.031281	0.035607	0.435860	1.558715	0.803215	190.882736	190.882736	0.000000	1.002598	1.002598	0.000000	20.473451	20.317663	0.428777	238.156314	237.663177	1.183746	2.851875	2.851167	0.000511	4.084135	4.089300	0.004090	87.309288	86.989624	0.382226	4.848601	4.917842	0.102847	-3.285714	-3.288352	0.006099	0.000000	0.000000	0.000000	576.786987	576.790833	0.003540	0.002592	0.002639	0.000045	1577.871094	1815.821045	550.742859	0.661272	0.662071	0.000622
FTIR_005712.LAB	2/11/2025	09:57:19.481	20.476217	20.344090	0.388934	-0.008009	-0.007095	0.003535	13.469505	13.466526	0.395057	238.129407	237.740891	1.075748	0.016141	0.027003	0.012909	1.987866	1.991940	0.005853	385.959136	417.841309	22.095959	0.871294	0.896342	0.026251	0.189626	0.151468	0.076148	0.003835	-0.025428	0.034926	1.657834	1.575235	0.719556	190.882736	190.882736	0.000000	1.002598	1.002598	0.000000	20.476217	20.344090	0.388934	238.129407	237.740891	1.075748	2.852778	2.851435	0.000801	4.081376	4.087979	0.004884	86.390244	86.889732	0.420421	4.848601	4.906302	0.096234	-3.290110	-3.288645	0.005502	0.000000	0.000000	0.000000	576.785767	576.789978	0.003779	0.002571	0.002627	0.000049	1172.166382	1708.545288	558.303467	0.661088	0.661907	0.000686
FTIR_005713.LAB	2/11/2025	09:57:32.317	19.657721	20.246037	0.439725	-0.002244	-0.006402	0.003711	13.411929	13.458726	0.361226	238.636470	237.868820	1.038723	0.017350	0.025624	0.012336	1.987488	1.991304	0.005602	400.315618	415.337646	21.230589	0.982658	0.908673	0.040480	0.103609	0.144631	0.071829	-0.043246	-0.027974	0.032586	1.095993	1.506772	0.681380	190.882736	190.882721	0.000016	1.002598	1.002598	0.000000	19.657721	20.246037	0.439725	238.636470	237.868820	1.038723	2.853254	2.851695	0.001004	4.078770	4.086664	0.005656	87.309288	86.949661	0.415261	4.914380	4.907456	0.087902	-3.272527	-3.286342	0.007895	0.000000	0.000000	0.000000	576.784302	576.789124	0.004063	0.002575	0.002620	0.000049	2255.354248	1786.660889	549.969604	0.660534	0.661711	0.000813
