Date, Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Cl2 MFC: Zero Offset (sccm),Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%)
02/11/2025,15:52:21,0.02,64.9,1.3,No Reading,Off,Off,-10.976,0.009,0.016,13.035,2.196,206.701,-0.045,190.876,13.035,1.001,2.447,2.2683,450.4508,0.6132,N2,Setpoint,50,N2,Setpoint,50.0,50.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,40.1,N2,Setpoint,50,N2,Setpoint,50.0,51.4,Air,Air,228.3,Setpoint,60,Setpoint,60.0,59.9,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,49.79
02/11/2025,15:52:31,0.02,64.8,1.3,No Reading,Off,Off,11.862,0.018,0.046,12.501,-0.636,203.348,0.15,190.876,12.501,1.001,2.447,2.272,448.9066,0.6138,N2,Setpoint,50,N2,Setpoint,50.0,50.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,40.0,N2,Setpoint,50,N2,Setpoint,50.0,50.6,Air,Air,228.5,Setpoint,60,Setpoint,60.0,60.0,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,49.79
02/11/2025,15:52:41,0.02,64.8,1.3,No Reading,Off,Off,-18.644,0.023,-0.007,12.111,1.0,220.664,-0.049,190.876,12.111,1.001,2.446,2.2768,448.1093,0.6159,N2,Setpoint,50,N2,Setpoint,50.0,50.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,40.0,N2,Setpoint,50,N2,Setpoint,50.0,48.1,Air,Air,228.5,Setpoint,60,Setpoint,60.0,60.0,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,49.79
02/11/2025,15:52:51,0.02,64.8,1.3,No Reading,Off,Off,-11.572,0.006,0.088,13.024,1.942,202.566,0.116,190.876,13.024,1.001,2.446,2.3045,444.4483,0.6178,N2,Setpoint,50,N2,Setpoint,50.0,50.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,40.0,N2,Setpoint,50,N2,Setpoint,50.0,51.0,Air,Air,228.2,Setpoint,60,Setpoint,60.0,59.9,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,49.79
02/11/2025,15:53:01,0.02,64.9,1.3,No Reading,Off,Off,-11.572,0.006,0.088,13.024,1.942,202.566,0.116,190.876,13.024,1.001,2.446,2.3345,442.8137,0.6199,N2,Setpoint,50,N2,Setpoint,50.0,50.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,40.1,N2,Setpoint,50,N2,Setpoint,50.0,51.4,Air,Air,228.5,Setpoint,60,Setpoint,60.0,59.9,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,49.79
02/11/2025,15:53:11,0.02,64.6,1.3,No Reading,Off,Off,-6.584,0.02,0.088,11.97,0.004,175.129,0.129,190.876,11.97,1.001,2.446,2.3671,441.6236,0.6207,N2,Setpoint,50,N2,Setpoint,50.0,50.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,40.0,N2,Setpoint,50,N2,Setpoint,50.0,48.6,Air,Air,228.2,Setpoint,60,Setpoint,60.0,59.9,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,49.80
02/11/2025,15:53:21,0.02,155.5,1.3,No Reading,Off,Off,-11.173,0.013,0.051,11.024,2.563,175.757,0.004,190.876,11.024,1.001,2.446,2.3959,440.9604,0.6227,N2,Setpoint,50,N2,Setpoint,50.0,50.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,40.1,N2,Setpoint,50,N2,Setpoint,50.0,51.2,Air,Air,228.0,Setpoint,60,Setpoint,60.0,59.9,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,49.79
02/11/2025,15:53:31,0.02,155.5,1.3,No Reading,Off,Off,-27.473,0.017,-0.038,10.748,0.741,228.323,0.036,190.876,10.748,1.001,2.445,2.4145,442.2336,0.6237,N2,Setpoint,50,N2,Setpoint,50.0,50.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,39.8,N2,Setpoint,50,N2,Setpoint,50.0,50.8,Air,Air,228.5,Setpoint,60,Setpoint,60.0,60.0,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,49.79
02/11/2025,15:53:41,0.02,155.4,1.3,No Reading,Off,Off,-27.473,0.017,-0.038,10.748,0.741,228.323,0.036,190.876,10.748,1.001,2.445,2.4571,447.2091,0.6232,N2,Setpoint,50,N2,Setpoint,50.0,50.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,39.9,N2,Setpoint,50,N2,Setpoint,50.0,51.6,Air,Air,228.6,Setpoint,60,Setpoint,60.0,59.9,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,49.80
02/11/2025,15:53:51,0.02,155.3,1.3,No Reading,Off,Off,-16.009,0.01,0.013,11.291,1.435,222.635,0.04,190.876,11.291,1.001,2.446,2.4394,451.1339,0.623,N2,Setpoint,50,N2,Setpoint,50.0,50.0,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,39.9,N2,Setpoint,50,N2,Setpoint,50.0,47.8,Air,Air,228.4,Setpoint,60,Setpoint,60.0,60.0,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,49.79
