Date, Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,HF N2 MFC: Scale Factor Entry,HF N2 MFC: Mode Selection,HF N2 MFC: Setpoint Entry,HF N2 MFC: Device Scale Factor,HF N2 MFC: Device Mode,HF N2 MFC: Device Setpoint,HF N2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%)
09/16/2024,17:18:05,No Reading,89.0,42.0,No Reading,Off,Off,19.529,1.302,1.61,-0.083,0.621,-0.356,0.018,9.428,-0.05,-0.005,-2.752,2.1076,409.6787,1.2506,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,68,0.3,Setpoint,68.0,66.2,N2,Setpoint,80.0,N2,Setpoint,80.0,80.2,Air,Air,202.2,Setpoint,6,Setpoint,6.0,5.9,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,33.20
09/16/2024,17:18:15,No Reading,89.0,42.0,No Reading,Off,Off,21.144,1.305,1.628,0.031,0.563,-0.274,-0.01,8.83,-0.258,-0.055,-1.953,2.1076,410.1807,1.257,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,68,0.3,Setpoint,68.0,66.4,N2,Setpoint,80.0,N2,Setpoint,80.0,82.2,Air,Air,202.4,Setpoint,6,Setpoint,6.0,6.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,33.19
09/16/2024,17:18:25,No Reading,89.0,42.0,No Reading,Off,Off,17.146,1.971,1.618,0.237,0.541,-0.475,-0.097,10.163,0.068,-0.042,-2.393,2.1053,410.0138,1.2571,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,68,0.3,Setpoint,68.0,66.3,N2,Setpoint,80.0,N2,Setpoint,80.0,78.2,Air,Air,202.5,Setpoint,6,Setpoint,6.0,5.9,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,33.19
09/16/2024,17:18:35,No Reading,89.0,42.0,No Reading,Off,Off,17.146,1.971,1.618,0.237,0.541,-0.475,-0.097,10.163,0.068,-0.042,-2.393,2.1044,410.6101,1.2588,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,68,0.3,Setpoint,68.0,66.3,N2,Setpoint,80.0,N2,Setpoint,80.0,81.6,Air,Air,202.4,Setpoint,6,Setpoint,6.0,5.9,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,33.18
09/16/2024,17:18:45,No Reading,89.0,42.0,No Reading,Off,Off,16.882,1.464,1.624,0.057,0.557,-0.302,-0.171,11.383,-0.325,-0.046,-2.017,2.1053,409.8214,1.2589,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,68,0.3,Setpoint,68.0,66.3,N2,Setpoint,80.0,N2,Setpoint,80.0,81.5,Air,Air,202.4,Setpoint,6,Setpoint,6.0,5.9,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,33.18
09/16/2024,17:18:55,No Reading,89.0,42.0,No Reading,Off,Off,17.639,1.146,1.618,0.15,0.541,-0.441,-0.026,10.292,-0.037,-0.043,-2.17,2.1076,412.2115,1.2582,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,68,0.3,Setpoint,68.0,66.2,N2,Setpoint,80.0,N2,Setpoint,80.0,83.1,Air,Air,202.4,Setpoint,6,Setpoint,6.0,6.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,33.19
09/16/2024,17:19:05,No Reading,89.0,42.0,No Reading,Off,Off,19.277,3.306,1.626,-0.102,0.629,-0.294,-0.13,9.746,-0.171,-0.01,-2.434,2.1554,412.4983,1.2643,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,68,0.3,Setpoint,68.0,66.4,N2,Setpoint,80.0,N2,Setpoint,80.0,80.0,Air,Air,202.1,Setpoint,6,Setpoint,6.0,6.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,33.21
09/16/2024,17:19:15,No Reading,89.0,42.0,No Reading,Off,Off,19.767,1.506,1.625,-0.11,0.637,-0.422,-0.142,9.934,-0.209,-0.03,-2.664,10.3999,261.9814,1.3501,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,68,0.3,Setpoint,68.0,66.4,N2,Setpoint,80.0,N2,Setpoint,80.0,79.8,Air,Air,202.4,Setpoint,6,Setpoint,6.0,5.9,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,33.24
09/16/2024,17:19:25,No Reading,89.0,42.0,No Reading,Off,Off,19.767,1.506,1.625,-0.11,0.637,-0.422,-0.142,9.934,-0.209,-0.03,-2.664,18.4801,132.3486,1.4328,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,68,0.3,Setpoint,68.0,66.3,N2,Setpoint,80.0,N2,Setpoint,80.0,79.6,Air,Air,202.4,Setpoint,6,Setpoint,6.0,6.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,33.24
09/16/2024,17:19:35,No Reading,89.0,42.0,No Reading,Off,Off,19.877,1.015,1.637,-0.129,0.556,-0.248,-0.067,9.272,-0.177,-0.029,-1.962,23.9915,52.0941,1.488,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,68,0.3,Setpoint,68.0,66.5,N2,Setpoint,80.0,N2,Setpoint,80.0,83.1,Air,Air,202.4,Setpoint,6,Setpoint,6.0,5.9,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,33.24
09/16/2024,17:19:45,No Reading,89.0,42.0,No Reading,Off,Off,21.732,1.438,1.631,-0.048,0.551,-0.513,0.008,9.648,-0.296,-0.014,-2.385,26.3711,19.32,1.512,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,68,0.3,Setpoint,68.0,66.3,N2,Setpoint,80.0,N2,Setpoint,80.0,80.0,Air,Air,202.6,Setpoint,6,Setpoint,6.0,6.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,33.25
09/16/2024,17:19:55,No Reading,89.0,42.0,No Reading,Off,Off,20.077,1.502,1.622,-0.018,0.561,-0.352,-0.11,10.235,-0.307,-0.064,-2.2,27.1731,7.2652,1.5197,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,68,0.3,Setpoint,68.0,66.3,N2,Setpoint,80.0,N2,Setpoint,80.0,80.5,Air,Air,202.4,Setpoint,6,Setpoint,6.0,5.9,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,33.26
09/16/2024,17:20:05,No Reading,89.0,42.0,No Reading,Off,Off,20.077,1.502,1.622,-0.018,0.561,-0.352,-0.11,10.235,-0.307,-0.064,-2.2,27.3697,4.5593,1.5218,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,68,0.3,Setpoint,68.0,66.3,N2,Setpoint,80.0,N2,Setpoint,80.0,82.0,Air,Air,202.5,Setpoint,6,Setpoint,6.0,5.9,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,33.27
09/16/2024,17:20:15,No Reading,89.0,42.0,No Reading,Off,Off,17.714,-0.198,1.633,-0.033,0.573,-0.426,-0.081,10.521,-0.306,-0.073,-2.867,27.4821,2.7249,1.5242,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,68,0.3,Setpoint,68.0,66.1,N2,Setpoint,80.0,N2,Setpoint,80.0,75.5,Air,Air,202.3,Setpoint,6,Setpoint,6.0,6.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,33.28
09/16/2024,17:20:25,No Reading,90.0,42.0,No Reading,Off,Off,18.655,2.245,1.624,0.019,0.634,-0.531,-0.061,11.128,-0.357,-0.081,-2.366,27.5041,2.1673,1.5251,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,128,0.3,Setpoint,128.0,125.8,N2,Setpoint,20,N2,Setpoint,20.0,21.1,Air,Air,203.9,Setpoint,6,Setpoint,6.0,5.9,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,33.23
09/16/2024,17:20:35,No Reading,90.0,42.0,No Reading,Off,Off,20.805,1.014,1.649,0.191,0.699,-0.441,0.01,9.709,-0.678,-0.021,-2.437,27.5209,1.9876,1.501,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,128,0.3,Setpoint,128.0,126.4,N2,Setpoint,20,N2,Setpoint,20.0,17.1,Air,Air,250.3,Setpoint,6,Setpoint,6.0,5.9,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,24.81
