Date, Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,HF N2 MFC: Scale Factor Entry,HF N2 MFC: Mode Selection,HF N2 MFC: Setpoint Entry,HF N2 MFC: Device Scale Factor,HF N2 MFC: Device Mode,HF N2 MFC: Device Setpoint,HF N2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%)
09/17/2024,10:09:10,No Reading,43.0,43.0,No Reading,Off,Off,15.468,2.369,2.256,0.192,0.489,-0.768,-0.054,4.055,-0.012,0.013,-3.017,28.1474,-3.8441,2.084,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,54.0,0.3,Setpoint,54.0,52.4,N2,Setpoint,100.0,N2,Setpoint,100.0,100.4,Air,Air,199.1,Closed,6.0,Closed,6.0,0.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,41.83
09/17/2024,10:09:20,No Reading,43.0,43.0,No Reading,Off,Off,16.766,1.206,2.268,0.355,0.451,-0.624,0.019,6.183,-0.203,-0.018,-3.107,28.1544,-3.1672,2.085,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,54.0,0.3,Setpoint,54.0,52.4,N2,Setpoint,100.0,N2,Setpoint,100.0,101.1,Air,Air,199.0,Closed,6.0,Closed,6.0,0.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,41.83
09/17/2024,10:09:30,No Reading,43.0,42.0,No Reading,Off,Off,16.211,2.144,2.258,0.188,0.503,-0.763,-0.043,3.677,-0.431,0.006,-2.993,28.1489,-3.919,2.086,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,54.0,0.3,Setpoint,54.0,52.4,N2,Setpoint,100.0,N2,Setpoint,100.0,100.4,Air,Air,199.0,Closed,6.0,Closed,6.0,0.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,41.84
09/17/2024,10:09:40,No Reading,43.0,42.0,No Reading,Off,Off,17.153,0.641,2.266,0.18,0.51,-0.554,-0.09,4.5,-0.094,0.025,-2.485,28.1534,-4.2199,2.0855,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,54.0,0.3,Setpoint,54.0,52.3,N2,Setpoint,100.0,N2,Setpoint,100.0,102.7,Air,Air,199.1,Closed,6.0,Closed,6.0,0.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,41.82
09/17/2024,10:09:50,No Reading,43.0,42.0,No Reading,Off,Off,17.153,0.641,2.266,0.18,0.51,-0.554,-0.09,4.5,-0.094,0.025,-2.485,28.1553,-4.0886,2.0867,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,54.0,0.3,Setpoint,54.0,52.4,N2,Setpoint,80,N2,Setpoint,80.0,81.1,Air,Air,198.8,Closed,6.0,Closed,6.0,0.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,41.82
09/17/2024,10:10:00,No Reading,43.0,42.0,No Reading,Off,Off,16.759,-0.496,2.261,0.324,0.554,-0.659,-0.111,5.222,-0.26,-0.024,-3.206,28.1457,-3.8825,2.0844,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,74.0,0.3,Setpoint,54.0,52.3,N2,Setpoint,80,N2,Setpoint,80.0,80.9,Air,Air,192.4,Closed,6.0,Closed,6.0,0.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,40.95
09/17/2024,10:10:10,No Reading,43.0,42.0,No Reading,Off,Off,15.438,1.751,2.256,0.226,0.6,-0.759,-0.141,5.166,-0.358,-0.052,-3.011,28.1374,-3.3028,2.0863,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,74.0,0.3,Setpoint,74.0,72.2,N2,Setpoint,80,N2,Setpoint,80.0,75.0,Air,Air,193.7,Closed,6.0,Closed,6.0,0.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,38.77
09/17/2024,10:10:20,No Reading,43.0,43.0,No Reading,Off,Off,17.833,1.081,2.253,0.188,0.483,-0.589,0.026,4.598,-0.404,-0.004,-2.866,28.1289,-4.6838,2.0881,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,74.0,0.3,Setpoint,74.0,72.5,N2,Setpoint,80,N2,Setpoint,80.0,79.8,Air,Air,196.7,Closed,6.0,Closed,6.0,0.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,36.38
09/17/2024,10:10:30,No Reading,43.0,42.0,No Reading,Off,Off,17.496,1.468,2.257,0.219,0.5,-0.758,-0.077,4.51,-0.121,-0.046,-2.682,28.1387,-4.6234,2.0925,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,74.0,0.3,Setpoint,74.0,72.2,N2,Setpoint,80,N2,Setpoint,80.0,80.5,Air,Air,198.4,Closed,6.0,Closed,6.0,0.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,35.18
09/17/2024,10:10:40,No Reading,43.0,43.0,No Reading,Off,Off,17.496,1.468,2.257,0.219,0.5,-0.758,-0.077,4.51,-0.121,-0.046,-2.682,28.1254,-4.3681,2.0954,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,74.0,0.3,Setpoint,74.0,72.2,N2,Setpoint,80,N2,Setpoint,80.0,80.0,Air,Air,199.5,Closed,6.0,Closed,6.0,0.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.55
09/17/2024,10:10:50,No Reading,43.0,42.0,No Reading,Off,Off,16.248,1.038,2.269,0.076,0.489,-0.727,-0.003,4.477,-0.395,-0.024,-3.208,28.1326,-3.7648,2.0961,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,74.0,0.3,Setpoint,74.0,72.2,N2,Setpoint,80,N2,Setpoint,80.0,80.8,Air,Air,200.3,Closed,6.0,Closed,6.0,0.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.25
