Date, Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,HF N2 MFC: Scale Factor Entry,HF N2 MFC: Mode Selection,HF N2 MFC: Setpoint Entry,HF N2 MFC: Device Scale Factor,HF N2 MFC: Device Mode,HF N2 MFC: Device Setpoint,HF N2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%)
09/19/2024,11:37:11,No Reading,43.0,42.0,No Reading,Off,Off,27.312,0.002,0.028,14.083,0.885,2360.239,0.371,191.061,14.083,0.996,3.875,2.2028,415.738,1.5007,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,68,0.3,Setpoint,68.0,66.2,N2,Setpoint,80,N2,Setpoint,80.0,79.5,Air,Air,202.8,Setpoint,6.0,Setpoint,6.0,6.0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,No Bubbler,33.71
09/19/2024,11:37:21,No Reading,43.0,42.0,No Reading,Off,Off,27.828,0.015,0.04,15.361,2.007,2372.822,0.478,191.067,15.361,0.996,3.875,2.2018,415.7477,1.5007,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,68,0.3,Setpoint,68.0,66.3,N2,Setpoint,80,N2,Setpoint,80.0,80.2,Air,Air,202.9,Setpoint,6.0,Setpoint,6.0,5.9,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,No Bubbler,33.75
09/19/2024,11:37:31,No Reading,43.0,42.0,No Reading,Off,Off,27.828,0.015,0.04,15.361,2.007,2372.822,0.478,191.067,15.361,0.996,3.875,2.2033,415.4169,1.5016,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,68,0.3,Setpoint,68.0,66.3,N2,Setpoint,80,N2,Setpoint,80.0,79.0,Air,Air,202.9,Setpoint,6.0,Setpoint,6.0,6.0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,No Bubbler,33.78
09/19/2024,11:37:41,No Reading,43.0,42.0,No Reading,Off,Off,27.91,0.023,-0.005,14.067,-0.103,2352.33,0.495,191.156,14.067,0.996,3.876,2.2024,415.7728,1.5009,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,68,0.3,Setpoint,68.0,66.2,N2,Setpoint,80,N2,Setpoint,80.0,82.5,Air,Air,202.9,Setpoint,6.0,Setpoint,6.0,6.0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,No Bubbler,33.80
09/19/2024,11:37:51,No Reading,43.0,42.0,No Reading,Off,Off,28.142,0.001,-0.066,13.122,2.184,2363.784,0.504,191.156,13.122,0.996,3.877,2.1983,416.4654,1.5025,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,68,0.3,Setpoint,68.0,66.3,N2,Setpoint,80,N2,Setpoint,80.0,80.4,Air,Air,203.0,Setpoint,6.0,Setpoint,6.0,6.0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,No Bubbler,33.83
09/19/2024,11:38:01,No Reading,43.0,42.0,No Reading,Off,Off,28.379,0.019,0.05,11.181,1.74,2364.647,0.467,191.108,11.181,0.996,3.878,2.1966,416.9888,1.4998,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,68,0.3,Setpoint,68.0,66.5,N2,Setpoint,80,N2,Setpoint,80.0,80.2,Air,Air,203.1,Setpoint,6.0,Setpoint,6.0,5.9,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,No Bubbler,33.85
09/19/2024,11:38:11,No Reading,43.0,42.0,No Reading,Off,Off,28.379,0.019,0.05,11.181,1.74,2364.647,0.467,191.108,11.181,0.996,3.878,2.1961,416.939,1.4993,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,68,0.3,Setpoint,68.0,66.5,N2,Setpoint,80,N2,Setpoint,80.0,82.3,Air,Air,203.1,Setpoint,6.0,Setpoint,6.0,5.9,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,No Bubbler,33.87
09/19/2024,11:38:21,No Reading,43.0,42.0,No Reading,Off,Off,28.405,0.011,0.034,12.464,1.629,2355.796,0.552,191.086,12.464,0.996,3.879,2.1992,416.9962,1.4977,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,68,0.3,Setpoint,68.0,66.2,N2,Setpoint,80,N2,Setpoint,80.0,79.4,Air,Air,203.1,Setpoint,6.0,Setpoint,6.0,5.9,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,No Bubbler,33.90
09/19/2024,11:38:31,No Reading,43.0,42.0,No Reading,Off,Off,28.395,0.007,-0.014,9.792,1.573,2369.603,0.54,191.033,9.792,0.996,3.879,2.1974,416.5585,1.498,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,68,0.3,Setpoint,68.0,66.5,N2,Setpoint,80,N2,Setpoint,80.0,80.4,Air,Air,203.1,Setpoint,6.0,Setpoint,6.0,5.9,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,No Bubbler,33.91
09/19/2024,11:38:41,No Reading,43.0,42.0,No Reading,Off,Off,29.004,0.001,-0.029,10.014,1.232,2388.454,0.419,191.004,10.014,0.996,3.879,2.1936,416.8793,1.4961,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,68,0.3,Setpoint,68.0,66.4,N2,Setpoint,80,N2,Setpoint,80.0,80.0,Air,Air,203.3,Setpoint,6.0,Setpoint,6.0,5.8,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,No Bubbler,33.94
