Date, Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,HF N2 MFC: Scale Factor Entry,HF N2 MFC: Mode Selection,HF N2 MFC: Setpoint Entry,HF N2 MFC: Device Scale Factor,HF N2 MFC: Device Mode,HF N2 MFC: Device Setpoint,HF N2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%)
09/19/2024,15:50:00,No Reading,55.0,42.0,No Reading,Off,Off,28.68,0.027,-0.04,1.325,5.029,547.288,0.611,191.162,1.325,0.995,3.73,2.0885,420.2041,1.1368,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,64,0.3,Setpoint,64.0,62.2,N2,Setpoint,80,N2,Setpoint,80.0,74.6,Air,Air,201.9,Setpoint,10,Setpoint,10.0,9.9,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,35.31
09/19/2024,15:50:10,No Reading,55.0,42.0,No Reading,Off,Off,28.68,0.027,-0.04,1.325,5.029,547.288,0.611,191.162,1.325,0.995,3.73,2.0887,421.5576,1.1645,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,64,0.3,Setpoint,64.0,62.3,N2,Setpoint,80,N2,Setpoint,80.0,80.0,Air,Air,201.6,Setpoint,10,Setpoint,10.0,9.9,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,35.33
09/19/2024,15:50:20,No Reading,54.0,42.0,No Reading,Off,Off,27.545,0.014,0.029,1.041,4.258,563.12,0.723,191.158,1.041,0.995,3.73,2.0888,421.67,1.1975,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,64,0.3,Setpoint,64.0,62.3,N2,Setpoint,80,N2,Setpoint,80.0,80.0,Air,Air,201.8,Setpoint,10,Setpoint,10.0,9.9,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,35.35
09/19/2024,15:50:30,No Reading,54.0,42.0,No Reading,Off,Off,28.532,0.022,-0.043,0.461,4.407,571.726,0.679,191.077,0.461,0.995,3.732,2.087,421.5021,1.2307,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,64,0.3,Setpoint,64.0,62.3,N2,Setpoint,80,N2,Setpoint,80.0,75.3,Air,Air,201.4,Setpoint,10,Setpoint,10.0,10.0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,35.37
09/19/2024,15:50:40,No Reading,54.0,42.0,No Reading,Off,Off,28.362,0.013,-0.084,1.092,4.995,565.179,0.689,191.073,1.092,0.995,3.73,2.0848,421.2292,1.2586,N2,Setpoint,6,N2,Setpoint,6.0,5.9,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,64,0.3,Setpoint,64.0,62.2,N2,Setpoint,80,N2,Setpoint,80.0,83.5,Air,Air,148.2,Setpoint,10,Setpoint,10.0,10.0,Picarro,Unknown,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,35.40
09/19/2024,15:50:50,No Reading,54.0,42.0,No Reading,Off,Off,28.547,0.027,-0.101,1.036,4.515,532.75,0.671,191.073,1.036,1.007,3.722,2.0861,422.6231,1.2822,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,64,0.3,Setpoint,64.0,62.2,N2,Setpoint,80,N2,Setpoint,80.0,82.0,Air,Air,209.8,Setpoint,10,Setpoint,10.0,10.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,35.35
09/19/2024,15:51:00,No Reading,53.0,42.0,No Reading,Off,Off,28.547,0.027,-0.101,1.036,4.515,532.75,0.671,191.073,1.036,1.007,3.722,2.086,421.0431,1.3131,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,64,0.3,Setpoint,64.0,62.4,N2,Setpoint,80,N2,Setpoint,80.0,74.9,Air,Air,206.8,Setpoint,10,Setpoint,10.0,9.9,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,35.37
09/19/2024,15:51:10,No Reading,53.0,42.0,No Reading,Off,Off,28.321,0.021,-0.054,2.2,3.82,570.055,0.696,191.073,2.2,0.995,3.726,2.0967,421.3354,1.3347,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,64,0.3,Setpoint,64.0,62.2,N2,Setpoint,80,N2,Setpoint,80.0,80.4,Air,Air,205.3,Setpoint,10,Setpoint,10.0,10.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,35.44
09/19/2024,15:51:20,No Reading,53.0,42.0,No Reading,Off,Off,27.808,0.026,-0.047,2.009,4.847,563.829,0.699,191.073,2.009,0.995,3.723,4.6103,377.2168,1.354,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,64,0.3,Setpoint,64.0,62.3,N2,Setpoint,80,N2,Setpoint,80.0,77.9,Air,Air,204.0,Setpoint,10,Setpoint,10.0,9.9,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,35.48
09/19/2024,15:51:30,No Reading,52.0,42.0,No Reading,Off,Off,28.26,0.022,-0.042,2.649,4.189,534.848,0.698,191.073,2.649,0.995,3.721,14.5088,214.2118,1.3711,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,60.0,N2,Closed,60.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,64,0.3,Setpoint,64.0,62.4,N2,Setpoint,80,N2,Setpoint,80.0,80.0,Air,Air,203.1,Setpoint,10,Setpoint,10.0,9.8,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,35.50
