Date, Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,HF N2 MFC: Scale Factor Entry,HF N2 MFC: Mode Selection,HF N2 MFC: Setpoint Entry,HF N2 MFC: Device Scale Factor,HF N2 MFC: Device Mode,HF N2 MFC: Device Setpoint,HF N2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Cl2 MFC: Zero Offset (sccm),Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%)
09/30/2024,13:26:33,0.0,44.2,42.6,No Reading,Off,Off,-0.048,0.013,0.019,0.348,0.504,-0.051,0.089,190.975,0.348,0.998,4.446,2.1112,438.1166,0.8906,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,74.0,0.4,Setpoint,74.0,72.3,N2,Setpoint,80.0,N2,Setpoint,80.0,79.7,Air,Air,0.3,Closed,6.0,Closed,6.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,36.24
09/30/2024,13:26:43,0.0,44.2,42.6,No Reading,Off,Off,-0.048,0.013,0.019,0.348,0.504,-0.051,0.089,190.975,0.348,0.998,4.446,2.1121,437.6756,0.8904,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,74.0,0.4,Setpoint,74.0,72.2,N2,Setpoint,80.0,N2,Setpoint,80.0,82.1,Air,Air,0.3,Closed,6.0,Closed,6.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,36.23
09/30/2024,13:26:53,0.0,44.1,42.6,No Reading,Off,Off,-0.056,0.01,0.014,1.506,-0.457,0.508,-0.029,191.01,1.506,0.998,4.446,2.1119,437.7843,0.8903,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,74.0,0.4,Setpoint,74.0,72.0,N2,Setpoint,80.0,N2,Setpoint,80.0,83.1,Air,Air,0.3,Closed,6.0,Closed,6.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,36.24
09/30/2024,13:27:03,0.0,44.2,42.6,No Reading,Off,Off,-0.312,-0.009,-0.011,1.419,-0.669,0.01,-0.018,191.01,1.419,0.998,4.446,2.1124,437.2277,0.8889,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,74.0,0.4,Setpoint,74.0,72.2,N2,Setpoint,80.0,N2,Setpoint,80.0,76.2,Air,Air,0.3,Closed,6.0,Closed,6.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,36.22
09/30/2024,13:27:13,0.0,44.1,42.6,No Reading,Off,Off,-0.217,0.009,-0.025,1.212,0.276,-0.557,-0.075,191.01,1.212,0.998,4.446,2.1123,438.369,0.8912,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,74.0,0.4,Setpoint,74.0,72.3,N2,Setpoint,80.0,N2,Setpoint,80.0,80.1,Air,Air,0.4,Closed,6.0,Closed,6.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,36.22
09/30/2024,13:27:23,0.0,44.2,42.6,No Reading,Off,Off,-0.176,0.01,-0.027,1.203,0.599,0.776,0.12,191.01,1.203,0.996,4.468,2.113,437.8368,0.89,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,74.0,0.4,Setpoint,74.0,72.2,N2,Setpoint,80.0,N2,Setpoint,80.0,75.8,Air,Air,0.3,Closed,6.0,Closed,6.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,36.25
09/30/2024,13:27:33,0.0,44.1,42.6,No Reading,Off,Off,-0.176,0.01,-0.027,1.203,0.599,0.776,0.12,191.01,1.203,0.996,4.468,2.1133,439.3677,0.8889,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,74.0,0.4,Setpoint,74.0,72.2,N2,Setpoint,80.0,N2,Setpoint,80.0,74.0,Air,Air,73.2,Closed,6.0,Closed,6.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,36.41
09/30/2024,13:27:43,0.0,44.2,42.6,No Reading,Off,Off,0.189,-0.009,0.06,0.742,-0.065,1.666,0.016,191.05,0.742,0.996,4.47,2.113,452.0082,0.8867,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,74.0,0.4,Setpoint,74.0,72.0,N2,Setpoint,80.0,N2,Setpoint,80.0,81.7,Air,Air,114.3,Closed,6.0,Closed,6.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,35.63
09/30/2024,13:27:53,0.0,44.1,42.6,No Reading,Off,Off,1.107,0.006,-0.09,1.506,-0.002,111.943,0.025,191.093,1.506,0.996,4.434,2.1139,469.313,0.8799,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,74.0,0.4,Setpoint,74.0,72.2,N2,Setpoint,80.0,N2,Setpoint,80.0,79.8,Air,Air,141.3,Closed,6.0,Closed,6.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,35.34
09/30/2024,13:28:03,0.0,44.2,42.6,No Reading,Off,Off,30.004,0.003,-0.007,17.035,0.544,1231.657,0.631,191.093,17.035,0.996,3.99,2.1147,482.0473,0.8705,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,68,0.4,Setpoint,74.0,72.1,N2,Setpoint,80.0,N2,Setpoint,80.0,80.8,Air,Air,159.8,Closed,6.0,Closed,6.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,35.38
