Spectrum	Date	Time	CH4 (PF) 191c	CH4 (PF) 191c average	CH4 (PF) 191c stdev	CH4 high 191C	CH4 high 191C average	CH4 high 191C stdev	CO ppm 191C (1of2)	CO ppm 191C (1of2) average	CO ppm 191C (1of2) stdev	CO2 ppm 191c	CO2 ppm 191c average	CO2 ppm 191c stdev	CO2% 191c	CO2% 191c average	CO2% 191c stdev	Formaldehyde 191c	Formaldehyde 191c average	Formaldehyde 191c stdev	Formic acid 191C	Formic acid 191C average	Formic acid 191C stdev	H2O ppm 191c	H2O ppm 191c average	H2O ppm 191c stdev	H2O% 191C	H2O% 191C average	H2O% 191C stdev	HCL 191C	HCL 191C average	HCL 191C stdev	Methyl chloride 191c	Methyl chloride 191c average	Methyl chloride 191c stdev	Toluene  191c	Toluene  191c average	Toluene  191c stdev	Temp (C)	Temp (C) average	Temp (C) stdev	Pressure (Atm)	Pressure (Atm) average	Pressure (Atm) stdev	CH4 autorange	CH4 autorange average	CH4 autorange stdev	CO2 autorange	CO2 autorange average	CO2 autorange stdev	Igram DC	Igram DC average	Igram DC stdev	Igram PP	Igram PP average	Igram PP stdev	phase Angle	phase Angle average	phase Angle stdev	laser PP	laser PP average	laser PP stdev	laser DC	laser DC average	laser DC stdev	Bad Scan counter	Bad Scan counter average	Bad Scan counter stdev	Centerburst Location	Centerburst Location average	Centerburst Location stdev	Linearizer Check	Linearizer Check average	Linearizer Check stdev	SNR 2500	SNR 2500 average	SNR 2500 stdev	sBeam @ 2500	sBeam @ 2500 average	sBeam @ 2500 stdev	
FTIR_034269.LAB	10/1/2024	13:49:10.365	34.895644	34.895645	NaN	3.674017	3.674017	NaN	-0.053676	-0.053676	NaN	10.930702	10.930702	NaN	0.158759	0.158759	NaN	0.494704	0.494704	NaN	-0.046495	-0.046495	NaN	21174.136501	21174.136719	NaN	1.278160	1.278160	NaN	0.397265	0.397265	NaN	5.930284	5.930285	NaN	-5.031178	-5.031178	NaN	191.079834	191.079834	NaN	0.997459	0.997459	NaN	34.895644	34.895645	NaN	10.930702	10.930702	NaN	3.604383	3.604383	NaN	4.177703	4.177703	NaN	86.470161	86.470161	NaN	4.897070	4.897070	NaN	-3.349451	-3.349451	NaN	7.000000	7.000000	NaN	584.712036	584.712036	NaN	0.002304	0.002304	NaN	NaN	NaN	NaN	0.732156	0.732156	NaN
FTIR_034270.LAB	10/1/2024	13:49:23.198	26.338547	30.617096	6.050782	21.099399	12.386708	12.321606	0.103650	0.024987	0.111246	-0.715216	5.107743	8.234908	0.016394	0.087576	0.100667	-0.310574	0.092065	0.569417	-0.009623	-0.028059	0.026072	461.806708	10817.971680	14645.829102	1.976993	1.627576	0.494149	0.365695	0.381480	0.022323	5.097650	5.513968	0.588761	-3.779366	-4.405272	0.885164	191.079834	191.079834	0.000000	0.997459	0.997459	0.000000	26.338547	30.617096	6.050782	-0.715216	5.107743	8.234908	3.604546	3.604464	0.000115	4.177746	4.177724	0.000030	86.430206	86.450180	0.028253	4.900532	4.898801	0.002448	-3.347253	-3.348352	0.001554	7.000000	7.000000	0.000000	584.709900	584.710937	0.001511	0.002260	0.002282	0.000031	1558.458984	NaN	NaN	0.731721	0.731939	0.000307
FTIR_034271.LAB	10/1/2024	13:49:36.035	19.930600	27.054932	7.508198	29.099321	17.957579	13.000569	-0.095608	-0.015211	0.105050	0.896601	3.704029	6.310158	0.021437	0.065530	0.080778	-0.510304	-0.108725	0.532041	-0.064448	-0.040188	0.027951	163.191205	7266.378418	12045.396484	2.150288	1.801814	0.461701	0.755030	0.505997	0.216246	7.595040	6.207658	1.271590	-1.556716	-3.455754	1.759692	191.079834	191.079834	0.000000	0.997459	0.997459	0.000000	19.930600	27.054932	7.508198	0.896601	3.704029	6.310158	3.604153	3.604360	0.000197	4.177729	4.177726	0.000022	85.591080	86.163818	0.496406	4.852063	4.883222	0.027039	-3.349451	-3.348718	0.001269	7.000000	7.000000	0.000000	584.711121	584.710999	0.001072	0.002431	0.002332	0.000089	1853.044800	NaN	NaN	0.731632	0.731836	0.000280
FTIR_034272.LAB	10/1/2024	13:49:48.861	20.429594	25.398598	6.968199	23.571001	19.360935	10.979716	0.078756	0.008281	0.097798	1.025178	3.034316	5.323482	0.020496	0.054272	0.069693	-0.565543	-0.222930	0.490798	-0.128357	-0.062230	0.049641	93.710773	5473.211426	10468.501953	2.136681	1.885531	0.412487	0.474370	0.498090	0.177271	3.586426	5.552350	1.672027	-3.282254	-3.412379	1.439399	191.078766	191.079559	0.000534	0.997459	0.997459	0.000000	20.429594	25.398598	6.968199	1.025178	3.034316	5.323482	3.603864	3.604236	0.000296	4.177697	4.177719	0.000023	86.390244	86.220428	0.420829	4.893608	4.885818	0.022680	-3.349451	-3.348901	0.001099	7.000000	7.000000	0.000000	584.711609	584.711182	0.000924	0.002352	0.002337	0.000073	2026.901123	NaN	NaN	0.732035	0.731886	0.000250
FTIR_034273.LAB	10/1/2024	13:50:01.693	20.517733	24.422424	6.417274	37.498913	22.988531	12.498514	0.113524	0.029329	0.096895	2.361155	2.899684	4.620089	0.025003	0.048418	0.061759	-0.682948	-0.314933	0.472213	-0.000261	-0.049837	0.051149	61.910515	4390.951172	9383.419922	2.143258	1.937076	0.375359	0.520117	0.502496	0.153837	3.192673	5.080415	1.791751	-3.752659	-3.480435	1.255811	191.037445	191.071136	0.018843	0.997455	0.997458	0.000001	20.517733	24.422424	6.417274	2.361155	2.899684	4.620089	3.603750	3.604139	0.000336	4.177339	4.177643	0.000171	86.350288	86.246399	0.369047	4.903994	4.889453	0.021257	-3.349451	-3.349011	0.000983	7.000000	7.000000	0.000000	584.710205	584.710999	0.000908	0.002415	0.002352	0.000073	1962.859253	NaN	NaN	0.731773	0.731863	0.000222
FTIR_034274.LAB	10/1/2024	13:50:14.531	18.736725	23.474808	6.191365	24.296893	23.206591	11.191765	0.066739	0.035564	0.088001	2.094166	2.765431	4.145397	0.014177	0.042711	0.056980	-0.624382	-0.366508	0.440849	-0.090270	-0.056575	0.048636	63.711156	3669.744385	8576.695312	2.136830	1.970369	0.345493	0.534010	0.507748	0.138196	2.583682	4.664292	1.899274	-3.540698	-3.490479	1.123501	191.003540	191.059875	0.032338	0.997438	0.997455	0.000008	18.736725	23.474808	6.191365	2.094166	2.765431	4.145397	3.603750	3.604074	0.000340	4.177414	4.177605	0.000179	85.551117	86.130516	0.435345	4.810519	4.876297	0.037416	-3.345055	-3.348352	0.001839	7.000000	7.000000	0.000000	584.711548	584.711121	0.000847	0.002332	0.002349	0.000066	2153.720459	NaN	NaN	0.731719	0.731839	0.000207

Spectrum	Date	Time	CH4 (PF) 191c	CH4 (PF) 191c average	CH4 (PF) 191c stdev	CH4 high 191C	CH4 high 191C average	CH4 high 191C stdev	CO ppm 191C (1of2)	CO ppm 191C (1of2) average	CO ppm 191C (1of2) stdev	CO2 ppm 191c	CO2 ppm 191c average	CO2 ppm 191c stdev	CO2% 191c	CO2% 191c average	CO2% 191c stdev	Formaldehyde 191c	Formaldehyde 191c average	Formaldehyde 191c stdev	Formic acid 191C	Formic acid 191C average	Formic acid 191C stdev	H2O ppm 191c	H2O ppm 191c average	H2O ppm 191c stdev	H2O% 191C	H2O% 191C average	H2O% 191C stdev	HCL 191C	HCL 191C average	HCL 191C stdev	Methyl chloride 191c	Methyl chloride 191c average	Methyl chloride 191c stdev	Toluene  191c	Toluene  191c average	Toluene  191c stdev	Temp (C)	Temp (C) average	Temp (C) stdev	Pressure (Atm)	Pressure (Atm) average	Pressure (Atm) stdev	CH4 autorange	CH4 autorange average	CH4 autorange stdev	CO2 autorange	CO2 autorange average	CO2 autorange stdev	Igram DC	Igram DC average	Igram DC stdev	Igram PP	Igram PP average	Igram PP stdev	phase Angle	phase Angle average	phase Angle stdev	laser PP	laser PP average	laser PP stdev	laser DC	laser DC average	laser DC stdev	Bad Scan counter	Bad Scan counter average	Bad Scan counter stdev	Centerburst Location	Centerburst Location average	Centerburst Location stdev	Linearizer Check	Linearizer Check average	Linearizer Check stdev	SNR 2500	SNR 2500 average	SNR 2500 stdev	sBeam @ 2500	sBeam @ 2500 average	sBeam @ 2500 stdev	
FTIR_034275.LAB	10/1/2024	13:54:20.830	34.705098	34.705097	NaN	-4.668666	-4.668666	NaN	0.023034	0.023034	NaN	-8.318672	-8.318672	NaN	0.176099	0.176099	NaN	0.655216	0.655216	NaN	-0.284384	-0.284384	NaN	20985.646700	20985.646484	NaN	1.263588	1.263588	NaN	0.417647	0.417647	NaN	4.795122	4.795122	NaN	-0.114957	-0.114957	NaN	190.954132	190.954132	NaN	0.996816	0.996816	NaN	34.705098	34.705097	NaN	-8.318672	-8.318672	NaN	3.583173	3.583173	NaN	4.170346	4.170346	NaN	86.510124	86.510124	NaN	4.862450	4.862450	NaN	-3.342857	-3.342857	NaN	0.000000	0.000000	NaN	579.729675	579.729675	NaN	0.002209	0.002209	NaN	NaN	NaN	NaN	0.729868	0.729868	NaN
FTIR_034276.LAB	10/1/2024	13:54:33.669	28.996122	31.850609	4.036855	25.542967	10.437151	21.362850	-0.067129	-0.022048	0.063755	6.725273	-0.796699	10.637676	0.026707	0.101403	0.105636	-0.338416	0.158400	0.702604	-0.078864	-0.181624	0.145325	659.638529	10822.642578	14372.658203	1.987796	1.625692	0.512093	0.552920	0.485283	0.095653	4.910122	4.852622	0.081317	1.126333	0.505688	0.877724	191.003540	190.978836	0.034937	0.996816	0.996816	0.000000	28.996122	31.850609	4.036855	6.725273	-0.796699	10.637676	3.581754	3.582463	0.001003	4.170668	4.170507	0.000228	86.550079	86.530106	0.028253	4.796670	4.829560	0.046513	-3.342857	-3.342857	0.000000	0.000000	0.000000	0.000000	579.729980	579.729858	0.000220	0.002353	0.002281	0.000102	1610.801758	NaN	NaN	0.728625	0.729247	0.000879
