Date, Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,HF N2 MFC: Scale Factor Entry,HF N2 MFC: Mode Selection,HF N2 MFC: Setpoint Entry,HF N2 MFC: Device Scale Factor,HF N2 MFC: Device Mode,HF N2 MFC: Device Setpoint,HF N2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Cl2 MFC: Zero Offset (sccm),Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%)
09/27/2024,17:32:08,0.0,78.3,42.6,No Reading,Off,Off,31.32,-0.007,0.025,0.967,4.176,648.084,0.646,190.94,0.967,0.991,3.674,30.4092,-0.118,1.5232,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,68.0,0.4,Setpoint,68.0,65.7,N2,Setpoint,80.0,N2,Setpoint,80.0,80.7,Air,Air,196.1,Setpoint,6.0,Setpoint,6.0,6.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,36.28
09/27/2024,17:32:19,0.0,78.1,42.6,No Reading,Off,Off,31.086,0.005,0.025,2.554,3.399,626.862,0.739,190.94,2.554,0.991,3.672,30.238,0.7878,1.5291,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,68.0,0.4,Setpoint,68.0,65.9,N2,Setpoint,80.0,N2,Setpoint,80.0,79.4,Air,Air,196.2,Setpoint,6.0,Setpoint,6.0,6.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,36.27
09/27/2024,17:32:29,0.0,77.9,42.5,No Reading,Off,Off,29.653,-0.003,-0.031,3.124,3.555,674.542,0.64,190.94,3.124,0.991,3.67,30.1396,0.5879,1.5321,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,68.0,0.4,Setpoint,68.0,66.2,N2,Setpoint,80.0,N2,Setpoint,80.0,79.6,Air,Air,196.4,Setpoint,6.0,Setpoint,6.0,6.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,36.28
09/27/2024,17:32:39,0.0,77.8,42.6,No Reading,Off,Off,29.682,0.013,0.022,1.742,4.613,680.182,0.676,190.94,1.742,0.991,3.668,30.0213,0.6216,1.5419,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,128,0.4,Setpoint,128.0,125.8,N2,Setpoint,20,N2,Setpoint,20.0,19.9,Air,Air,198.1,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,36.05
09/27/2024,17:32:49,0.0,78.1,42.6,No Reading,Off,Off,29.364,0.003,0.026,3.39,3.377,628.721,0.637,190.94,3.39,0.991,3.666,29.9161,-0.4615,1.5547,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,128,0.4,Setpoint,128.0,125.8,N2,Setpoint,20,N2,Setpoint,20.0,25.6,Air,Air,198.5,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,26.90
09/27/2024,17:32:59,0.0,78.1,42.6,No Reading,Off,Off,29.364,0.003,0.026,3.39,3.377,628.721,0.637,190.94,3.39,0.991,3.666,29.8241,0.5025,1.5632,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,128,0.4,Setpoint,128.0,125.8,N2,Setpoint,20,N2,Setpoint,20.0,26.3,Air,Air,198.6,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,17.96
09/27/2024,17:33:09,0.0,78.2,42.6,No Reading,Off,Off,28.419,0.007,0.014,3.208,3.921,594.126,0.692,190.94,3.208,0.991,3.664,29.6664,0.7967,1.5676,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,128,0.4,Setpoint,128.0,126.1,N2,Setpoint,20,N2,Setpoint,20.0,20.0,Air,Air,198.9,Setpoint,6.0,Setpoint,6.0,6.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,13.01
09/27/2024,17:33:19,0.0,78.1,42.6,No Reading,Off,Off,28.335,0.006,0.031,5.094,4.651,565.885,0.671,190.94,5.094,0.991,3.663,29.4342,0.0362,1.5739,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,128,0.4,Setpoint,128.0,126.1,N2,Setpoint,20,N2,Setpoint,20.0,16.5,Air,Air,198.7,Setpoint,6.0,Setpoint,6.0,6.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,10.86
09/27/2024,17:33:29,0.0,78.3,42.6,No Reading,Off,Off,28.573,-0.005,-0.037,3.633,4.783,571.421,0.712,190.967,3.633,0.991,3.661,29.2356,0.4948,1.5826,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,128,0.4,Setpoint,128.0,126.1,N2,Setpoint,20,N2,Setpoint,20.0,24.7,Air,Air,198.8,Setpoint,6.0,Setpoint,6.0,6.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,9.65
09/27/2024,17:33:39,0.0,78.4,42.6,No Reading,Off,Off,28.573,-0.005,-0.037,3.633,4.783,571.421,0.712,190.967,3.633,0.991,3.661,29.0849,0.0548,1.5906,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,128,0.4,Setpoint,128.0,126.1,N2,Setpoint,20,N2,Setpoint,20.0,19.9,Air,Air,198.8,Setpoint,6.0,Setpoint,6.0,6.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,8.98
09/27/2024,17:33:49,0.0,78.6,42.6,No Reading,Off,Off,28.574,0.016,-0.016,4.609,4.335,610.137,0.713,191.035,4.609,0.991,3.66,28.8809,0.4641,1.5997,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,128,0.4,Setpoint,128.0,126.0,N2,Setpoint,20,N2,Setpoint,20.0,16.6,Air,Air,198.8,Setpoint,6.0,Setpoint,6.0,6.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,8.60
09/27/2024,17:33:59,0.0,78.6,42.6,No Reading,Off,Off,28.849,0.011,-0.012,1.129,5.253,595.606,0.606,191.035,1.129,0.991,3.658,28.7852,0.6144,1.6126,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,128,0.4,Setpoint,128.0,125.9,N2,Setpoint,20,N2,Setpoint,20.0,27.1,Air,Air,198.7,Setpoint,6.0,Setpoint,6.0,6.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,8.31
09/27/2024,17:34:09,0.0,78.9,42.6,No Reading,Off,Off,29.05,0.023,-0.019,2.976,3.939,616.166,0.653,191.035,2.976,0.991,3.657,28.6803,2.5899,1.6221,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,128,0.4,Setpoint,128.0,126.2,N2,Setpoint,20,N2,Setpoint,20.0,27.3,Air,Air,198.7,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,8.10
09/27/2024,17:34:19,0.0,79.0,42.7,No Reading,Off,Off,29.05,0.023,-0.019,2.976,3.939,616.166,0.653,191.035,2.976,0.991,3.657,28.606,-0.4479,1.6279,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,128,0.4,Setpoint,128.0,126.3,N2,Setpoint,20,N2,Setpoint,20.0,26.3,Air,Air,198.7,Setpoint,6.0,Setpoint,6.0,6.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,7.94
09/27/2024,17:34:29,0.0,79.3,42.6,No Reading,Off,Off,28.19,0.018,-0.041,1.766,5.088,581.978,0.654,191.028,1.766,0.991,3.656,28.5603,-0.4598,1.6383,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,128,0.4,Setpoint,128.0,126.0,N2,Setpoint,20,N2,Setpoint,20.0,17.7,Air,Air,198.8,Setpoint,6.0,Setpoint,6.0,6.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,7.81
09/27/2024,17:34:39,0.0,79.4,42.6,No Reading,Off,Off,28.898,0.021,0.004,2.626,4.158,597.265,0.644,190.973,2.626,0.991,3.655,28.5219,0.0937,1.6447,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,128,0.4,Setpoint,128.0,126.1,N2,Setpoint,20,N2,Setpoint,20.0,16.9,Air,Air,198.6,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,7.71
09/27/2024,17:34:49,0.0,79.5,42.6,No Reading,Off,Off,28.608,0.011,-0.067,2.619,4.116,588.984,0.669,190.953,2.619,0.991,3.653,28.5034,0.457,1.6522,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,128,0.4,Setpoint,128.0,126.3,N2,Setpoint,20,N2,Setpoint,20.0,17.0,Air,Air,198.6,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,7.61
09/27/2024,17:34:59,0.0,79.7,42.6,No Reading,Off,Off,28.668,0.014,0.033,3.265,3.194,624.638,0.681,190.984,3.265,0.991,3.652,28.5184,0.778,1.6605,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,128,0.4,Setpoint,128.0,126.1,N2,Setpoint,20,N2,Setpoint,20.0,27.5,Air,Air,198.8,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,7.54
09/27/2024,17:35:09,0.0,79.8,42.6,No Reading,Off,Off,28.668,0.014,0.033,3.265,3.194,624.638,0.681,190.984,3.265,0.991,3.652,28.5119,-0.3094,1.6661,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,128,0.4,Setpoint,128.0,126.3,N2,Setpoint,20,N2,Setpoint,20.0,18.9,Air,Air,198.7,Setpoint,6.0,Setpoint,6.0,6.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,7.46
09/27/2024,17:35:19,0.0,79.9,42.6,No Reading,Off,Off,28.645,0.024,-0.028,1.829,3.959,524.75,0.623,191.048,1.829,0.991,3.651,28.544,0.3939,1.6709,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,128,0.4,Setpoint,128.0,125.9,N2,Setpoint,20,N2,Setpoint,20.0,19.5,Air,Air,198.7,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,7.39
09/27/2024,17:35:29,0.0,80.0,42.6,No Reading,Off,Off,28.841,0.004,0.014,3.604,3.603,659.054,0.689,191.048,3.604,0.991,3.65,28.5785,6.556,1.675,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,128,0.4,Setpoint,128.0,126.0,N2,Setpoint,20,N2,Setpoint,20.0,21.1,Air,Air,198.7,Setpoint,6.0,Setpoint,6.0,6.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,7.34
