Date, Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,HF N2 MFC: Scale Factor Entry,HF N2 MFC: Mode Selection,HF N2 MFC: Setpoint Entry,HF N2 MFC: Device Scale Factor,HF N2 MFC: Device Mode,HF N2 MFC: Device Setpoint,HF N2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Cl2 MFC: Zero Offset (sccm),Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%)
09/28/2024,11:41:36,0.0,46.0,42.8,No Reading,Off,Off,29.46,0.02,-0.071,2.292,5.494,-423.703,0.44,191.054,2.292,0.994,3.365,29.1316,-0.6406,2.8507,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,69,0.4,Setpoint,69.0,66.8,N2,Setpoint,80.0,N2,Setpoint,80.0,81.2,Air,Air,198.3,Setpoint,4.1,Setpoint,4.0,4.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,38.06
09/28/2024,11:41:46,0.0,46.0,42.9,No Reading,Off,Off,28.706,0.012,-0.072,2.299,4.959,-462.465,0.483,191.054,2.299,0.994,3.365,29.1056,0.325,2.8513,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,69,0.4,Setpoint,69.0,67.1,N2,Setpoint,80.0,N2,Setpoint,80.0,80.2,Air,Air,198.2,Setpoint,4.1,Setpoint,4.0,4.1,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,38.09
09/28/2024,11:41:56,0.0,46.1,42.9,No Reading,Off,Off,28.742,0.017,-0.073,1.977,5.334,-452.114,0.483,191.054,1.977,0.994,3.365,29.0587,-1.1247,2.8415,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,69,0.4,Setpoint,69.0,66.7,N2,Setpoint,80.0,N2,Setpoint,80.0,80.9,Air,Air,198.0,Setpoint,4.1,Setpoint,4.0,4.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,38.08
09/28/2024,11:42:06,0.0,46.1,42.9,No Reading,Off,Off,28.742,0.017,-0.073,1.977,5.334,-452.114,0.483,191.054,1.977,0.994,3.365,29.0413,-0.7793,2.8448,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,69,0.4,Setpoint,69.0,67.1,N2,Setpoint,80.0,N2,Setpoint,80.0,82.8,Air,Air,198.0,Setpoint,4.1,Setpoint,4.0,4.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,38.09
09/28/2024,11:42:16,0.0,46.2,42.9,No Reading,Off,Off,28.245,0.004,-0.035,1.855,5.439,-448.892,0.467,191.054,1.855,0.994,3.365,28.9986,-0.3817,2.8448,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,69,0.4,Setpoint,69.0,67.0,N2,Setpoint,80.0,N2,Setpoint,80.0,81.1,Air,Air,198.1,Setpoint,4.1,Setpoint,4.0,4.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,38.09
09/28/2024,11:42:26,0.0,46.3,42.8,No Reading,Off,Off,28.639,0.016,-0.01,3.459,5.793,-470.467,0.433,191.054,3.459,0.994,3.365,28.9731,0.5124,2.8473,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,69,0.4,Setpoint,69.0,66.9,N2,Setpoint,80.0,N2,Setpoint,80.0,83.2,Air,Air,198.3,Setpoint,4.1,Setpoint,4.0,4.1,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,38.09
09/28/2024,11:42:36,0.0,46.3,42.9,No Reading,Off,Off,27.9,0.003,-0.074,2.756,5.615,-418.641,0.397,191.054,2.756,0.994,3.365,28.9785,-0.8548,2.8451,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,69,0.4,Setpoint,69.0,67.0,N2,Setpoint,80.0,N2,Setpoint,80.0,83.4,Air,Air,198.3,Setpoint,4.1,Setpoint,4.0,4.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,38.09
09/28/2024,11:42:46,0.0,46.3,42.7,No Reading,Off,Off,27.9,0.003,-0.074,2.756,5.615,-418.641,0.397,191.054,2.756,0.994,3.365,28.9084,-0.4544,2.8473,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,69,0.4,Setpoint,69.0,66.9,N2,Setpoint,80.0,N2,Setpoint,80.0,83.5,Air,Air,198.4,Setpoint,4.1,Setpoint,4.0,4.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,38.08
09/28/2024,11:42:56,0.0,46.5,42.8,No Reading,Off,Off,28.172,0.006,-0.039,3.58,4.913,-408.409,0.465,191.054,3.58,0.994,3.365,28.8868,-1.2646,2.8475,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,69,0.4,Setpoint,69.0,66.9,N2,Setpoint,80.0,N2,Setpoint,80.0,82.0,Air,Air,198.2,Setpoint,4.1,Setpoint,4.0,4.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,38.08
09/28/2024,11:43:06,0.0,46.4,42.7,No Reading,Off,Off,28.566,0.023,0.008,1.154,5.7,-496.121,0.475,191.054,1.154,0.994,3.364,28.9017,0.0791,2.8424,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,69,0.4,Setpoint,69.0,67.0,N2,Setpoint,80.0,N2,Setpoint,80.0,83.4,Air,Air,198.0,Setpoint,4.1,Setpoint,4.0,4.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,38.07
