Date, Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,HF N2 MFC: Scale Factor Entry,HF N2 MFC: Mode Selection,HF N2 MFC: Setpoint Entry,HF N2 MFC: Device Scale Factor,HF N2 MFC: Device Mode,HF N2 MFC: Device Setpoint,HF N2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Cl2 MFC: Zero Offset (sccm),Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%)
10/01/2024,14:07:00,-0.01,78.5,42.7,No Reading,Off,Off,29.092,0.014,-0.067,1.306,6.349,1076.834,0.541,190.94,1.306,0.996,3.632,29.5022,1.3694,1.3388,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,None,O2,Setpoint,40.0,40.0,0.37,Setpoint,38.0,0.4,Setpoint,38.0,36.4,N2,Setpoint,80.0,N2,Setpoint,80.0,80.6,Air,Air,197.4,Setpoint,6.0,Setpoint,6.0,6.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,37.56
10/01/2024,14:07:10,0.0,78.4,42.7,No Reading,Off,Off,28.238,0.015,0.016,2.283,6.531,816.303,0.652,190.94,2.283,0.996,3.63,29.4655,1.34,1.3559,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,None,O2,Setpoint,40.0,40.0,0.37,Setpoint,38.0,0.4,Setpoint,38.0,36.2,N2,Setpoint,80.0,N2,Setpoint,80.0,83.9,Air,Air,197.6,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,37.56
10/01/2024,14:07:20,0.0,78.3,42.6,No Reading,Off,Off,28.1,0.028,-0.085,1.054,6.126,804.594,0.591,190.94,1.054,0.996,3.628,29.4535,1.7731,1.3696,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,None,O2,Setpoint,40.0,40.0,0.37,Setpoint,38.0,0.4,Setpoint,38.0,36.4,N2,Setpoint,80.0,N2,Setpoint,80.0,82.9,Air,Air,197.7,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,37.56
10/01/2024,14:07:30,0.0,78.3,42.6,No Reading,Off,Off,27.556,0.025,-0.049,0.446,4.882,777.048,0.759,190.94,0.446,0.996,3.626,29.4341,1.5033,1.3878,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,None,O2,Setpoint,40.0,40.0,0.37,Setpoint,38.0,0.4,Setpoint,38.0,36.0,N2,Setpoint,80.0,N2,Setpoint,80.0,83.5,Air,Air,197.5,Setpoint,6.0,Setpoint,6.0,6.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,37.55
10/01/2024,14:07:40,0.0,78.3,42.7,No Reading,Off,Off,27.556,0.025,-0.049,0.446,4.882,777.048,0.759,190.94,0.446,0.996,3.626,29.4326,5.7538,1.4014,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,None,O2,Setpoint,40.0,40.0,0.37,Setpoint,38.0,0.4,Setpoint,38.0,36.2,N2,Setpoint,80.0,N2,Setpoint,80.0,80.4,Air,Air,197.6,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,37.55
10/01/2024,14:07:50,0.0,78.2,42.6,No Reading,Off,Off,28.273,0.017,-0.055,1.81,4.527,764.62,0.725,190.94,1.81,0.996,3.625,29.4457,1.3693,1.4107,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,None,O2,Setpoint,40.0,40.0,0.37,Setpoint,38.0,0.4,Setpoint,38.0,36.3,N2,Setpoint,80.0,N2,Setpoint,80.0,81.8,Air,Air,197.5,Setpoint,6.0,Setpoint,6.0,6.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,37.56
10/01/2024,14:08:00,0.0,78.3,42.7,No Reading,Off,Off,28.098,0.011,-0.109,1.544,4.76,751.057,0.636,190.94,1.544,0.996,3.624,29.4443,0.7891,1.4275,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,None,O2,Setpoint,40.0,40.0,0.37,Setpoint,38.0,0.4,Setpoint,38.0,36.0,N2,Setpoint,80.0,N2,Setpoint,80.0,81.6,Air,Air,197.5,Setpoint,6.0,Setpoint,6.0,6.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,37.55
10/01/2024,14:08:10,0.0,78.2,42.6,No Reading,Off,Off,27.667,0.029,-0.073,0.118,5.344,723.955,0.701,190.94,0.118,0.996,3.622,29.4472,0.8895,1.4362,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,None,O2,Setpoint,40.0,40.0,0.37,Setpoint,38.0,0.4,Setpoint,38.0,36.2,N2,Setpoint,80.0,N2,Setpoint,80.0,79.9,Air,Air,197.6,Setpoint,6.0,Setpoint,6.0,6.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,37.54
10/01/2024,14:08:20,0.0,78.3,42.7,No Reading,Off,Off,27.664,0.018,-0.041,3.2,7.197,631.684,0.738,190.94,3.2,0.996,3.621,29.4302,1.4966,1.4439,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,None,O2,Setpoint,40.0,40.0,0.37,Setpoint,38.0,0.4,Setpoint,38.0,36.1,N2,Setpoint,80.0,N2,Setpoint,80.0,81.5,Air,Air,197.8,Setpoint,6.0,Setpoint,6.0,6.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,37.55
10/01/2024,14:08:30,0.0,78.2,42.7,No Reading,Off,Off,27.664,0.018,-0.041,3.2,7.197,631.684,0.738,190.94,3.2,0.996,3.621,29.4256,0.629,1.4511,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,None,O2,Setpoint,40.0,40.0,0.37,Setpoint,38.0,0.4,Setpoint,38.0,35.9,N2,Setpoint,80.0,N2,Setpoint,80.0,81.5,Air,Air,197.7,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,37.56
