Spectrum	Date	Time	CH4 (PF) 191c	CH4 (PF) 191c average	CH4 (PF) 191c stdev	CH4 high%	CH4 high% average	CH4 high% stdev	CO ppm 191C (1of2)	CO ppm 191C (1of2) average	CO ppm 191C (1of2) stdev	CO2 ppm 191c	CO2 ppm 191c average	CO2 ppm 191c stdev	CO2% 191c	CO2% 191c average	CO2% 191c stdev	H2O% 191C	H2O% 191C average	H2O% 191C stdev	H2O ppm 191c	H2O ppm 191c average	H2O ppm 191c stdev	HCL 191C	HCL 191C average	HCL 191C stdev	Formaldehyde 191c	Formaldehyde 191c average	Formaldehyde 191c stdev	Formic acid 191C	Formic acid 191C average	Formic acid 191C stdev	Methyl chloride 191c	Methyl chloride 191c average	Methyl chloride 191c stdev	Temp (C)	Temp (C) average	Temp (C) stdev	Pressure (Atm)	Pressure (Atm) average	Pressure (Atm) stdev	CH4 autorange	CH4 autorange average	CH4 autorange stdev	CO2 autorange	CO2 autorange average	CO2 autorange stdev	Igram DC	Igram DC average	Igram DC stdev	Igram PP	Igram PP average	Igram PP stdev	phase Angle	phase Angle average	phase Angle stdev	laser PP	laser PP average	laser PP stdev	laser DC	laser DC average	laser DC stdev	Bad Scan counter	Bad Scan counter average	Bad Scan counter stdev	Centerburst Location	Centerburst Location average	Centerburst Location stdev	Linearizer Check	Linearizer Check average	Linearizer Check stdev	SNR 2500	SNR 2500 average	SNR 2500 stdev	sBeam @ 2500	sBeam @ 2500 average	sBeam @ 2500 stdev	
FTIR_000000BKG.LAB	10/2/2024	16:38:42.725	0.000000	-3.088933	1.127861	-0.000000	-0.000301	0.001250	0.000000	-0.081342	0.130397	-0.000000	0.179648	0.890703	-0.000000	0.010021	0.011700	-0.000000	-0.004034	0.003028	-0.000000	-11.910666	4.192448	-0.000000	0.003447	0.050759	-0.000000	-0.016606	0.113114	-0.000000	-0.007325	0.039758	-0.000000	4.212968	1.578504	191.054398	190.928528	0.044233	0.994547	0.994547	0.000000	0.000000	-3.088933	1.127861	-0.000000	0.179648	0.890703	4.412545	4.408645	0.001401	4.408257	4.410069	0.000912	85.271408	85.730934	0.394334	4.789746	4.846524	0.101385	-3.290110	-3.287472	0.007238	0.000000	0.000000	0.000000	579.719055	579.709290	0.003595	0.002800	0.002765	0.000068	NaN	NaN	NaN	0.718030	0.718723	0.000427
FTIR_000001.LAB	10/2/2024	16:38:57.131	-0.486935	-2.827618	1.395869	-0.002808	-0.000732	0.001302	-0.049270	-0.068425	0.126035	-0.375915	0.162774	0.900392	-0.015198	0.007300	0.014103	-0.003740	-0.003425	0.002244	0.008699	-10.611859	5.600096	0.091225	0.010165	0.057752	0.175299	0.006731	0.126848	-0.080814	-0.015894	0.045636	0.874580	3.852765	1.891588	191.016251	190.938690	0.051723	0.994547	0.994547	0.000000	-0.486935	-2.827618	1.395869	-0.375915	0.162774	0.900392	4.402559	4.408089	0.002388	4.408535	4.409777	0.000885	85.511162	85.663010	0.363698	4.775898	4.856565	0.086437	-3.276923	-3.287033	0.007767	0.000000	0.000000	0.000000	579.720642	579.710388	0.005089	0.002801	0.002759	0.000062	1824.733765	NaN	NaN	0.716394	0.718492	0.000852
FTIR_000002.LAB	10/2/2024	16:48:24.978	867.647878	84.242767	275.264038	0.000317	-0.000864	0.001083	0.123297	-0.035233	0.128688	8.183099	0.936921	2.698789	0.094935	0.015809	0.031162	0.647699	0.061361	0.206027	16518.430000	1642.586182	5226.841309	1.693562	0.178920	0.535313	0.906501	0.089851	0.312803	-0.064434	-0.013243	0.041362	367.378941	40.028763	115.032997	191.054398	190.952682	0.062296	0.991676	0.994260	0.000908	867.647878	84.242767	275.264038	8.183099	0.936921	2.698789	3.694464	4.336740	0.225685	4.122142	4.380897	0.090921	85.790871	85.714951	0.337722	5.004394	4.866258	0.097505	-3.292308	-3.287033	0.007767	0.000000	0.000000	0.000000	579.712769	579.710999	0.004991	0.002371	0.002721	0.000138	NaN	NaN	NaN	0.711562	0.717840	0.002360
FTIR_000003.LAB	10/2/2024	16:48:37.810	-0.527340	84.594261	275.140991	-0.006649	-0.001365	0.002132	-0.010877	-0.021774	0.122781	0.904043	0.783512	2.647080	-0.011987	0.014519	0.032100	1.218171	0.183699	0.417151	2196.033244	1863.498779	5195.680176	0.714292	0.258026	0.551535	-0.297849	0.053219	0.336162	0.012269	-0.015308	0.039265	-0.430724	39.466522	115.235756	191.054398	190.966675	0.068202	0.991676	0.993973	0.001211	-0.527340	84.594261	275.140991	0.904043	0.783512	2.647080	3.690567	4.265025	0.301750	4.120313	4.351855	0.121554	86.030617	85.726944	0.347432	4.786284	4.854487	0.099528	-3.281319	-3.285055	0.006134	0.000000	0.000000	0.000000	579.713806	579.711609	0.004887	0.002476	0.002698	0.000158	1668.147827	NaN	NaN	0.711274	0.717119	0.003121
FTIR_000004.LAB	10/2/2024	16:48:50.647	0.748838	85.003654	274.998596	-0.009433	-0.002281	0.003273	0.083616	-0.022787	0.121760	2.343422	1.038917	2.663664	-0.006167	0.013973	0.032432	1.401891	0.324523	0.559334	1344.069597	1999.255493	5158.792480	0.857075	0.343305	0.573437	0.249697	0.101853	0.324547	0.045724	-0.011990	0.043095	2.154503	39.184422	115.332985	191.054398	190.980667	0.070623	0.991676	0.993686	0.001387	0.748838	85.003654	274.998596	2.343422	1.038917	2.663664	3.688005	4.193022	0.346432	4.118910	4.322734	0.139590	85.391281	85.742935	0.325062	4.845139	4.844447	0.094246	-3.281319	-3.283956	0.005656	0.000000	0.000000	0.000000	579.712830	579.712036	0.004766	0.002442	0.002653	0.000161	1363.138916	NaN	NaN	0.711897	0.716397	0.003426
FTIR_000005.LAB	10/2/2024	16:49:03.490	-0.316029	85.286697	274.899231	-0.008169	-0.003012	0.003707	-0.071011	-0.028999	0.122554	1.998924	1.317763	2.596082	-0.011877	0.010191	0.033080	1.453119	0.470271	0.647116	1029.402120	2103.538330	5124.009766	0.849592	0.428217	0.579862	0.026606	0.089717	0.324900	0.053893	-0.003157	0.046870	0.193854	38.782459	115.475327	191.054398	190.994659	0.069919	0.991676	0.993399	0.001483	-0.316029	85.286697	274.899231	1.998924	1.317763	2.596082	3.685237	4.120732	0.371101	4.116980	4.293431	0.149629	85.191490	85.639030	0.317888	4.824367	4.850332	0.090533	-3.285714	-3.284176	0.005679	0.000000	0.000000	0.000000	579.711121	579.712097	0.004746	0.002407	0.002623	0.000177	1389.052734	NaN	NaN	0.712647	0.715729	0.003444
FTIR_000006.LAB	10/2/2024	16:49:16.321	-0.631052	85.594017	274.790405	-0.007512	-0.003639	0.003900	0.010144	-0.038873	0.113881	1.865442	1.528339	2.540466	-0.015246	0.006286	0.033595	1.476324	0.618237	0.694241	1007.916948	2205.602783	5087.205078	0.838605	0.517314	0.566101	-0.075552	0.095614	0.320888	0.096285	0.008242	0.055925	0.716764	38.392750	115.609947	191.054398	191.008636	0.065993	0.991676	0.993112	0.001513	-0.631052	85.594017	274.790405	1.865442	1.528339	2.540466	3.683033	4.048176	0.379402	4.115360	4.263945	0.153070	85.790871	85.659012	0.320804	4.848601	4.843755	0.087708	-3.294506	-3.285714	0.006216	0.000000	0.000000	0.000000	579.710815	579.712463	0.004528	0.002354	0.002583	0.000189	1526.715698	NaN	NaN	0.711660	0.715017	0.003478
FTIR_000007.LAB	10/2/2024	16:49:29.159	-0.321017	85.929367	274.671356	-0.005838	-0.004295	0.003628	0.086260	-0.001123	0.077771	1.368087	1.605913	2.520475	0.017377	0.006713	0.033718	1.458949	0.764750	0.702374	964.947991	2303.432129	5049.055664	0.845721	0.591806	0.554087	-0.167127	0.074706	0.331411	0.046999	0.014081	0.056691	1.698397	38.073189	115.717209	191.054398	191.022614	0.058195	0.991676	0.992825	0.001483	-0.321017	85.929367	274.671356	1.368087	1.605913	2.520475	3.681350	3.975450	0.372272	4.113545	4.234286	0.150305	84.911781	85.591080	0.399141	4.987083	4.859334	0.098430	-3.298901	-3.287692	0.006985	0.000000	0.000000	0.000000	579.712891	579.713013	0.004161	0.002371	0.002551	0.000195	1184.864258	NaN	NaN	0.711522	0.714263	0.003317
FTIR_000008.LAB	10/2/2024	16:49:42.047	-0.504597	86.219902	274.567871	-0.005529	-0.004749	0.003447	0.053645	0.012174	0.074201	1.744311	1.821586	2.418803	0.011156	0.005538	0.033294	1.468464	0.911900	0.677344	981.305860	2402.891357	5007.977539	0.689420	0.655173	0.521230	-0.073186	0.075352	0.331083	-0.050145	0.003571	0.057998	0.056714	37.625404	115.869972	191.054398	191.036606	0.044537	0.991676	0.992538	0.001387	-0.504597	86.219902	274.567871	1.744311	1.821586	2.418803	3.680292	3.902625	0.348615	4.112310	4.204547	0.140866	85.750908	85.551117	0.354409	4.827829	4.867989	0.090371	-3.298901	-3.289231	0.007627	0.000000	0.000000	0.000000	579.709839	579.713196	0.003944	0.002310	0.002503	0.000190	1199.962524	NaN	NaN	0.711605	0.713553	0.003005
FTIR_000009.LAB	10/2/2024	16:49:54.831	0.041612	86.565140	274.444794	-0.005210	-0.005083	0.003296	0.047460	0.027326	0.062351	1.236964	1.926838	2.361879	0.006463	0.006946	0.032972	1.466483	1.058736	0.613381	971.265624	2501.337891	4964.694336	0.766733	0.734623	0.462848	-0.123681	0.062071	0.336652	-0.073246	-0.001347	0.062512	0.630281	37.327328	115.970985	191.052277	191.050385	0.012007	0.991676	0.992250	0.001211	0.041612	86.565140	274.444794	1.236964	1.926838	2.361879	3.679982	3.829803	0.304545	4.110835	4.174719	0.123209	85.990662	85.563103	0.368182	4.786284	4.847563	0.082317	-3.287912	-3.288791	0.007557	0.000000	0.000000	0.000000	579.710449	579.713440	0.003634	0.002346	0.002468	0.000182	1221.881958	NaN	NaN	0.711663	0.712825	0.002372
FTIR_000010.LAB	10/2/2024	16:50:07.669	-0.244118	86.540726	274.453400	-0.004331	-0.005516	0.002801	0.000262	0.027353	0.062338	1.625749	2.089413	2.268624	0.012312	0.008177	0.032914	1.463621	1.205098	0.496087	966.361364	2597.974121	4919.798340	0.907116	0.825334	0.385263	-0.052926	0.056778	0.338148	0.013451	-0.000002	0.062688	0.393488	37.366676	115.956970	190.999832	191.044922	0.019826	0.991676	0.991963	0.000908	-0.244118	86.540726	274.453400	1.625749	2.089413	2.268624	3.680220	3.756571	0.227030	4.110886	4.144982	0.092686	85.431244	85.579086	0.357424	4.921304	4.860718	0.082563	-3.285714	-3.288352	0.007599	0.000000	0.000000	0.000000	579.711670	579.712708	0.003068	0.002483	0.002436	0.000140	1467.061768	NaN	NaN	0.712120	0.712234	0.001511
FTIR_000011.LAB	10/2/2024	16:50:20.513	-0.102018	86.579216	274.439819	-0.003864	-0.005622	0.002706	0.014690	0.033749	0.056622	2.642020	2.391206	2.098588	-0.009502	0.008746	0.032511	1.473237	1.352796	0.259782	981.031436	2696.076416	4871.785156	0.692334	0.885445	0.294107	-0.229778	0.016270	0.346532	0.098621	0.017942	0.062667	0.579907	37.337212	115.967316	190.984467	191.041748	0.026392	0.991676	0.991676	0.000000	-0.102018	86.579216	274.439819	2.642020	2.391206	2.098588	3.679766	3.684292	0.005158	4.110023	4.115130	0.004305	85.950706	85.623047	0.374750	4.803595	4.863488	0.079820	-3.287912	-3.289450	0.006474	0.000000	0.000000	0.000000	579.709351	579.711548	0.001480	0.002387	0.002395	0.000057	1319.219971	NaN	NaN	0.711851	0.711780	0.000382
FTIR_000012.LAB	10/2/2024	16:50:33.345	-0.333050	-0.218877	0.394152	-0.004418	-0.006095	0.001821	-0.062108	0.015208	0.054352	2.964580	1.869354	0.640838	0.013931	0.000646	0.012716	1.486620	1.436688	0.080103	974.069527	1141.640381	387.836456	0.887005	0.804789	0.081911	-0.142409	-0.088620	0.150336	0.012533	0.025638	0.055773	0.844102	0.683729	0.759572	190.984467	191.034760	0.031446	0.991676	0.991676	0.000000	-0.333050	-0.218877	0.394152	2.964580	1.869354	0.640838	3.679780	3.682823	0.003869	4.109402	4.113856	0.003862	85.151535	85.559113	0.396823	4.883222	4.851371	0.063603	-3.292308	-3.289450	0.006474	0.000000	0.000000	0.000000	579.709167	579.711182	0.001586	0.002385	0.002396	0.000056	1402.055786	1374.210083	153.419861	0.711319	0.711756	0.000405
FTIR_000013.LAB	10/2/2024	16:50:46.183	-0.093874	-0.175530	0.380042	-0.004474	-0.005878	0.001876	-0.069409	0.009355	0.060299	2.233141	2.002264	0.549740	0.004856	0.002330	0.011949	1.502997	1.465171	0.026423	987.080702	1020.745117	115.345802	0.766115	0.809972	0.077044	-0.218283	-0.080664	0.139766	0.082341	0.032646	0.058253	-0.809951	0.645806	0.827798	190.984467	191.027756	0.034241	0.991676	0.991676	0.000000	-0.093874	-0.175530	0.380042	2.233141	2.002264	0.549740	3.679909	3.681757	0.002826	4.108654	4.112690	0.003432	84.951744	85.451218	0.401025	4.952463	4.867988	0.066357	-3.298901	-3.291209	0.006408	0.000000	0.000000	0.000000	579.708069	579.710571	0.001575	0.002382	0.002387	0.000049	1694.483765	1376.843628	159.145401	0.711227	0.711751	0.000411
