Date, Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,HF N2 MFC: Scale Factor Entry,HF N2 MFC: Mode Selection,HF N2 MFC: Setpoint Entry,HF N2 MFC: Device Scale Factor,HF N2 MFC: Device Mode,HF N2 MFC: Device Setpoint,HF N2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Cl2 MFC: Zero Offset (sccm),Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%)
10/03/2024,07:52:03,0.0,45.6,42.7,No Reading,Off,Off,24.166,-0.007,-0.042,4.479,2.326,203.27,0.446,190.959,4.479,0.992,3.573,18.8744,2.2723,1.7106,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,24,0.4,Setpoint,24.0,22.3,N2,Setpoint,80.0,N2,Setpoint,80.0,80.4,Air,Air,198.3,Closed,6.0,Closed,6.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,35.87
10/03/2024,07:52:13,0.0,45.6,42.7,No Reading,Off,Off,24.682,0.017,-0.096,1.847,1.646,249.814,0.504,190.959,1.847,0.992,3.573,19.7501,1.8839,1.715,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,24,0.4,Setpoint,24.0,22.1,N2,Setpoint,80.0,N2,Setpoint,80.0,77.5,Air,Air,198.1,Closed,6.0,Closed,6.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,35.88
10/03/2024,07:52:23,0.0,45.6,42.8,No Reading,Off,Off,26.114,0.008,-0.052,1.551,1.003,193.142,0.567,190.959,1.551,0.992,3.573,20.9258,2.0507,1.7328,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,24,0.4,Setpoint,24.0,21.9,N2,Setpoint,80.0,N2,Setpoint,80.0,78.2,Air,Air,198.2,Closed,6.0,Closed,6.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,35.90
10/03/2024,07:52:33,0.0,45.6,42.7,No Reading,Off,Off,26.107,0.014,-0.046,2.507,2.532,224.948,0.495,190.959,2.507,0.992,3.573,21.6418,1.7308,1.7471,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,24,0.4,Setpoint,24.0,22.1,N2,Setpoint,80.0,N2,Setpoint,80.0,82.1,Air,Air,198.3,Closed,6.0,Closed,6.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,35.92
10/03/2024,07:52:43,0.0,45.6,42.8,No Reading,Off,Off,26.107,0.014,-0.046,2.507,2.532,224.948,0.495,190.959,2.507,0.992,3.573,22.3854,1.9871,1.7682,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,24,0.4,Setpoint,24.0,22.1,N2,Setpoint,80.0,N2,Setpoint,80.0,79.6,Air,Air,198.5,Closed,6.0,Closed,6.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,35.96
10/03/2024,07:52:53,0.0,45.6,42.8,No Reading,Off,Off,26.612,0.016,-0.048,3.51,2.374,230.416,0.592,190.959,3.51,0.992,3.572,22.9558,1.824,1.7819,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,24,0.4,Setpoint,24.0,22.3,N2,Setpoint,80.0,N2,Setpoint,80.0,78.1,Air,Air,198.3,Closed,6.0,Closed,6.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,35.98
10/03/2024,07:53:03,0.0,45.6,42.7,No Reading,Off,Off,27.639,0.006,-0.032,2.348,1.116,201.803,0.499,190.959,2.348,0.992,3.572,23.7045,1.7898,1.8055,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,24,0.4,Setpoint,24.0,22.1,N2,Setpoint,80.0,N2,Setpoint,80.0,82.4,Air,Air,198.4,Closed,6.0,Closed,6.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,36.01
10/03/2024,07:53:13,0.0,45.7,42.8,No Reading,Off,Off,27.156,0.004,0.084,2.918,2.586,192.936,0.561,190.959,2.918,0.992,3.572,24.1844,1.1242,1.8225,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,24,0.4,Setpoint,24.0,22.3,N2,Setpoint,80.0,N2,Setpoint,80.0,81.7,Air,Air,198.4,Setpoint,6.0,Setpoint,6.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,36.04
10/03/2024,07:53:23,0.0,45.6,42.8,No Reading,Off,Off,27.156,0.004,0.084,2.918,2.586,192.936,0.561,190.959,2.918,0.992,3.572,24.6636,1.4821,1.837,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,24,0.4,Setpoint,24.0,22.0,N2,Setpoint,80.0,N2,Setpoint,80.0,79.0,Air,Air,198.4,Setpoint,6.0,Setpoint,6.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,36.06
10/03/2024,07:53:33,0.0,45.6,42.8,No Reading,Off,Off,28.24,0.01,-0.045,2.391,2.29,187.8,0.593,190.959,2.391,0.992,3.571,25.1832,1.2337,1.854,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Setpoint,50,N2,Setpoint,50.0,50.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,18,0.4,Setpoint,18.0,16.2,N2,Setpoint,80.0,N2,Setpoint,80.0,78.1,Air,Air,196.8,Setpoint,6.0,Setpoint,6.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,36.14
