Date, Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,HF N2 MFC: Scale Factor Entry,HF N2 MFC: Mode Selection,HF N2 MFC: Setpoint Entry,HF N2 MFC: Device Scale Factor,HF N2 MFC: Device Mode,HF N2 MFC: Device Setpoint,HF N2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Cl2 MFC: Zero Offset (sccm),Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%)
10/18/2024,11:39:21,0.0,181.3,44.6,No Reading,Off,Off,29.049,0.022,-0.065,2.329,3.998,320.039,0.792,190.997,2.329,1.003,3.579,28.2615,0.7268,1.6799,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,116.0,0.4,Setpoint,116.0,114.1,N2,Setpoint,20.0,N2,Setpoint,20.0,17.0,Air,Air,206.3,Setpoint,18.0,Setpoint,18.0,18.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,6.58
10/18/2024,11:39:31,0.0,181.4,44.6,No Reading,Off,Off,29.049,0.022,-0.065,2.329,3.998,320.039,0.792,190.997,2.329,1.003,3.579,28.2514,-0.3866,1.6899,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,116.0,0.4,Setpoint,116.0,113.9,N2,Setpoint,20.0,N2,Setpoint,20.0,18.2,Air,Air,206.1,Setpoint,18.0,Setpoint,18.0,17.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,6.59
10/18/2024,11:39:41,0.0,181.6,44.6,No Reading,Off,Off,29.76,0.026,0.047,2.027,3.625,245.106,0.635,190.997,2.027,1.003,3.578,28.246,0.2477,1.6999,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,116.0,0.4,Setpoint,116.0,114.1,N2,Setpoint,20.0,N2,Setpoint,20.0,26.6,Air,Air,206.3,Setpoint,18.0,Setpoint,18.0,18.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,6.61
10/18/2024,11:39:51,0.0,181.6,44.7,No Reading,Off,Off,30.49,0.026,-0.017,1.762,3.322,219.599,0.526,190.997,1.762,1.003,3.578,28.2311,0.6156,1.7102,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,116.0,0.4,Setpoint,116.0,114.0,N2,Setpoint,20.0,N2,Setpoint,20.0,16.7,Air,Air,206.1,Setpoint,18.0,Setpoint,18.0,18.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,6.60
10/18/2024,11:40:01,0.0,181.5,44.6,No Reading,Off,Off,29.107,0.021,-0.123,0.657,3.375,329.343,0.766,190.997,0.657,1.003,3.578,28.2349,0.4996,1.7155,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,116.0,0.4,Setpoint,116.0,114.0,N2,Setpoint,20.0,N2,Setpoint,20.0,19.0,Air,Air,206.2,Setpoint,18.0,Setpoint,18.0,18.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,6.61
10/18/2024,11:40:11,0.0,181.7,44.6,No Reading,Off,Off,29.107,0.021,-0.123,0.657,3.375,329.343,0.766,190.997,0.657,1.003,3.578,28.2238,-0.4138,1.7262,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,116.0,0.4,Setpoint,116.0,113.9,N2,Setpoint,20.0,N2,Setpoint,20.0,17.9,Air,Air,206.1,Setpoint,18.0,Setpoint,18.0,17.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,6.61
10/18/2024,11:40:21,0.0,181.7,44.7,No Reading,Off,Off,30.026,0.008,-0.006,1.615,4.207,233.326,0.571,190.997,1.615,1.003,3.577,28.2396,0.5166,1.7301,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,116.0,0.4,Setpoint,116.0,114.1,N2,Setpoint,20.0,N2,Setpoint,20.0,18.5,Air,Air,206.0,Setpoint,18.0,Setpoint,18.0,18.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,6.62
10/18/2024,11:40:31,0.0,181.7,44.6,No Reading,Off,Off,28.94,0.027,0.027,1.445,2.955,235.932,0.484,190.997,1.445,1.003,3.577,28.2139,1.3472,1.7338,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,116.0,0.4,Setpoint,116.0,114.0,N2,Setpoint,20.0,N2,Setpoint,20.0,18.3,Air,Air,206.1,Setpoint,18.0,Setpoint,18.0,18.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,6.62
10/18/2024,11:40:41,0.0,181.8,44.7,No Reading,Off,Off,28.958,0.006,0.018,1.616,3.839,233.237,0.552,190.997,1.616,1.003,3.576,28.2171,-0.587,1.7351,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,116.0,0.4,Setpoint,116.0,113.9,N2,Setpoint,20.0,N2,Setpoint,20.0,16.7,Air,Air,206.2,Setpoint,18.0,Setpoint,18.0,17.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,6.62
10/18/2024,11:40:51,0.0,181.8,44.6,No Reading,Off,Off,29.887,0.022,-0.016,2.867,3.294,230.676,0.524,190.997,2.867,1.003,3.576,28.2226,0.0443,1.7389,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,116.0,0.4,Setpoint,116.0,114.1,N2,Setpoint,20.0,N2,Setpoint,20.0,18.1,Air,Air,206.1,Setpoint,18.0,Setpoint,18.0,17.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,6.63
10/18/2024,11:41:01,0.0,181.8,44.6,No Reading,Off,Off,29.887,0.022,-0.016,2.867,3.294,230.676,0.524,190.997,2.867,1.003,3.576,28.225,0.419,1.7413,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,116.0,0.4,Setpoint,116.0,114.2,N2,Setpoint,20.0,N2,Setpoint,20.0,23.5,Air,Air,206.3,Setpoint,18.0,Setpoint,18.0,18.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,6.64
10/18/2024,11:41:11,0.0,181.8,44.7,No Reading,Off,Off,29.375,0.026,-0.033,1.534,3.637,239.526,0.471,190.997,1.534,1.003,3.575,28.2266,0.1102,1.7398,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,116.0,0.4,Setpoint,116.0,114.1,N2,Setpoint,20.0,N2,Setpoint,20.0,26.5,Air,Air,206.1,Setpoint,18.0,Setpoint,18.0,17.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,6.64
10/18/2024,11:41:21,0.0,182.0,44.6,No Reading,Off,Off,29.981,0.022,-0.011,2.493,3.2,245.669,0.473,190.997,2.493,1.003,3.575,28.2239,-0.3921,1.7411,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,116.0,0.4,Setpoint,116.0,114.1,N2,Setpoint,20.0,N2,Setpoint,20.0,21.3,Air,Air,206.2,Setpoint,18.0,Setpoint,18.0,18.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,6.64
