Date, Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,HF N2 MFC: Scale Factor Entry,HF N2 MFC: Mode Selection,HF N2 MFC: Setpoint Entry,HF N2 MFC: Device Scale Factor,HF N2 MFC: Device Mode,HF N2 MFC: Device Setpoint,HF N2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Cl2 MFC: Zero Offset (sccm),Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%)
10/01/2024,10:47:33,0.0,48.9,42.6,No Reading,Off,Off,-1.578,0.027,-0.025,1.891,5.865,124.195,0.507,190.915,1.891,0.999,3.609,1.1701,5.8427,1.2036,N2,Setpoint,40,N2,Setpoint,40.0,40.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,24,0.4,Setpoint,24.0,22.3,N2,Setpoint,80.0,N2,Setpoint,80.0,74.3,Air,Air,189.5,Setpoint,6.0,Setpoint,6.0,5.8,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,39.46
10/01/2024,10:47:43,0.0,48.9,42.6,No Reading,Off,Off,-1.923,0.012,-0.03,0.702,5.624,128.449,0.53,190.915,0.702,0.999,3.608,1.1796,4.5829,1.2673,N2,Setpoint,40,N2,Setpoint,40.0,40.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,24,0.4,Setpoint,24.0,22.5,N2,Setpoint,80.0,N2,Setpoint,80.0,74.0,Air,Air,189.5,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,39.49
10/01/2024,10:47:53,0.0,48.9,42.7,No Reading,Off,Off,-1.821,0.027,-0.04,1.023,5.529,101.267,0.448,190.92,1.023,0.999,3.607,1.1919,4.6671,1.3042,N2,Setpoint,40,N2,Setpoint,40.0,40.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,24,0.4,Setpoint,24.0,22.4,N2,Setpoint,80.0,N2,Setpoint,80.0,83.4,Air,Air,189.3,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,39.50
10/01/2024,10:48:03,0.0,48.9,42.6,No Reading,Off,Off,-1.594,0.03,0.015,0.012,5.736,106.625,0.61,191.002,0.012,0.999,3.606,1.2123,4.9525,1.3419,N2,Setpoint,40,N2,Setpoint,40.0,40.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,24,0.4,Setpoint,24.0,22.1,N2,Setpoint,80.0,N2,Setpoint,80.0,80.1,Air,Air,189.3,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,39.52
10/01/2024,10:48:13,0.0,48.9,42.6,No Reading,Off,Off,-1.231,0.031,-0.1,0.261,5.684,101.494,0.488,191.004,0.261,0.999,3.605,1.2434,4.3301,1.3842,N2,Setpoint,40,N2,Setpoint,40.0,40.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,34,Read Error,Read Error,Read Error,Read Error,N2,Setpoint,80.0,N2,Setpoint,80.0,83.5,Air,Air,189.2,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,39.53
10/01/2024,10:48:23,0.0,48.8,42.6,No Reading,Off,Off,-1.231,0.031,-0.1,0.261,5.684,101.494,0.488,191.004,0.261,0.999,3.605,1.2768,4.1583,1.4159,N2,Setpoint,40,N2,Setpoint,40.0,40.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,34,0.4,Setpoint,34.0,32.3,N2,Setpoint,80.0,N2,Setpoint,80.0,83.2,Air,Air,192.3,Setpoint,6.0,Setpoint,6.0,5.8,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,39.06
10/01/2024,10:48:33,0.0,48.9,42.6,No Reading,Off,Off,-1.434,0.017,0.044,1.643,5.551,97.022,0.551,191.048,1.643,0.999,3.605,1.3095,3.8141,1.4407,N2,Setpoint,40,N2,Setpoint,40.0,40.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,34,0.4,Setpoint,34.0,32.1,N2,Setpoint,80.0,N2,Setpoint,80.0,82.9,Air,Air,194.7,Setpoint,6.0,Setpoint,6.0,6.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,38.33
10/01/2024,10:48:43,0.0,48.9,42.6,No Reading,Off,Off,-1.946,0.035,-0.018,0.398,5.092,136.503,0.524,191.099,0.398,0.999,3.605,1.3638,3.5532,1.4771,N2,Setpoint,40,N2,Setpoint,40.0,40.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,34,0.4,Setpoint,34.0,32.0,N2,Setpoint,80.0,N2,Setpoint,80.0,78.8,Air,Air,196.3,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,38.00
10/01/2024,10:48:53,0.0,48.9,42.6,No Reading,Off,Off,-0.805,0.011,-0.063,0.737,5.577,88.218,0.421,191.099,0.737,0.999,3.605,1.404,3.7881,1.4975,N2,Setpoint,40,N2,Setpoint,40.0,40.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,34,0.4,Setpoint,34.0,32.3,N2,Setpoint,80.0,N2,Setpoint,80.0,76.4,Air,Air,197.5,Setpoint,6.0,Setpoint,6.0,6.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,37.78
10/01/2024,10:49:03,0.0,48.9,42.7,No Reading,Off,Off,-0.805,0.011,-0.063,0.737,5.577,88.218,0.421,191.099,0.737,0.999,3.605,1.4523,3.5633,1.5199,N2,Setpoint,40,N2,Setpoint,40.0,40.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,34,0.4,Setpoint,34.0,32.0,N2,Setpoint,80.0,N2,Setpoint,80.0,83.9,Air,Air,198.3,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,37.68
10/01/2024,10:49:13,0.0,48.9,42.6,No Reading,Off,Off,-0.68,0.014,0.012,-0.739,5.948,74.682,0.518,191.149,-0.739,0.999,3.605,1.5119,3.4538,1.5457,N2,Setpoint,40,N2,Setpoint,40.0,40.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,34,0.4,Setpoint,34.0,32.3,N2,Setpoint,80.0,N2,Setpoint,80.0,83.8,Air,Air,198.8,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,37.63
10/01/2024,10:49:23,0.0,48.8,42.6,No Reading,Off,Off,-1.229,0.028,0.035,-0.862,5.223,118.782,0.519,191.194,-0.862,0.999,3.606,1.5647,3.4998,1.5685,N2,Setpoint,40,N2,Setpoint,40.0,40.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,34,0.4,Setpoint,34.0,32.4,N2,Setpoint,80.0,N2,Setpoint,80.0,79.9,Air,Air,199.2,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,37.59
