Date, Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,HF N2 MFC: Scale Factor Entry,HF N2 MFC: Mode Selection,HF N2 MFC: Setpoint Entry,HF N2 MFC: Device Scale Factor,HF N2 MFC: Device Mode,HF N2 MFC: Device Setpoint,HF N2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Cl2 MFC: Zero Offset (sccm),Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%)
10/22/2024,06:31:31,0.0,171.1,44.5,No Reading,Off,Off,29.421,0.024,0.241,2.299,1.746,958.329,0.698,191.046,2.299,1.003,3.598,27.9494,-0.1002,0.9898,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,136.0,0.4,Setpoint,136.0,134.0,N2,Closed,0.0,N2,Closed,0.0,0.3,Air,Air,211.9,Setpoint,18.0,Setpoint,18.0,18.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,0.00
10/22/2024,06:31:41,0.0,171.2,44.5,No Reading,Off,Off,29.421,0.024,0.241,2.299,1.746,958.329,0.698,191.046,2.299,1.003,3.598,27.8681,-0.1443,1.0187,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,136.0,0.4,Setpoint,136.0,133.9,N2,Closed,0.0,N2,Closed,0.0,0.3,Air,Air,211.8,Setpoint,18.0,Setpoint,18.0,17.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,0.00
10/22/2024,06:31:51,0.0,171.5,44.6,No Reading,Off,Off,28.79,0.006,0.191,2.842,1.7,957.177,0.769,190.97,2.842,1.003,3.596,27.8529,-0.0292,1.0365,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,136.0,0.4,Setpoint,136.0,133.9,N2,Closed,0.0,N2,Closed,0.0,0.3,Air,Air,211.9,Setpoint,18.0,Setpoint,18.0,18.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,0.00
10/22/2024,06:32:01,0.0,171.8,44.6,No Reading,Off,Off,29.492,0.02,0.103,2.144,2.079,987.071,0.72,190.971,2.144,1.003,3.595,27.8042,-0.7265,1.0496,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,136.0,0.4,Setpoint,136.0,134.1,N2,Closed,0.0,N2,Closed,0.0,0.3,Air,Air,211.9,Setpoint,18.0,Setpoint,18.0,17.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,0.00
10/22/2024,06:32:11,0.0,172.0,44.5,No Reading,Off,Off,29.108,0.02,0.206,2.126,1.99,930.247,0.729,191.06,2.126,1.003,3.594,27.7852,0.7472,1.0696,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,136.0,0.4,Setpoint,136.0,133.9,N2,Closed,0.0,N2,Closed,0.0,0.2,Air,Air,211.9,Setpoint,18.0,Setpoint,18.0,18.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,0.00
10/22/2024,06:32:21,0.0,172.2,44.5,No Reading,Off,Off,28.555,0.023,0.208,3.067,1.755,953.33,0.706,191.046,3.067,1.003,3.593,27.7677,0.2967,1.0831,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,136.0,0.4,Setpoint,136.0,134.2,N2,Closed,0.0,N2,Closed,0.0,0.3,Air,Air,211.8,Setpoint,18.0,Setpoint,18.0,17.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,0.00
10/22/2024,06:32:31,0.0,172.3,44.5,No Reading,Off,Off,28.555,0.023,0.208,3.067,1.755,953.33,0.706,191.046,3.067,1.003,3.593,27.7581,8.6778,1.0955,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,136.0,0.4,Setpoint,136.0,134.2,N2,Closed,0.0,N2,Closed,0.0,0.3,Air,Air,211.9,Setpoint,18.0,Setpoint,18.0,17.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,0.00
10/22/2024,06:32:41,0.0,172.4,44.5,No Reading,Off,Off,28.827,0.01,0.201,1.315,1.449,912.665,0.644,190.984,1.315,1.003,3.593,27.7802,0.2865,1.1074,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,136.0,0.4,Setpoint,136.0,134.1,N2,Closed,0.0,N2,Closed,0.0,0.3,Air,Air,211.9,Setpoint,18.0,Setpoint,18.0,17.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,0.00
10/22/2024,06:32:51,0.0,172.6,44.5,No Reading,Off,Off,29.655,0.006,0.112,3.062,2.315,945.458,0.69,190.984,3.062,1.003,3.592,27.7704,0.2061,1.124,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,136.0,0.4,Setpoint,136.0,134.2,N2,Closed,0.0,N2,Closed,0.0,0.3,Air,Air,211.8,Setpoint,18.0,Setpoint,18.0,17.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,0.00
10/22/2024,06:33:01,0.0,172.7,44.4,No Reading,Off,Off,28.765,0.01,0.15,1.611,2.169,904.539,0.734,190.984,1.611,1.003,3.591,27.7984,0.0666,1.1314,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,136.0,0.4,Setpoint,136.0,134.3,N2,Closed,0.0,N2,Closed,0.0,0.2,Air,Air,211.9,Setpoint,18.0,Setpoint,18.0,17.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,0.00
