Date, Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,HF N2 MFC: Scale Factor Entry,HF N2 MFC: Mode Selection,HF N2 MFC: Setpoint Entry,HF N2 MFC: Device Scale Factor,HF N2 MFC: Device Mode,HF N2 MFC: Device Setpoint,HF N2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Cl2 MFC: Zero Offset (sccm),Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%)
10/21/2024,17:30:14,0.0,1.3,1.3,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,2.1386,426.7362,1.2833,N2,Closed,6.0,N2,Closed,6.0,0.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Closed,40.0,O2,Closed,40.0,0.0,0.37,Closed,154.0,0.4,Closed,154.0,5.8,N2,Closed,0.0,N2,Closed,0.0,0.3,Air,Air,0.4,Closed,18.0,Closed,18.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,No Bubbler,42.33
10/21/2024,17:30:24,0.0,1.3,1.3,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,2.1436,427.3984,1.2898,N2,Setpoint,6.0,N2,Closed,6.0,0.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Closed,40.0,0.0,0.37,Setpoint,154.0,0.4,Closed,154.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.3,Air,Air,0.4,Closed,18.0,Closed,18.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,No Bubbler,42.34
10/21/2024,17:30:34,0.0,1.3,1.3,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,2.1503,426.5899,1.2954,N2,Setpoint,6.0,N2,Setpoint,6.0,6.2,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,154.0,0.4,Setpoint,154.0,152.2,N2,Closed,0.0,N2,Closed,0.0,0.3,Air,Air,115.5,Closed,18.0,Closed,18.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,No Bubbler,32.30
10/21/2024,17:30:44,0.0,1.3,1.3,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,2.1527,427.847,1.2975,N2,Setpoint,6.0,N2,Setpoint,6.0,6.1,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,154.0,0.4,Setpoint,154.0,152.9,N2,Closed,0.0,N2,Closed,0.0,0.2,Air,Air,173.2,Closed,18.0,Closed,18.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,No Bubbler,14.42
10/21/2024,17:30:54,0.0,1.3,1.3,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,2.1534,427.0744,1.3025,N2,Setpoint,6.0,N2,Setpoint,6.0,6.1,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,154.0,0.4,Setpoint,154.0,151.8,N2,Closed,0.0,N2,Closed,0.0,0.1,Air,Air,202.5,Closed,18.0,Closed,18.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,No Bubbler,9.30
10/21/2024,17:31:04,0.0,1.3,1.3,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,2.878,401.4008,1.329,N2,Setpoint,6.0,N2,Setpoint,6.0,6.1,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,154.0,0.4,Setpoint,154.0,152.0,N2,Closed,0.0,N2,Closed,0.0,0.2,Air,Air,219.1,Closed,18.0,Closed,18.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,No Bubbler,6.34
10/21/2024,17:31:14,0.0,1.3,1.3,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,5.7603,324.1224,1.4388,N2,Setpoint,6.0,N2,Setpoint,6.0,6.1,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,154.0,0.4,Setpoint,154.0,151.8,N2,Closed,0.0,N2,Closed,0.0,0.2,Air,Air,229.2,Closed,18.0,Closed,18.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,No Bubbler,4.19
10/21/2024,17:31:24,0.0,1.3,1.3,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,8.9369,210.0611,1.57,N2,Setpoint,6.0,N2,Setpoint,6.0,6.1,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,154.0,0.4,Setpoint,154.0,152.2,N2,Closed,0.0,N2,Closed,0.0,0.3,Air,Air,236.0,Closed,18.0,Closed,18.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,No Bubbler,2.85
10/21/2024,17:31:34,0.0,1.3,1.3,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,10.8893,152.7673,1.6598,N2,Setpoint,6.0,N2,Setpoint,6.0,6.1,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,154.0,0.4,Setpoint,154.0,152.4,N2,Closed,0.0,N2,Closed,0.0,0.2,Air,Air,240.1,Closed,18.0,Closed,18.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,No Bubbler,1.50
10/21/2024,17:31:44,0.01,1.3,1.3,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,11.7183,126.7794,1.7001,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,154.0,0.4,Setpoint,154.0,152.0,N2,Closed,0.0,N2,Closed,0.0,0.3,Air,Air,242.9,Closed,18.0,Closed,18.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,No Bubbler,0.42
