Date, Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,HF N2 MFC: Scale Factor Entry,HF N2 MFC: Mode Selection,HF N2 MFC: Setpoint Entry,HF N2 MFC: Device Scale Factor,HF N2 MFC: Device Mode,HF N2 MFC: Device Setpoint,HF N2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Cl2 MFC: Zero Offset (sccm),Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%)
01/29/2025,09:35:41,0.02,44.0,44.0,No Reading,Off,Off,2.28,0.035,-0.018,46.023,0.92,2009.298,0.707,191.035,46.023,1.007,3.161,1.5433,52.136,0.6563,N2,Setpoint,6,N2,Closed,0.0,0.0,N2,Closed,40.0,N2,Closed,40.0,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,80,0.4,Setpoint,80.0,78.0,N2,Setpoint,80.0,N2,Setpoint,80.0,80.3,Air,Air,221.0,Closed,0.0,Closed,0.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,27.74
01/29/2025,09:35:51,0.02,44.0,44.0,No Reading,Off,Off,2.28,0.035,-0.018,46.023,0.92,2009.298,0.707,191.035,46.023,1.007,3.161,1.4743,50.4091,0.693,N2,Setpoint,6,N2,Setpoint,6.0,0.0,N2,Closed,40.0,N2,Closed,40.0,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,64,0.4,Setpoint,80.0,78.2,N2,Setpoint,80.0,N2,Setpoint,80.0,79.9,Air,Air,221.5,Closed,0.0,Closed,0.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,27.76
01/29/2025,09:36:01,0.02,44.0,44.0,No Reading,Off,Off,1.904,0.023,-0.034,42.53,1.969,2005.835,0.774,191.035,42.53,1.007,3.159,1.4154,49.1057,0.7214,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,40.0,N2,Closed,40.0,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,74,0.4,Setpoint,64.0,62.0,N2,Setpoint,80.0,N2,Setpoint,80.0,79.4,Air,Air,217.1,Closed,0.0,Closed,0.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,27.99
01/29/2025,09:36:11,0.02,43.8,44.0,No Reading,Off,Off,1.299,0.019,0.071,41.359,1.602,1971.614,0.717,191.04,41.359,1.007,3.158,1.3571,48.32,0.7472,N2,Setpoint,6,N2,Setpoint,6.0,6.1,N2,Closed,40.0,N2,Closed,40.0,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,74,0.4,Setpoint,74.0,72.2,N2,Setpoint,80.0,N2,Setpoint,80.0,78.1,Air,Air,218.3,Closed,0.0,Closed,0.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,28.64
01/29/2025,09:36:21,0.02,43.7,44.0,No Reading,Off,Off,1.567,0.028,0.008,38.701,2.503,1954.634,0.691,191.061,38.701,1.007,3.157,1.2913,46.1687,0.7729,N2,Setpoint,6,N2,Setpoint,6.0,6.1,N2,Setpoint,.25,N2,Closed,40.0,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,74,0.4,Setpoint,74.0,72.1,N2,Setpoint,80.0,N2,Setpoint,80.0,78.5,Air,Air,218.9,Closed,0.0,Closed,0.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,28.40
01/29/2025,09:36:31,0.02,43.6,43.9,No Reading,Off,Off,1.213,0.018,0.021,38.452,1.926,1933.982,0.735,191.11,38.452,1.007,3.156,1.2245,45.4725,0.7976,N2,Setpoint,6,N2,Setpoint,6.0,6.1,N2,Setpoint,.25,N2,Closed,40.0,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,74,0.4,Setpoint,74.0,72.2,N2,Setpoint,80.0,N2,Setpoint,80.0,81.9,Air,Air,219.7,Closed,0.0,Closed,0.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,28.29
01/29/2025,09:36:41,0.02,43.7,43.9,No Reading,Off,Off,1.213,0.018,0.021,38.452,1.926,1933.982,0.735,191.11,38.452,1.007,3.156,1.1607,44.2128,0.8203,N2,Setpoint,6,N2,Setpoint,6.0,6.1,N2,Setpoint,.25,N2,Closed,40.0,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,68,0.4,Setpoint,74.0,71.9,N2,Setpoint,80.0,N2,Setpoint,80.0,80.1,Air,Air,219.8,Closed,0.0,Closed,0.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,28.29
01/29/2025,09:36:51,0.02,43.6,43.9,No Reading,Off,Off,1.997,0.031,-0.04,37.106,1.801,1935.551,0.618,191.118,37.106,1.007,3.156,1.1097,42.3425,0.8365,N2,Setpoint,6,N2,Setpoint,6.0,6.1,N2,Closed,.25,N2,Closed,0.2,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,68,0.4,Setpoint,74.0,72.0,N2,Setpoint,80.0,N2,Setpoint,80.0,77.9,Air,Air,219.9,Setpoint,6,Closed,0.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,28.33
01/29/2025,09:37:01,0.02,43.4,44.0,No Reading,Off,Off,0.956,0.044,0.06,34.2,2.146,1908.597,0.677,191.118,34.2,1.007,3.156,1.0442,40.8938,0.8578,N2,Setpoint,6,N2,Setpoint,6.0,6.1,N2,Closed,.25,N2,Closed,0.2,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,68,0.4,Setpoint,68.0,66.0,N2,Setpoint,80.0,N2,Setpoint,80.0,77.7,Air,Air,218.4,Setpoint,6,Setpoint,6.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,28.45
01/29/2025,09:37:11,0.02,43.6,44.0,No Reading,Off,Off,1.783,0.026,-0.015,32.021,2.714,1907.686,0.74,191.118,32.021,1.007,3.155,0.9895,40.155,0.8717,N2,Setpoint,6,N2,Setpoint,6.0,6.1,N2,Closed,.25,N2,Closed,0.2,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,68,0.4,Setpoint,68.0,65.8,N2,Setpoint,80.0,N2,Setpoint,80.0,82.9,Air,Air,216.8,Setpoint,6,Setpoint,6.0,0.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,28.84
