Date, Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,HF N2 MFC: Scale Factor Entry,HF N2 MFC: Mode Selection,HF N2 MFC: Setpoint Entry,HF N2 MFC: Device Scale Factor,HF N2 MFC: Device Mode,HF N2 MFC: Device Setpoint,HF N2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Cl2 MFC: Zero Offset (sccm),Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%)
11/08/2024,15:35:07,0.0,40.4,43.2,No Reading,Off,Read Error,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,2.2112,447.5133,0.6232,N2,Setpoint,50,N2,Setpoint,50.0,50.1,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Closed,None,O2,Closed,40.0,0.0,0.37,Setpoint,50,0.4,Setpoint,50.0,48.1,N2,Setpoint,100,N2,Setpoint,100.0,99.5,Air,Air,206.5,Closed,6.0,Closed,6.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,Read Error
11/08/2024,15:35:17,0.0,40.4,43.3,No Reading,Off,Read Error,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,2.2124,452.583,0.6246,N2,Setpoint,50,N2,Setpoint,50.0,49.9,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Closed,None,O2,Closed,40.0,0.0,0.37,Setpoint,50,0.4,Setpoint,50.0,48.2,N2,Setpoint,100,N2,Setpoint,100.0,102.0,Air,Air,204.1,Setpoint,12,Setpoint,12.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,Read Error
11/08/2024,15:35:27,0.0,40.4,43.2,No Reading,Off,Read Error,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,2.2249,448.3355,0.6277,N2,Setpoint,50,N2,Setpoint,50.0,50.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Closed,None,O2,Closed,40.0,0.0,0.37,Setpoint,38,0.4,Setpoint,50.0,48.0,N2,Setpoint,100,N2,Setpoint,100.0,100.7,Air,Air,205.3,Setpoint,12,Setpoint,12.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,Read Error
11/08/2024,15:35:37,0.0,40.5,43.2,No Reading,Off,Read Error,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,2.2457,445.861,0.631,N2,Setpoint,50,N2,Setpoint,50.0,49.9,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,38,O2,Setpoint,38.0,38.0,0.37,Closed,38,0.4,Setpoint,38.0,35.9,N2,Setpoint,100,N2,Setpoint,100.0,101.9,Air,Air,212.3,Setpoint,12,Setpoint,12.0,12.5,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,Read Error
11/08/2024,15:35:47,0.0,40.4,43.2,No Reading,Off,Read Error,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,2.2857,447.0765,0.6355,N2,Setpoint,50,N2,Setpoint,50.0,50.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,38,O2,Setpoint,38.0,38.0,0.37,Closed,38,0.4,Closed,38.0,5.3,N2,Setpoint,100,N2,Setpoint,100.0,102.3,Air,Air,210.9,Setpoint,12,Setpoint,12.0,11.8,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,Read Error
11/08/2024,15:35:57,0.0,40.4,43.2,No Reading,Off,Read Error,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,2.3027,446.8699,0.6386,N2,Setpoint,50,N2,Setpoint,50.0,50.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,38,O2,Setpoint,38.0,38.0,0.37,Closed,38,0.4,Closed,38.0,5.7,N2,Setpoint,100,N2,Setpoint,100.0,101.3,Air,Air,210.7,Setpoint,12,Setpoint,12.0,11.8,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,Read Error
11/08/2024,15:36:07,0.0,40.4,43.1,No Reading,Off,Read Error,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,2.3133,447.4355,0.6394,N2,Setpoint,50,N2,Setpoint,50.0,50.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,38,O2,Setpoint,38.0,38.0,0.37,Closed,38,0.4,Closed,38.0,5.6,N2,Setpoint,100,N2,Setpoint,100.0,102.5,Air,Air,212.5,Setpoint,12,Setpoint,12.0,11.8,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,Read Error
11/08/2024,15:36:17,0.0,40.4,43.2,No Reading,Off,Read Error,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,2.3112,446.7826,0.6421,N2,Setpoint,50,N2,Setpoint,50.0,50.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,38,O2,Setpoint,38.0,38.0,0.37,Closed,38,0.4,Closed,38.0,5.7,N2,Setpoint,100,N2,Setpoint,100.0,101.6,Air,Air,210.5,Setpoint,12,Setpoint,12.0,12.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,Read Error
11/08/2024,15:36:27,0.0,40.4,43.1,No Reading,Off,Read Error,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,2.3082,446.7329,0.6428,N2,Setpoint,50,N2,Setpoint,50.0,50.1,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,38,O2,Setpoint,38.0,38.0,0.37,Closed,38,0.4,Closed,38.0,5.7,N2,Setpoint,100,N2,Setpoint,100.0,98.3,Air,Air,210.5,Setpoint,12,Setpoint,12.0,11.9,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,Read Error
11/08/2024,15:36:37,0.0,40.4,43.2,No Reading,Off,Read Error,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,2.3086,445.5968,0.6447,N2,Setpoint,50,N2,Setpoint,50.0,50.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,38,O2,Setpoint,38.0,38.0,0.37,Closed,38,0.4,Closed,38.0,5.6,N2,Setpoint,100,N2,Setpoint,100.0,101.8,Air,Air,214.0,Setpoint,12,Setpoint,12.0,11.9,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,Read Error
11/08/2024,15:36:47,0.0,40.4,43.2,No Reading,Off,Read Error,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,2.3081,444.6772,0.6457,N2,Setpoint,50,N2,Setpoint,50.0,49.9,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,38,O2,Setpoint,38.0,38.0,0.37,Closed,38,0.4,Closed,38.0,5.5,N2,Setpoint,100,N2,Setpoint,100.0,102.9,Air,Air,212.9,Setpoint,12,Setpoint,12.0,11.9,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,Read Error
11/08/2024,15:36:57,0.0,40.4,43.1,No Reading,Off,Read Error,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,2.3084,445.7714,0.6449,N2,Setpoint,50,N2,Setpoint,50.0,50.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,38,O2,Setpoint,38.0,38.0,0.37,Closed,38,0.4,Closed,38.0,5.7,N2,Setpoint,100,N2,Setpoint,100.0,97.9,Air,Air,211.2,Setpoint,12,Setpoint,12.0,11.9,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,Read Error
11/08/2024,15:37:07,0.0,40.4,43.1,No Reading,Off,Read Error,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,2.3118,450.0253,0.646,N2,Setpoint,50,N2,Setpoint,50.0,50.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,38,O2,Setpoint,38.0,38.0,0.37,Closed,38,0.4,Closed,38.0,5.6,N2,Setpoint,100,N2,Setpoint,100.0,95.6,Air,Air,211.0,Setpoint,12,Setpoint,12.0,11.8,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,Read Error
11/08/2024,15:37:17,0.0,40.5,43.1,No Reading,Off,Read Error,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,2.3164,451.7531,0.6479,N2,Setpoint,50,N2,Setpoint,50.0,50.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,38,O2,Setpoint,38.0,38.0,0.37,Closed,38,0.4,Closed,38.0,5.4,N2,Setpoint,100,N2,Setpoint,100.0,100.0,Air,Air,213.8,Setpoint,12,Setpoint,12.0,12.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,Read Error
11/08/2024,15:37:27,0.0,40.4,43.1,No Reading,Off,Read Error,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,2.3219,452.6542,0.647,N2,Setpoint,50,N2,Setpoint,50.0,49.8,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,38,O2,Setpoint,38.0,38.0,0.37,Closed,38,0.4,Closed,38.0,5.7,N2,Setpoint,100,N2,Setpoint,100.0,99.5,Air,Air,211.8,Setpoint,12,Setpoint,12.0,11.9,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,Read Error
11/08/2024,15:37:37,0.0,40.4,43.3,No Reading,Off,Read Error,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,2.3261,452.829,0.6475,N2,Setpoint,50,N2,Setpoint,50.0,49.9,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,38,O2,Setpoint,38.0,38.0,0.37,Closed,38,0.4,Closed,38.0,5.8,N2,Setpoint,100,N2,Setpoint,100.0,102.4,Air,Air,211.9,Setpoint,12,Setpoint,12.0,11.9,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,Read Error
11/08/2024,15:37:47,0.0,40.4,43.2,No Reading,Off,Read Error,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,2.3237,451.864,0.6475,N2,Setpoint,50,N2,Setpoint,50.0,43.3,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,38,O2,Setpoint,38.0,38.0,0.37,Closed,38,0.4,Closed,38.0,5.3,N2,Setpoint,100,N2,Setpoint,100.0,98.9,Air,Air,210.8,Setpoint,12,Setpoint,12.0,11.8,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,Read Error
11/08/2024,15:37:57,0.0,40.5,43.2,No Reading,Off,Read Error,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,2.3209,450.4956,0.6485,N2,Setpoint,50,N2,Setpoint,50.0,21.5,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,38,O2,Setpoint,38.0,38.0,0.37,Closed,38,0.4,Closed,38.0,5.6,N2,Setpoint,100,N2,Setpoint,100.0,102.4,Air,Air,201.9,Setpoint,12,Setpoint,12.0,11.9,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,Read Error
11/08/2024,15:38:07,0.0,40.7,43.3,No Reading,Off,Read Error,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,2.3185,449.1458,0.6485,N2,Setpoint,50,N2,Setpoint,50.0,15.8,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,38,O2,Setpoint,38.0,38.0,0.37,Closed,38,0.4,Closed,38.0,5.5,N2,Setpoint,100,N2,Setpoint,100.0,103.1,Air,Air,194.5,Setpoint,12,Setpoint,12.0,12.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,Read Error
11/08/2024,15:38:17,0.0,41.0,43.3,No Reading,Off,Read Error,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,2.3131,448.7687,0.6487,N2,Setpoint,50,N2,Setpoint,50.0,12.3,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,38,O2,Setpoint,38.0,38.0,0.37,Closed,38,0.4,Closed,38.0,5.5,N2,Setpoint,100,N2,Setpoint,100.0,97.8,Air,Air,185.4,Setpoint,12,Setpoint,12.0,11.8,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,Read Error
