Date, Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,HF N2 MFC: Scale Factor Entry,HF N2 MFC: Mode Selection,HF N2 MFC: Setpoint Entry,HF N2 MFC: Device Scale Factor,HF N2 MFC: Device Mode,HF N2 MFC: Device Setpoint,HF N2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Cl2 MFC: Zero Offset (sccm),Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%)
11/9/2024,18:28:33,No Reading,44.5,43.3,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,40,N2,Closed,50,0.1,N2,Closed,24,N2,Closed,24,0,O2,Setpoint,40,O2,Closed,40,0,0.37,Setpoint,300,0.4,Setpoint,300,298.9,N2,Setpoint,80,N2,Setpoint,80,80.8,Air,Air,336.5,Setpoint,10,Setpoint,10,10,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,0
11/9/2024,18:28:43,No Reading,44.6,43.2,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,40,N2,Closed,50,0,N2,Closed,24,N2,Closed,24,0,O2,Setpoint,40,O2,Closed,40,0,0.37,Setpoint,300,0.4,Setpoint,300,297.8,N2,Setpoint,80,N2,Setpoint,80,78.2,Air,Air,371.1,Setpoint,10,Setpoint,10,9.9,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,4.6
11/9/2024,18:28:53,No Reading,44.9,43.1,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,40,N2,Closed,50,0,N2,Closed,24,N2,Closed,24,0,O2,Setpoint,40,O2,Closed,40,0,0.37,Setpoint,300,0.4,Setpoint,300,297.8,N2,Setpoint,80,N2,Setpoint,80,82.6,Air,Air,390.7,Setpoint,10,Setpoint,10,9.9,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,10.9
11/9/2024,18:29:03,No Reading,45.1,43.2,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,40,N2,Closed,50,0,N2,Closed,24,N2,Closed,24,0,O2,Setpoint,40,O2,Closed,40,0,0.37,Closed,300,0.4,Setpoint,300,298,N2,Setpoint,80,N2,Setpoint,80,78.6,Air,Air,402.4,Setpoint,10,Setpoint,10,9.8,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,12.58
11/9/2024,18:29:13,No Reading,45.2,43.3,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,40,N2,Closed,50,0,N2,Closed,24,N2,Closed,24,0,O2,Setpoint,40,O2,Closed,40,0,0.37,Closed,300,0.4,Setpoint,300,297.8,N2,Setpoint,80,N2,Setpoint,80,78.8,Air,Air,410.6,Setpoint,10,Setpoint,10,9.9,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,13.32
11/9/2024,18:29:23,No Reading,45.2,43.1,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,40,N2,Closed,50,0,N2,Closed,24,N2,Closed,24,0,O2,Setpoint,40,O2,Closed,40,0,0.37,Closed,300,0.4,Setpoint,300,297.9,N2,Setpoint,80,N2,Setpoint,80,84,Air,Air,412.4,Setpoint,10,Setpoint,10,10,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,13.76
11/9/2024,18:29:33,No Reading,45.3,43.2,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,40,N2,Closed,50,0,N2,Closed,24,N2,Closed,24,0,O2,Setpoint,40,O2,Closed,40,0,0.37,Closed,300,0.4,Setpoint,300,298,N2,Setpoint,80,N2,Setpoint,80,76.3,Air,Air,418.5,Setpoint,10,Setpoint,10,9.9,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,14.01
11/9/2024,18:29:43,No Reading,45.3,43.1,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,40,N2,Closed,50,0,N2,Closed,24,N2,Closed,24,0,O2,Setpoint,40,O2,Closed,40,0,0.37,Closed,300,0.4,Setpoint,300,298.1,N2,Setpoint,80,N2,Setpoint,80,77.6,Air,Air,418.8,Setpoint,10,Setpoint,10,9.8,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,14.21
11/9/2024,18:29:53,No Reading,45.2,43.2,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,40,N2,Closed,50,0.1,N2,Closed,24,N2,Closed,24,0,O2,Setpoint,40,O2,Closed,40,0,0.37,Closed,300,0.4,Setpoint,300,297.8,N2,Setpoint,80,N2,Setpoint,80,77.8,Air,Air,418.5,Setpoint,10,Setpoint,10,10,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,14.35
11/9/2024,18:30:03,No Reading,45.2,43.3,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,40,N2,Closed,50,0,N2,Closed,24,N2,Closed,24,0,O2,Setpoint,40,O2,Closed,40,0,0.37,Closed,300,0.4,Setpoint,300,297.7,N2,Setpoint,80,N2,Setpoint,80,82.9,Air,Air,418.9,Setpoint,10,Setpoint,10,9.9,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,14.47
