Date, Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,HF N2 MFC: Scale Factor Entry,HF N2 MFC: Mode Selection,HF N2 MFC: Setpoint Entry,HF N2 MFC: Device Scale Factor,HF N2 MFC: Device Mode,HF N2 MFC: Device Setpoint,HF N2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Cl2 MFC: Zero Offset (sccm),Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%)
12/17/2024,17:26:19,0.03,42.6,43.0,No Reading,Off,Off,2.797,0.028,0.07,2.991,1.065,259.608,0.81,191.054,2.991,1.01,3.409,2.1019,9.596,1.3888,N2,Setpoint,40.0,N2,Setpoint,40.0,40.0,N2,Closed,40.0,N2,Closed,40.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,58.0,0.4,Closed,58.0,5.9,N2,Setpoint,120.0,N2,Setpoint,120.0,120.0,Air,Air,214.8,Closed,100.0,Closed,100.0,0.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,32.54
12/17/2024,17:26:29,0.03,42.6,43.1,No Reading,Off,Off,3.458,0.013,0.071,3.36,0.399,283.025,0.795,191.054,3.36,1.01,3.408,2.1009,9.772,1.4115,N2,Setpoint,40.0,N2,Setpoint,40.0,38.8,N2,Closed,40.0,N2,Closed,40.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,58.0,0.4,Closed,58.0,5.8,N2,Setpoint,120.0,N2,Setpoint,120.0,120.0,Air,Air,214.8,Closed,100.0,Closed,100.0,0.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,32.51
12/17/2024,17:26:39,0.03,42.6,43.1,No Reading,Off,Off,3.458,0.013,0.071,3.36,0.399,283.025,0.795,191.054,3.36,1.01,3.408,2.0991,9.7465,1.4314,N2,Setpoint,40.0,N2,Setpoint,40.0,41.0,N2,Closed,40.0,N2,Closed,40.0,0.1,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,58.0,0.4,Closed,58.0,5.6,N2,Setpoint,120.0,N2,Setpoint,120.0,120.0,Air,Air,215.0,Closed,100.0,Closed,100.0,0.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,32.48
12/17/2024,17:26:49,0.02,42.6,43.0,No Reading,Off,Off,2.998,0.029,-0.079,2.932,0.272,279.805,0.73,191.004,2.932,1.01,3.408,2.0963,9.756,1.4533,N2,Setpoint,40.0,N2,Setpoint,40.0,40.4,N2,Closed,40.0,N2,Closed,40.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,58.0,0.4,Closed,58.0,5.7,N2,Setpoint,120.0,N2,Setpoint,120.0,120.0,Air,Air,214.8,Closed,100.0,Closed,100.0,0.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,32.45
12/17/2024,17:26:59,0.02,42.5,42.9,No Reading,Off,Off,2.78,0.013,-0.09,2.075,-0.243,289.659,0.793,190.978,2.075,1.01,3.408,2.0949,9.4807,1.4748,N2,Setpoint,40.0,N2,Setpoint,40.0,40.9,N2,Closed,40.0,N2,Closed,40.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,58.0,0.4,Closed,58.0,5.7,N2,Setpoint,120.0,N2,Setpoint,120.0,120.0,Air,Air,214.8,Closed,100.0,Closed,100.0,0.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,32.43
12/17/2024,17:27:09,0.02,42.6,42.9,No Reading,Off,Off,3.101,0.027,-0.102,3.206,0.088,243.126,0.785,190.976,3.206,1.01,3.409,2.0938,10.2826,1.4967,N2,Setpoint,40.0,N2,Setpoint,40.0,38.2,N2,Closed,40.0,N2,Closed,40.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,58.0,0.4,Closed,58.0,5.8,N2,Setpoint,120.0,N2,Setpoint,120.0,120.0,Air,Air,214.7,Closed,100.0,Closed,100.0,0.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,32.43
12/17/2024,17:27:19,0.03,42.6,43.1,No Reading,Off,Off,3.101,0.027,-0.102,3.206,0.088,243.126,0.785,190.976,3.206,1.01,3.409,2.0921,9.9815,1.5126,N2,Setpoint,40.0,N2,Setpoint,40.0,39.2,N2,Closed,40.0,N2,Closed,40.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,39.9,0.37,Closed,58.0,0.4,Closed,58.0,5.6,N2,Setpoint,120.0,N2,Setpoint,120.0,119.9,Air,Air,214.7,Closed,100.0,Closed,100.0,0.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,32.42
12/17/2024,17:27:29,0.03,42.6,43.0,No Reading,Off,Off,2.822,0.026,-0.039,2.717,0.822,285.063,0.76,190.938,2.717,1.01,3.41,2.0896,9.6241,1.5351,N2,Setpoint,40.0,N2,Setpoint,40.0,40.5,N2,Closed,40.0,N2,Closed,40.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,58.0,0.4,Closed,58.0,5.7,N2,Setpoint,120.0,N2,Setpoint,120.0,120.0,Air,Air,214.7,Closed,100.0,Closed,100.0,0.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,32.41
12/17/2024,17:27:39,0.02,42.6,43.0,No Reading,Off,Off,2.888,0.007,-0.014,3.002,0.856,277.039,0.739,190.902,3.002,1.01,3.41,2.089,9.9665,1.5519,N2,Setpoint,40.0,N2,Setpoint,40.0,42.8,N2,Closed,40.0,N2,Closed,40.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,58.0,0.4,Closed,58.0,5.5,N2,Setpoint,120.0,N2,Setpoint,120.0,120.0,Air,Air,214.8,Closed,100.0,Closed,100.0,0.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,32.39
12/17/2024,17:27:50,0.02,42.5,43.0,No Reading,Off,Off,2.792,0.011,0.015,3.031,-0.183,266.563,0.825,190.902,3.031,1.01,3.411,2.087,9.2509,1.5687,N2,Setpoint,40.0,N2,Setpoint,40.0,38.8,N2,Closed,40.0,N2,Closed,40.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,39.9,0.37,Closed,58.0,0.4,Closed,58.0,5.8,N2,Setpoint,120.0,N2,Setpoint,120.0,119.9,Air,Air,214.9,Closed,100.0,Closed,100.0,0.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,32.39
12/17/2024,17:28:00,0.02,42.6,43.0,No Reading,Off,Off,2.787,0.017,-0.024,3.267,0.293,252.066,0.782,190.902,3.267,1.01,3.412,2.0851,9.4985,1.5857,N2,Setpoint,40.0,N2,Setpoint,40.0,39.0,N2,Closed,40.0,N2,Closed,40.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,58.0,0.4,Closed,58.0,5.7,N2,Setpoint,120.0,N2,Setpoint,120.0,120.0,Air,Air,214.8,Closed,100.0,Closed,100.0,0.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,32.39
12/17/2024,17:28:10,0.02,42.5,42.9,No Reading,Off,Off,2.787,0.017,-0.024,3.267,0.293,252.066,0.782,190.902,3.267,1.01,3.412,2.0842,9.2062,1.6009,N2,Setpoint,40.0,N2,Setpoint,40.0,40.9,N2,Closed,40.0,N2,Closed,40.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,58.0,0.4,Closed,58.0,5.5,N2,Setpoint,120.0,N2,Setpoint,120.0,120.1,Air,Air,214.7,Closed,100.0,Closed,100.0,0.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,32.41
12/17/2024,17:28:20,0.02,42.6,43.0,No Reading,Off,Off,3.086,0.02,0.02,2.637,-0.482,253.075,0.743,190.902,2.637,1.01,3.413,2.0838,9.5685,1.6127,N2,Setpoint,40.0,N2,Setpoint,40.0,39.1,N2,Closed,40.0,N2,Closed,40.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,39.9,0.37,Closed,58.0,0.4,Closed,58.0,5.6,N2,Setpoint,120.0,N2,Setpoint,120.0,120.0,Air,Air,214.7,Closed,100.0,Closed,100.0,0.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,32.39
12/17/2024,17:28:30,0.02,42.6,43.0,No Reading,Off,Off,3.575,0.01,-0.015,3.723,-0.113,275.455,0.758,190.902,3.723,1.01,3.414,2.0814,9.584,1.6297,N2,Setpoint,40.0,N2,Setpoint,40.0,38.6,N2,Closed,40.0,N2,Closed,40.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,39.9,0.37,Closed,58.0,0.4,Closed,58.0,5.8,N2,Setpoint,120.0,N2,Setpoint,120.0,120.0,Air,Air,214.6,Closed,100.0,Closed,100.0,0.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,32.37
12/17/2024,17:28:40,0.03,42.6,43.1,No Reading,Off,Off,2.827,0.024,-0.013,2.598,0.84,281.65,0.798,190.902,2.598,1.01,3.415,2.0804,9.7829,1.6413,N2,Setpoint,40.0,N2,Setpoint,40.0,40.8,N2,Closed,40.0,N2,Closed,40.0,0.1,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,58.0,0.4,Closed,58.0,5.5,N2,Setpoint,120.0,N2,Setpoint,120.0,120.0,Air,Air,214.8,Closed,100.0,Closed,100.0,0.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,32.37
12/17/2024,17:28:50,0.03,42.5,43.1,No Reading,Off,Off,2.827,0.024,-0.013,2.598,0.84,281.65,0.798,190.902,2.598,1.01,3.415,2.0795,9.3751,1.6535,N2,Setpoint,40.0,N2,Setpoint,40.0,38.2,N2,Closed,40.0,N2,Closed,40.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,58.0,0.4,Closed,58.0,6.0,N2,Setpoint,110,N2,Setpoint,110.0,110.0,Air,Air,213.4,Closed,10,Closed,10.0,0.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,32.35
12/17/2024,17:29:00,0.03,42.5,43.0,No Reading,Off,Off,2.862,0.024,0.03,3.257,-0.049,251.54,0.781,190.902,3.257,1.01,3.417,2.0777,9.4954,1.668,N2,Setpoint,40.0,N2,Setpoint,40.0,38.1,N2,Closed,40.0,N2,Closed,40.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,58.0,0.4,Closed,58.0,5.9,N2,Setpoint,110,N2,Setpoint,110.0,110.0,Air,Air,210.2,Setpoint,10,Setpoint,10.0,0.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,32.84
12/17/2024,17:29:10,0.02,42.6,43.0,No Reading,Off,Off,3.151,0.02,-0.057,3.155,-0.652,271.879,0.777,190.902,3.155,1.01,3.418,2.0775,8.9486,1.6774,N2,Setpoint,40.0,N2,Setpoint,40.0,41.1,N2,Closed,40.0,N2,Closed,40.0,0.1,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,58.0,0.4,Closed,58.0,6.1,N2,Setpoint,110,N2,Setpoint,110.0,110.0,Air,Air,208.2,Setpoint,10,Setpoint,10.0,0.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,33.40
12/17/2024,17:29:20,0.02,42.5,42.9,No Reading,Off,Off,3.122,0.011,0.012,3.26,0.319,288.855,0.787,190.902,3.26,1.01,3.419,2.0756,9.5343,1.687,N2,Setpoint,40.0,N2,Setpoint,40.0,40.1,N2,Closed,40.0,N2,Closed,40.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,39.9,0.37,Closed,58.0,0.4,Closed,58.0,5.7,N2,Setpoint,110,N2,Setpoint,110.0,110.0,Air,Air,210.2,Setpoint,10,Setpoint,10.0,9.8,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,33.69
12/17/2024,17:29:30,0.02,42.6,42.9,No Reading,Off,Off,3.122,0.011,0.012,3.26,0.319,288.855,0.787,190.902,3.26,1.01,3.419,2.0747,9.1,1.6955,N2,Setpoint,40.0,N2,Setpoint,40.0,41.5,N2,Closed,40.0,N2,Closed,40.0,0.1,O2,Setpoint,40.0,O2,Setpoint,40.0,40.1,0.37,Closed,58.0,0.4,Closed,58.0,5.8,N2,Setpoint,110,N2,Setpoint,110.0,110.0,Air,Air,213.3,Setpoint,10,Setpoint,10.0,29.2,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,33.79
12/17/2024,17:29:40,0.03,42.5,43.0,No Reading,Off,Off,2.976,0.03,-0.025,-0.287,0.555,251.059,0.712,190.902,-0.287,1.01,3.42,2.0751,9.1986,1.7089,N2,Setpoint,40.0,N2,Setpoint,40.0,40.8,N2,Closed,40.0,N2,Closed,40.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,58.0,0.4,Closed,58.0,5.8,N2,Setpoint,110,N2,Setpoint,110.0,110.0,Air,Air,213.1,Setpoint,10,Setpoint,10.0,9.6,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,33.80
12/17/2024,17:29:50,0.02,42.6,42.9,No Reading,Off,Off,2.877,0.035,0.012,2.229,1.069,271.314,0.731,190.902,2.229,1.01,3.421,2.0736,9.3788,1.7182,N2,Setpoint,40.0,N2,Setpoint,40.0,40.4,N2,Closed,40.0,N2,Closed,40.0,0.1,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,58.0,0.4,Closed,58.0,5.9,N2,Setpoint,110,N2,Setpoint,110.0,110.0,Air,Air,213.5,Setpoint,10,Setpoint,10.0,9.8,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,33.85
