Date, Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,HF N2 MFC: Scale Factor Entry,HF N2 MFC: Mode Selection,HF N2 MFC: Setpoint Entry,HF N2 MFC: Device Scale Factor,HF N2 MFC: Device Mode,HF N2 MFC: Device Setpoint,HF N2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Cl2 MFC: Zero Offset (sccm),Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%)
12/16/2024,13:18:33,0.44,41.1,43.1,No Reading,Off,Off,-0.878,0.018,-0.056,3.256,3.93,522.519,0.661,191.048,3.256,1.003,3.517,0.1066,13.8571,1.3373,N2,Setpoint,40,N2,Setpoint,40.0,41.3,N2,Closed,30.0,N2,Closed,30.0,0.1,O2,Setpoint,40.0,O2,Setpoint,40.0,40.1,0.37,Closed,80.0,0.4,Closed,80.0,5.8,N2,Setpoint,120,N2,Setpoint,120.0,120.0,Air,Air,208.7,Closed,200.0,Closed,200.0,0.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,30.53
12/16/2024,13:18:43,0.44,41.0,43.0,No Reading,Off,Off,-1.203,0.021,-0.003,4.6,3.951,526.293,0.676,191.048,4.6,1.003,3.517,0.1049,12.1835,1.3543,N2,Setpoint,40,N2,Setpoint,40.0,40.1,N2,Closed,30.0,N2,Closed,30.0,0.2,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,80.0,0.4,Closed,80.0,5.8,N2,Setpoint,120,N2,Setpoint,120.0,120.0,Air,Air,209.7,Closed,200.0,Closed,200.0,0.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,30.62
12/16/2024,13:18:53,0.44,41.1,43.0,No Reading,Off,Off,-1.203,0.021,-0.003,4.6,3.951,526.293,0.676,191.048,4.6,1.003,3.517,0.11,11.9087,1.3695,N2,Setpoint,40,N2,Setpoint,40.0,38.0,N2,Closed,30.0,N2,Closed,30.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,39.9,0.37,Closed,80.0,0.4,Closed,80.0,6.2,N2,Setpoint,120,N2,Setpoint,120.0,120.0,Air,Air,210.4,Closed,200.0,Closed,200.0,0.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,30.68
12/16/2024,13:19:03,0.44,41.1,43.1,No Reading,Off,Off,-1.69,0.023,-0.039,6.786,4.231,500.42,0.68,191.048,6.786,1.003,3.516,0.1119,10.8899,1.3856,N2,Setpoint,40,N2,Setpoint,40.0,41.2,N2,Closed,30.0,N2,Closed,30.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,80.0,0.4,Closed,80.0,5.6,N2,Setpoint,120,N2,Setpoint,120.0,120.0,Air,Air,210.9,Closed,200.0,Closed,200.0,0.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,30.75
12/16/2024,13:19:13,0.44,41.1,43.0,No Reading,Off,Off,-1.461,0.024,-0.022,1.981,3.807,538.438,0.682,191.047,1.981,1.003,3.515,0.1101,10.5865,1.4063,N2,Setpoint,40,N2,Setpoint,40.0,39.9,N2,Closed,30.0,N2,Closed,30.0,0.1,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,80.0,0.4,Closed,80.0,5.7,N2,Setpoint,120,N2,Setpoint,120.0,120.0,Air,Air,211.7,Closed,200.0,Closed,200.0,0.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,30.82
12/16/2024,13:19:23,0.44,41.1,43.0,No Reading,Off,Off,-1.648,0.012,-0.007,3.365,4.296,498.505,0.706,190.969,3.365,1.003,3.515,0.1274,9.6763,1.4181,N2,Setpoint,40,N2,Setpoint,40.0,38.8,N2,Closed,30.0,N2,Closed,30.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,39.9,0.37,Closed,80.0,0.4,Closed,80.0,5.7,N2,Setpoint,120,N2,Setpoint,120.0,120.0,Air,Air,211.8,Closed,200.0,Closed,200.0,0.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,30.89
12/16/2024,13:19:33,0.44,41.0,43.1,No Reading,Off,Off,-1.358,0.011,0.091,3.286,4.221,500.764,0.707,190.953,3.286,1.003,3.515,0.1755,9.6328,1.4297,N2,Setpoint,40,N2,Setpoint,40.0,40.1,N2,Closed,30.0,N2,Closed,30.0,0.1,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,80.0,0.4,Closed,80.0,5.7,N2,Setpoint,120,N2,Setpoint,120.0,120.0,Air,Air,212.0,Closed,200.0,Closed,200.0,0.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,30.93
12/16/2024,13:19:43,0.44,41.0,43.0,No Reading,Off,Off,-1.358,0.011,0.091,3.286,4.221,500.764,0.707,190.953,3.286,1.003,3.515,0.2608,9.5122,1.4416,N2,Setpoint,40,N2,Setpoint,40.0,41.7,N2,Closed,30.0,N2,Closed,30.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.1,0.37,Closed,80.0,0.4,Closed,80.0,5.9,N2,Setpoint,120,N2,Setpoint,120.0,120.0,Air,Air,212.1,Closed,200.0,Closed,200.0,0.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,30.95
12/16/2024,13:19:53,0.44,41.0,43.1,No Reading,Off,Off,-1.569,0.013,0.03,4.252,5.128,489.333,0.696,190.953,4.252,1.003,3.514,0.3057,8.6545,1.4489,N2,Setpoint,40,N2,Setpoint,40.0,39.0,N2,Closed,30.0,N2,Closed,30.0,0.1,O2,Setpoint,40.0,O2,Setpoint,40.0,39.9,0.37,Closed,80.0,0.4,Closed,80.0,5.7,N2,Setpoint,120,N2,Setpoint,120.0,120.0,Air,Air,212.1,Closed,200.0,Closed,200.0,0.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,30.98
12/16/2024,13:20:03,0.44,41.1,43.1,No Reading,Off,Off,-1.471,0.017,0.018,3.477,3.764,493.776,0.715,190.953,3.477,1.003,3.514,0.3332,9.0814,1.4572,N2,Setpoint,40,N2,Setpoint,40.0,41.1,N2,Closed,30.0,N2,Closed,30.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,80.0,0.4,Closed,80.0,5.8,N2,Setpoint,120,N2,Setpoint,120.0,120.0,Air,Air,212.1,Closed,200.0,Closed,200.0,0.0,0,Picarro,Picarro,10 ppm,10 ppm,Bubbler,Bubbler,31.01
