Date, Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,HF N2 MFC: Scale Factor Entry,HF N2 MFC: Mode Selection,HF N2 MFC: Setpoint Entry,HF N2 MFC: Device Scale Factor,HF N2 MFC: Device Mode,HF N2 MFC: Device Setpoint,HF N2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Cl2 MFC: Zero Offset (sccm),Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%)
12/19/2024,13:10:59,0.0,43.3,42.9,No Reading,Off,Off,-0.297,0.009,-0.03,1.955,3.239,183.404,0.6,190.978,1.955,1.005,3.44,No Reading,No Reading,No Reading,Ar,Closed,0.0,Ar,Closed,0.0,0.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,80.0,0.4,Setpoint,80.0,78.0,N2,Setpoint,80.0,N2,Setpoint,80.0,79.3,Air,Air,213.3,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,33.25
12/19/2024,13:11:09,0.0,43.3,43.0,No Reading,Off,Off,-0.011,0.01,-0.055,1.293,2.473,193.848,0.54,190.978,1.293,1.005,3.44,No Reading,No Reading,No Reading,Ar,Closed,0.0,Ar,Closed,0.0,0.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,80.0,0.4,Setpoint,80.0,78.1,N2,Setpoint,80.0,N2,Setpoint,80.0,81.0,Air,Air,213.3,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,33.24
12/19/2024,13:11:19,0.0,43.3,42.9,No Reading,Off,Off,-0.125,0.008,-0.028,2.358,3.808,175.287,0.648,190.978,2.358,1.005,3.44,No Reading,No Reading,No Reading,Ar,Closed,0.0,Ar,Closed,0.0,0.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,80.0,0.4,Setpoint,80.0,78.4,N2,Setpoint,80.0,N2,Setpoint,80.0,81.6,Air,Air,213.3,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,33.24
12/19/2024,13:11:29,0.0,43.3,43.0,No Reading,Off,Off,-0.466,0.005,-0.051,1.205,4.264,150.723,0.724,190.978,1.205,1.005,3.44,No Reading,No Reading,No Reading,Ar,Closed,0.0,Ar,Closed,0.0,0.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,80.0,0.4,Setpoint,80.0,78.1,N2,Setpoint,80.0,N2,Setpoint,80.0,76.6,Air,Air,213.3,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,33.25
12/19/2024,13:11:39,0.0,43.3,43.0,No Reading,Off,Off,-0.058,0.013,-0.021,1.268,2.885,203.73,0.535,190.978,1.268,1.005,3.44,No Reading,No Reading,No Reading,Ar,Closed,0.0,Ar,Closed,0.0,0.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,80.0,0.4,Setpoint,80.0,77.9,N2,Setpoint,80.0,N2,Setpoint,80.0,82.3,Air,Air,213.4,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,33.25
12/19/2024,13:11:49,0.0,43.3,43.0,No Reading,Off,Off,-0.058,0.013,-0.021,1.268,2.885,203.73,0.535,190.978,1.268,1.005,3.44,No Reading,No Reading,No Reading,Ar,Closed,0.0,Ar,Closed,0.0,0.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,80.0,0.4,Setpoint,80.0,78.2,N2,Setpoint,80.0,N2,Setpoint,80.0,84.2,Air,Air,213.3,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,33.27
12/19/2024,13:11:59,0.0,43.3,42.9,No Reading,Off,Off,-0.23,0.019,0.065,1.093,2.845,146.358,0.528,190.978,1.093,1.005,3.44,No Reading,No Reading,No Reading,Ar,Closed,0.0,Ar,Closed,0.0,0.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,80.0,0.4,Setpoint,80.0,78.2,N2,Setpoint,80.0,N2,Setpoint,80.0,75.9,Air,Air,213.4,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,33.24
12/19/2024,13:12:09,0.0,43.3,42.9,No Reading,Off,Off,-0.865,0.011,-0.058,1.8,2.678,189.013,0.572,190.978,1.8,1.005,3.44,No Reading,No Reading,No Reading,Ar,Closed,0.0,Ar,Closed,0.0,0.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,80.0,0.4,Setpoint,80.0,78.2,N2,Setpoint,80.0,N2,Setpoint,80.0,80.5,Air,Air,213.3,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,33.24
12/19/2024,13:12:19,0.0,43.2,42.9,No Reading,Off,Off,-0.935,0.03,-0.027,0.014,3.242,181.888,0.563,190.978,0.014,1.005,3.44,No Reading,No Reading,No Reading,Ar,Closed,0.0,Ar,Closed,0.0,0.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,80.0,0.4,Setpoint,80.0,78.2,N2,Setpoint,80.0,N2,Setpoint,80.0,81.2,Air,Air,213.7,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,33.24
12/19/2024,13:12:29,0.0,43.2,43.0,No Reading,Off,Off,-0.935,0.03,-0.027,0.014,3.242,181.888,0.563,190.978,0.014,1.005,3.44,No Reading,No Reading,No Reading,Ar,Closed,0.0,Ar,Closed,0.0,0.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,80.0,0.4,Setpoint,80.0,78.1,N2,Setpoint,80.0,N2,Setpoint,80.0,80.3,Air,Air,213.3,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,33.24
