,Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,HF N2 MFC: Scale Factor Entry,HF N2 MFC: Mode Selection,HF N2 MFC: Setpoint Entry,HF N2 MFC: Device Scale Factor,HF N2 MFC: Device Mode,HF N2 MFC: Device Setpoint,HF N2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%),Minutes,Hours,Cl2 LabJack: Cl2 reading minus zero (mV),Selected: CH4 (ppm),bypass_start,closest_start_time,experiment_name
2340,2024-09-16 23:48:33,No Reading,60.0,43.0,No Reading,On,1,4.490500512120976,7.705109851820095,2.011,12.681328853768804,0.688,0.16996205729207264,0.03,9.825,-0.26,-0.038,-1.919,5.8947,6.5461,1.8544,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,128.0,0.3,Setpoint,128.0,126.2,N2,Setpoint,20.0,N2,Setpoint,20.0,18.0,Air,Air,213.6,Setpoint,6.0,Setpoint,6.0,6.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,6.0,40.36666666666662,0.6727777777777769,17.0,4.490500512120976,40.349999999999966,16.35,09-16-24 Humidity Sweep (10-60%)
2341,2024-09-16 23:48:43,No Reading,60.0,42.0,No Reading,On,1,4.495585291141211,7.678656298925736,2.001,12.698115524676941,0.859,0.16404784617779855,-0.065,9.297,-0.202,-0.008,-1.852,5.9003,6.5071,1.8531,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,128.0,0.3,Setpoint,128.0,126.0,N2,Setpoint,20.0,N2,Setpoint,20.0,19.0,Air,Air,213.6,Setpoint,6.0,Setpoint,6.0,6.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,5.99,40.5333333333333,0.675555555555555,17.0,4.495585291141211,40.349999999999966,16.35,09-16-24 Humidity Sweep (10-60%)
2342,2024-09-16 23:48:53,No Reading,60.0,42.0,No Reading,On,1,4.506782172844323,7.703784334920015,1.998,12.713123655013655,0.802,0.16498594272337103,-0.021,10.351,-0.105,-0.029,-1.303,5.9074,6.9551,1.8513,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,128.0,0.3,Setpoint,128.0,126.2,N2,Setpoint,20.0,N2,Setpoint,20.0,17.2,Air,Air,213.5,Setpoint,6.0,Setpoint,6.0,6.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,5.98,40.69999999999999,0.6783333333333331,17.0,4.506782172844323,40.349999999999966,16.35,09-16-24 Humidity Sweep (10-60%)
2343,2024-09-16 23:49:03,No Reading,60.0,42.0,No Reading,On,1,4.513069803172875,7.827956623998755,1.998,12.708737943074889,0.818,0.17761033175208024,-0.123,9.458,-0.203,-0.029,-1.912,5.9076,6.2765,1.8544,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,128.0,0.3,Setpoint,128.0,126.3,N2,Setpoint,20.0,N2,Setpoint,20.0,17.5,Air,Air,213.6,Setpoint,6.0,Setpoint,6.0,6.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,5.99,40.86666666666662,0.6811111111111103,17.0,4.513069803172875,40.349999999999966,16.35,09-16-24 Humidity Sweep (10-60%)
2344,2024-09-16 23:49:13,No Reading,60.0,42.0,No Reading,On,1,4.486862477564352,7.74051592098919,1.998,12.696575255463099,0.818,0.1850502570961972,-0.123,9.458,-0.203,-0.029,-1.912,5.9077,6.8921,1.8547,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,128.0,0.3,Setpoint,128.0,126.2,N2,Setpoint,20.0,N2,Setpoint,20.0,17.7,Air,Air,213.6,Setpoint,6.0,Setpoint,6.0,5.9,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,5.99,41.0333333333333,0.6838888888888884,17.0,4.486862477564352,40.349999999999966,16.35,09-16-24 Humidity Sweep (10-60%)
2345,2024-09-16 23:49:23,No Reading,60.0,42.0,No Reading,On,1,4.438356444331747,7.697503964578295,1.992,12.688460914410548,0.781,0.19594500335491927,0.042,9.655,-0.202,-0.018,-1.132,5.9085,6.4559,1.8534,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,128.0,0.3,Setpoint,128.0,126.0,N2,Setpoint,20.0,N2,Setpoint,20.0,19.0,Air,Air,213.6,Setpoint,6.0,Setpoint,6.0,5.9,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,5.99,41.19999999999999,0.6866666666666664,17.0,4.438356444331747,40.349999999999966,16.35,09-16-24 Humidity Sweep (10-60%)
2346,2024-09-16 23:49:33,No Reading,60.0,42.0,No Reading,On,1,4.428508039947356,7.661175392970504,1.994,12.679721320585275,0.816,0.2011704652783154,-0.04,9.292,-0.206,-0.028,-1.366,5.911,7.0663,1.8553,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,128.0,0.3,Setpoint,128.0,126.0,N2,Setpoint,20.0,N2,Setpoint,20.0,18.1,Air,Air,213.6,Setpoint,6.0,Setpoint,6.0,6.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,5.98,41.36666666666662,0.6894444444444436,17.0,4.428508039947356,40.349999999999966,16.35,09-16-24 Humidity Sweep (10-60%)
2347,2024-09-16 23:49:43,No Reading,60.0,42.0,No Reading,On,1,4.452491015713388,7.636639937146449,2.001,12.662545109365178,0.817,0.1994771741043369,-0.193,9.385,-0.306,-0.05,-1.727,5.9092,6.6906,1.8566,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,128.0,0.3,Setpoint,128.0,126.3,N2,Setpoint,20.0,N2,Setpoint,20.0,24.7,Air,Air,213.5,Setpoint,6.0,Setpoint,6.0,5.9,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,5.97,41.5333333333333,0.6922222222222217,17.0,4.452491015713388,40.349999999999966,16.35,09-16-24 Humidity Sweep (10-60%)
2348,2024-09-16 23:49:53,No Reading,60.0,43.0,No Reading,On,1,4.421939475801382,7.687596096794469,2.001,12.618856391577623,0.817,0.19806611187932122,-0.193,9.385,-0.306,-0.05,-1.727,5.9103,7.4534,1.8599,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,128.0,0.3,Setpoint,128.0,126.3,N2,Setpoint,20.0,N2,Setpoint,20.0,17.1,Air,Air,213.5,Setpoint,6.0,Setpoint,6.0,6.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,5.96,41.69999999999999,0.6949999999999998,17.0,4.421939475801382,40.349999999999966,16.35,09-16-24 Humidity Sweep (10-60%)
2349,2024-09-16 23:50:03,No Reading,60.0,42.0,No Reading,On,1,4.378079273548186,7.565654192122062,1.988,12.635089276194924,0.8,0.2052764739218434,-0.058,9.081,-0.22,-0.038,-1.45,5.9083,7.583,1.8613,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,128.0,0.3,Setpoint,128.0,126.4,N2,Setpoint,20.0,N2,Setpoint,20.0,18.1,Air,Air,213.6,Setpoint,6.0,Setpoint,6.0,6.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,5.97,41.86666666666662,0.6977777777777769,17.0,4.378079273548186,40.349999999999966,16.35,09-16-24 Humidity Sweep (10-60%)
