,Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,HF N2 MFC: Scale Factor Entry,HF N2 MFC: Mode Selection,HF N2 MFC: Setpoint Entry,HF N2 MFC: Device Scale Factor,HF N2 MFC: Device Mode,HF N2 MFC: Device Setpoint,HF N2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Cl2 MFC: Zero Offset (sccm),Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%),Minutes,Hours,Cl2 LabJack: Cl2 Node A (ppm),Selected: CH4 (ppm),bypass_start,closest_start_time,experiment_name
385,2024-09-27 18:36:21,3.06,56.5,42.6,No Reading,On,1,11.159386216191066,12.409935311104217,-0.037,12.53915731296526,2.893,0.06700615120967746,0.522,191.029,12.326,0.991,3.604,11.508,8.2532,2.0461,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,128.0,0.4,Setpoint,128.0,125.9,N2,Setpoint,20.0,N2,Setpoint,20.0,19.7,Air,Air,203.2,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,5.72,49.2,0.8200000000000001,9.873417721518987,11.159386216191066,49.2,25.35,09-27-24 Humidity Sweep (10-60%)
386,2024-09-27 18:36:31,3.06,56.5,42.6,No Reading,On,1,11.097629082196029,12.219601874379652,-0.037,12.498851791873449,2.893,0.07177429637096777,0.522,191.029,12.326,0.991,3.604,11.5121,9.0715,2.045,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,128.0,0.4,Setpoint,128.0,126.0,N2,Setpoint,20.0,N2,Setpoint,20.0,17.2,Air,Air,203.1,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,5.73,49.366666666666674,0.8227777777777779,9.873417721518987,11.097629082196029,49.2,25.35,09-27-24 Humidity Sweep (10-60%)
387,2024-09-27 18:36:41,3.06,56.5,42.6,No Reading,On,1,11.160747387761498,12.149480214448014,-0.037,12.479013349447621,3.363,0.05625035931990913,0.524,191.029,11.347,0.991,3.613,11.5127,8.8237,2.0424,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,128.0,0.4,Setpoint,128.0,126.2,N2,Setpoint,20.0,N2,Setpoint,20.0,21.6,Air,Air,203.0,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,5.72,49.53333333333333,0.8255555555555555,9.873417721518987,11.160747387761498,49.2,25.35,09-27-24 Humidity Sweep (10-60%)
388,2024-09-27 18:36:51,3.06,56.5,42.6,No Reading,On,1,11.170527018193127,12.168285842948219,-0.059,12.473482369693672,3.286,0.05990847286580625,0.466,191.029,11.902,0.991,3.625,11.5171,8.7912,2.0413,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,128.0,0.4,Setpoint,128.0,126.0,N2,Setpoint,20.0,N2,Setpoint,20.0,19.3,Air,Air,202.9,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,5.73,49.7,0.8283333333333334,9.873417721518987,11.170527018193127,49.2,25.35,09-27-24 Humidity Sweep (10-60%)
389,2024-09-27 18:37:01,3.06,56.5,42.6,No Reading,On,1,11.164092998437622,12.2164397011171,-0.12,12.49570673236466,4.125,0.08528009882040466,0.802,191.029,11.798,0.991,3.639,11.5136,8.4864,2.0426,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,128.0,0.4,Setpoint,128.0,126.2,N2,Setpoint,20.0,N2,Setpoint,20.0,19.1,Air,Air,202.8,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,5.73,49.866666666666674,0.8311111111111112,9.873417721518987,11.164092998437622,49.2,25.35,09-27-24 Humidity Sweep (10-60%)
390,2024-09-27 18:37:11,3.06,56.5,42.6,No Reading,On,1,11.183589768152071,12.238372983795575,-0.12,12.558848423184793,4.125,0.129337546587722,0.802,191.029,11.798,0.991,3.639,11.5085,8.8578,2.0427,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,128.0,0.4,Setpoint,128.0,126.1,N2,Setpoint,20.0,N2,Setpoint,20.0,16.9,Air,Air,202.7,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,5.72,50.03333333333333,0.8338888888888889,9.873417721518987,11.183589768152071,49.2,25.35,09-27-24 Humidity Sweep (10-60%)
391,2024-09-27 18:37:22,3.06,56.5,42.6,No Reading,On,1,11.13460480398878,12.231504411031473,-0.115,12.679521919601122,4.182,0.18174094328451235,0.787,191.029,13.145,0.991,3.653,11.4978,8.7872,2.0382,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,128.0,0.4,Setpoint,128.0,126.2,N2,Setpoint,20.0,N2,Setpoint,20.0,23.2,Air,Air,202.6,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,5.72,50.21666666666667,0.8369444444444445,9.873417721518987,11.13460480398878,49.2,25.35,09-27-24 Humidity Sweep (10-60%)
392,2024-09-27 18:37:32,3.06,56.5,42.7,No Reading,On,1,11.076931780617015,12.266247549703957,-0.096,12.662699616079776,3.691,0.1944996170146463,0.861,191.029,12.227,0.991,3.667,11.5009,9.1194,2.0378,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,128.0,0.4,Setpoint,128.0,126.0,N2,Setpoint,20.0,N2,Setpoint,20.0,20.0,Air,Air,202.6,Setpoint,6.0,Setpoint,6.0,6.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,5.72,50.38333333333334,0.8397222222222224,9.873417721518987,11.076931780617015,49.2,25.35,09-27-24 Humidity Sweep (10-60%)
393,2024-09-27 18:37:42,3.06,56.4,42.6,No Reading,On,1,11.059844120399251,12.22925757673113,-0.059,12.70342382470368,3.59,0.21743420305676858,0.893,191.029,11.366,0.991,3.681,11.4858,10.2162,2.0404,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,128.0,0.4,Setpoint,128.0,126.2,N2,Setpoint,20.0,N2,Setpoint,20.0,17.8,Air,Air,202.4,Setpoint,6.0,Setpoint,6.0,6.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,5.72,50.55,0.8424999999999999,9.797468354430379,11.059844120399251,49.2,25.35,09-27-24 Humidity Sweep (10-60%)
394,2024-09-27 18:37:52,3.06,56.4,42.6,No Reading,On,1,11.061171537480561,12.159550069984448,-0.037,12.777672424572318,4.078,0.2520941138413686,0.89,191.029,12.681,0.991,3.694,11.4869,10.2957,2.037,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Setpoint,128.0,0.4,Setpoint,128.0,125.9,N2,Setpoint,20.0,N2,Setpoint,20.0,27.2,Air,Air,202.2,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,5.71,50.71666666666667,0.8452777777777778,9.797468354430379,11.061171537480561,49.2,25.35,09-27-24 Humidity Sweep (10-60%)
