,Unnamed: 0,experiment_name,start_time,flow_rate,reaction_volume,tags,Selected: CH4 (ppm) baseline,Selected: CH4 (ppm) conversion,Selected: CH4 (ppm) conversion variance due to noise,Cl2 LabJack: Cl2 reading minus zero (mV) baseline,Cl2 LabJack: Cl2 reading minus zero (mV) conversion,Cl2 LabJack: Cl2 reading minus zero (mV) conversion variance due to noise
0,0,01-16-25 Base Case,37.37,200,600,UV_distance_conv=50,31.845373555529942,17.406014316558526,0.0001890591266028,100.59032258064512,69.85161290322577,0.0025858480749221
1,1,01-16-25 Base Case,127.92,200,600,UV_distance_conv=50,31.12985302644816,16.88223793397521,0.0024738734824791,102.11290322580642,70.5838709677419,0.0033704474505726
2,2,01-30-25 Radical Count 1-2ppm P2,137.0,200,600,UV_distance_conv=50,,,,13.041935483870972,11.135483870967748,0.0041581685744017
3,3,01-30-25 Radical Count 1-2ppm P2,222.73,200,600,UV_distance_conv=50,,,,5.732258064516128,4.9645161290322575,0.0041571279916751
4,4,01-31-25 Realistic AMR,361.08,200,600,UV_distance_conv=50,2.002474193548387,0.6432064516129032,1.638459334328703e-07,13.458064516129031,9.403225806451612,0.0022823447797433
5,5,02-10-25 Realistic Barn,192.3,200,600,UV_distance_conv=50,50.78667384967274,25.069512548793515,0.0002762848694967,180.58709677419355,134.76129032258063,0.010937680656723
6,6,02-11-25 Realistic WWTP,105.07,200,600,UV_distance_conv=50,285.2446578615147,86.87112955514539,0.0058507878919844,248.0741935483871,144.81612903225806,0.0072914787836746
7,7,02-11-25 300ppm Radical Count,63.0,200,600,UV_distance_conv=50,,,,250.12307692307687,193.25384615384613,0.0181121442659902
8,8,02-07-25 H2S Sweep,20.52,200,600,UV_distance_conv=50,30.1571153356146,15.605261162737849,0.0018465145652869,140.48387096774192,101.86774193548386,0.0157289860099433
9,9,02-07-25 H2S Sweep,97.07,200,600,UV_distance_conv=50,30.00525670219732,14.767525893641848,0.0014006294743242,145.33548387096775,108.02903225806452,0.0091690203656907
10,10,02-07-25 H2S Sweep,173.45,200,600,UV_distance_conv=50,30.16658310965084,13.145305788585098,0.0039945446395963,120.8,89.84838709677419,0.0122308937449415
11,11,02-07-25 H2S Sweep,250.0,200,600,UV_distance_conv=50,30.42369792530728,9.000451880883556,0.0057901828668636,83.07741935483871,59.683870967741925,0.0164880332986472
12,12,02-07-25 H2S Sweep,326.55,200,600,UV_distance_conv=50,30.04621901206192,6.725997494008436,0.0096080947144633,48.16129032258065,29.15161290322581,0.0360240351137989
