,Unnamed: 0,experiment_name,start_time,flow_rate,reaction_volume,tags,Selected: CH4 (ppm) baseline,Selected: CH4 (ppm) conversion,Selected: CH4 (ppm) conversion variance due to noise,Cl2 LabJack: Cl2 reading minus zero (mV) baseline,Cl2 LabJack: Cl2 reading minus zero (mV) conversion,Cl2 LabJack: Cl2 reading minus zero (mV) conversion variance due to noise
0,0,09-16-24 Humidity Sweep (10-60%),16.35,200,600,UV_distance_conv=50,25.727131776992863,21.60850220055487,0.0002378089722241,45.96774193548387,26.986686993843584,0.0017343045438779
1,1,09-16-24 Humidity Sweep (10-60%),76.72,200,600,UV_distance_conv=50,26.51054448800507,22.0592033543463,0.0011231897259394,46.0,28.58759455370651,0.0
2,2,09-16-24 Humidity Sweep (10-60%),136.8,200,600,UV_distance_conv=50,26.745689131194656,22.26874079565202,0.0010425868575177,47.0,29.032258064516128,0.0156087408949011
3,3,09-16-24 Humidity Sweep (10-60%),197.22,200,600,UV_distance_conv=50,27.26644165608574,22.50116885959952,0.0004881480035551,47.0,30.0,0.0
4,4,09-16-24 Humidity Sweep (10-60%),257.43,200,600,UV_distance_conv=50,27.40811519984926,22.815729508633307,0.0002693496729908,47.0,30.585946924004823,0.0
5,5,09-16-24 Humidity Sweep (10-60%),317.7,200,600,UV_distance_conv=50,28.00761785460809,23.6829605416036,0.0005583272419347,48.0,31.0,0.0
6,6,09-16-24 Humidity Sweep (10-60%),377.85,200,600,UV_distance_conv=50,28.33204683032171,23.611655415084925,0.0007926825197524,48.0,31.806451612903224,0.0780437044745057
7,7,09-17-24 Vary Cl2 (30-90 ppm) at Fixed CH4,60.37,200,600,UV_distance_conv=50,27.57488253913417,7.663653940273992,0.000321545437387,13.0,9.0,0.0
8,8,09-17-24 Vary Cl2 (30-90 ppm) at Fixed CH4,128.25,200,600,UV_distance_conv=50,27.62366058835833,13.206621847218464,0.0001485292796338,23.06451612903226,15.677419354838712,0.1488033298647242
9,9,09-17-24 Vary Cl2 (30-90 ppm) at Fixed CH4,195.97,200,600,UV_distance_conv=50,27.75127393565451,21.820361421642964,0.0005462710759736,43.0,28.0,0.0
10,10,09-17-24 Vary Cl2 (30-90 ppm) at Fixed CH4,263.67,200,600,UV_distance_conv=50,27.824065029708898,26.67434835992236,0.0019442350773526,62.0,34.0,0.0
11,11,09-17-24 Vary Cl2 (30-90 ppm) at Fixed CH4,331.45,200,600,UV_distance_conv=50,28.13260568646333,29.85136703455611,0.0038178002160417,99.0,39.0,0.0
12,12,09-17-24 Vary CH4 (10-180 ppm) at Fixed Cl2,9.33,200,600,UV_distance_conv=50,2.715563413697489,4.773904728794333,0.000121648908325,27.774193548387096,7.774193548387096,0.0874089490114463
13,13,09-17-24 Vary CH4 (10-180 ppm) at Fixed Cl2,81.95,200,600,UV_distance_conv=50,7.694287381396295,9.153720822201077,0.000271303588622,26.0,12.0,0.0
14,14,09-17-24 Vary CH4 (10-180 ppm) at Fixed Cl2,154.78,200,600,UV_distance_conv=50,12.760167370623186,12.020152047761895,0.0004785995716942,26.0,16.0,0.0
15,15,09-17-24 Vary CH4 (10-180 ppm) at Fixed Cl2,227.6,200,600,UV_distance_conv=50,27.77728994806816,13.404158653284954,0.0004612208741955,23.0,15.064516129032258,0.0301768990634755
16,16,09-17-24 Vary CH4 (10-180 ppm) at Fixed Cl2,300.33,200,600,UV_distance_conv=50,43.934895182008844,15.567993605399945,0.0005807767683938,23.0,16.0,0.0
17,17,09-17-24 Vary CH4 (10-180 ppm) at Fixed Cl2,373.08,200,600,UV_distance_conv=50,59.68833916588453,15.774446702374227,0.000629024552778,23.0,17.0,0.0
18,18,09-17-24 Vary CH4 (10-180 ppm) at Fixed Cl2,445.72,200,600,UV_distance_conv=50,90.18600684156652,14.64071696378562,0.0003681947658228,23.0,17.0,0.0
19,19,09-17-24 Vary CH4 (10-180 ppm) at Fixed Cl2,518.47,200,600,UV_distance_conv=50,179.3292275784157,10.81793721089835,0.0010243245853336,23.193548387096776,18.193548387096776,0.0780437044745056
20,20,09-19-24 Sweep 1-to-1 Cl2 and CH4 (30-90 ppm),5.83,200,600,UV_distance_conv=50,44.79609096317389,21.467783914954342,0.0006284221104735,37.38709677419355,23.38709677419355,0.1186264308012486
21,21,09-19-24 Sweep 1-to-1 Cl2 and CH4 (30-90 ppm),78.55,200,600,UV_distance_conv=50,60.28136437024132,31.89753194697721,0.0003445268511654,60.0,40.0,0.0
22,22,09-19-24 Sweep 1-to-1 Cl2 and CH4 (30-90 ppm),151.37,200,600,UV_distance_conv=50,90.65025202014633,50.3759550919924,0.0015356955415454,101.09677419354838,70.54838709677419,0.1675338189386055
23,23,09-19-24 Vary Cl2 (5-30 ppm) at Fixed CH4,77.05,200,600,UV_distance_conv=50,28.30602580645161,5.726909677419346,7.402062553027665e-06,10.096774193548388,6.096774193548388,0.0437044745057231
24,24,09-19-24 Vary Cl2 (5-30 ppm) at Fixed CH4,144.75,200,600,UV_distance_conv=50,28.62931612903225,12.371451612903218,2.3475003121747867e-05,24.0,16.0,0.0
25,25,09-19-24 Vary Cl2 (5-30 ppm) at Fixed CH4,212.48,200,600,UV_distance_conv=50,29.065529032258063,18.576409677419356,2.230711089638756e-05,39.0,26.0,0.0
26,26,09-19-24 Sweep 1-to-1 Cl2 and CH4 (10-20 ppm),5.0,200,600,UV_distance_conv=50,9.305496774193546,4.974112903225804,1.440854866682326e-05,12.0,7.0,0.0
27,27,09-19-24 Sweep 1-to-1 Cl2 and CH4 (10-20 ppm),77.72,200,600,UV_distance_conv=50,18.993987096774195,11.447590322580648,2.037434894207437e-05,26.0,16.0,0.0
